date,open,high,low,close,volume
2024-01-02,288.741,293.683,283.205,285.380,23626165
2024-01-03,282.810,290.323,281.228,289.334,20629300
2024-01-04,293.090,293.090,286.764,287.555,20452981
2024-01-05,284.194,285.380,278.461,281.031,24021668
2024-01-08,283.205,283.403,274.111,276.879,16913237
2024-01-09,274.902,278.065,272.332,272.530,17124698
2024-01-10,270.948,274.111,265.808,269.169,19369137
2024-01-11,269.564,281.228,268.971,276.286,20844642
2024-01-12,274.507,281.821,273.716,277.274,15953790
2024-01-15,278.856,282.612,276.484,278.263,16524681
2024-01-16,272.727,277.670,268.971,271.343,22495164
2024-01-17,266.005,267.785,261.261,263.633,36534929
2024-01-18,263.633,268.180,260.272,266.599,24890738
2024-01-19,264.028,271.541,257.307,260.272,27210859
2024-01-22,259.679,260.668,249.399,251.376,34046919
2024-01-23,255.923,267.192,252.364,261.063,36025685
2024-01-24,268.576,273.320,261.261,270.750,34258180
2024-01-25,273.913,280.833,269.762,279.647,34558787
2024-01-26,277.077,279.054,270.157,271.739,25104921
2024-01-29,274.902,277.274,268.378,270.948,20393884
2024-01-30,266.203,268.971,262.051,262.842,21756562
2024-01-31,262.842,266.994,257.504,259.679,20286609
2024-02-01,259.086,266.796,257.109,260.668,17531376
2024-02-02,273.518,276.484,264.028,268.378,31415557
2024-02-05,267.389,272.332,262.842,268.576,20694927
2024-02-06,268.773,281.426,268.576,279.647,29193111
2024-02-07,283.798,285.775,277.670,281.031,26650581
2024-02-08,278.856,282.019,275.297,276.088,18119347
2024-02-09,273.518,276.286,270.355,276.088,6810493
2024-02-14,275.890,280.042,270.948,278.856,11702215
2024-02-15,277.472,278.856,273.913,274.309,12714456
2024-02-16,274.507,280.635,269.366,280.635,17415930
2024-02-19,280.240,280.240,272.727,273.716,15594906
2024-02-20,275.890,276.681,269.366,273.123,15956798
2024-02-21,269.762,283.403,269.762,277.670,24226224
2024-02-22,277.077,280.240,275.693,280.240,12586222
2024-02-23,278.856,285.182,275.890,279.647,13383937
2024-02-26,276.286,279.054,274.309,276.088,12557042
2024-02-27,275.100,275.100,267.192,273.518,23887707
2024-02-28,273.913,274.704,265.412,266.005,26205277
2024-02-29,264.226,267.982,263.633,266.203,30068172
2024-03-01,262.051,267.982,260.865,266.401,28278324
2024-03-04,266.401,268.971,263.831,265.215,13993245
2024-03-05,259.284,262.249,255.330,257.307,26358648
2024-03-06,255.132,266.005,254.934,263.633,23560688
2024-03-07,263.831,264.622,258.295,260.074,17359655
2024-03-08,261.063,264.622,259.086,259.086,12560815
2024-03-11,260.272,267.587,260.272,267.587,18075054
2024-03-12,270.948,281.426,269.169,279.647,36956762
2024-03-13,280.240,282.810,277.472,279.449,20308303
2024-03-14,278.263,282.810,275.693,278.065,14393194
2024-03-15,271.936,275.100,268.576,272.727,29523031
2024-03-18,271.146,280.240,271.146,278.658,19862050
2024-03-19,277.867,280.042,273.913,273.913,15817517
2024-03-20,274.309,279.054,271.936,277.670,15804248
2024-03-21,283.996,286.962,278.461,280.042,37298239
2024-03-22,276.286,279.251,271.343,277.670,26740164
2024-03-25,277.670,279.449,273.913,277.472,21373318
2024-03-26,274.902,289.334,274.902,288.148,34394685
2024-03-27,284.787,296.254,284.589,290.718,39204592
2024-03-28,290.718,298.231,290.125,292.497,30350380
2024-04-02,297.637,300.998,296.451,297.835,26871070
2024-04-03,300.603,300.603,295.067,297.044,19926434
2024-04-05,298.231,300.208,293.090,298.626,13740615
2024-04-08,293.881,299.614,293.090,294.079,21908859
2024-04-09,296.056,297.440,291.706,293.683,18087686
2024-04-10,295.067,303.766,295.067,302.778,25018273
2024-04-11,298.428,305.150,297.637,303.568,19054412
2024-04-12,302.580,306.534,298.033,298.231,23299678
2024-04-15,293.288,297.440,292.497,293.090,18508447
2024-04-16,289.927,297.044,288.741,290.520,19921061
2024-04-17,290.520,292.695,286.566,289.532,14578439
2024-04-18,290.916,297.440,287.357,293.090,19280960
2024-04-19,292.102,294.079,288.346,292.497,19699473
2024-04-22,296.649,311.081,295.463,308.906,41612565
2024-04-23,314.442,321.955,313.651,320.768,44332214
2024-04-24,326.106,333.223,323.734,332.433,41955876
2024-04-25,328.479,334.607,324.722,327.688,28050607
2024-04-26,328.281,339.945,328.281,336.584,29944392
2024-04-29,336.584,342.911,333.421,335.794,25712648
2024-04-30,337.771,338.957,332.235,335.398,16142936
2024-05-02,337.177,349.237,333.619,348.446,22741517
2024-05-03,358.924,360.506,348.644,352.400,23867217
2024-05-06,352.598,360.901,351.016,358.134,26513676
2024-05-07,355.366,359.122,351.412,353.784,19634177
2024-05-08,354.377,359.715,347.853,349.435,20291843
2024-05-09,349.039,357.936,348.446,357.738,16212747
2024-05-10,361.692,362.088,352.993,358.924,15875883
2024-05-13,356.552,367.821,355.959,366.042,20797604
