date,open,high,low,close,volume
2024-01-02,184.904,186.179,181.678,183.412,82488674
2024-01-03,182.009,183.649,181.229,182.039,58414460
2024-01-04,179.964,180.890,178.709,179.727,71983570
2024-01-05,179.806,180.567,178.008,179.006,62379661
2024-01-08,179.900,183.373,179.322,183.333,59144470
2024-01-09,181.713,182.928,180.537,182.918,42841809
2024-01-10,182.138,184.163,181.713,183.956,46792908
2024-01-11,184.302,184.805,181.417,183.363,49128408
2024-01-12,183.827,184.499,182.968,183.689,40477782
2024-01-16,179.974,182.049,178.763,181.426,65603041
2024-01-17,179.095,180.735,178.136,180.488,47317433
2024-01-18,183.857,186.870,183.600,186.366,78005754
2024-01-19,187.058,189.647,186.554,189.261,68902985
2024-01-22,189.992,192.986,189.953,191.563,60133852
2024-01-23,192.680,193.401,191.504,192.838,42355590
2024-01-24,193.075,194.023,192.008,192.166,53631316
2024-01-25,192.877,193.913,190.796,191.840,54822126
2024-01-26,191.939,192.423,189.637,190.111,44594011
2024-01-29,189.706,189.894,187.305,189.429,47145622
2024-01-30,188.649,189.498,185.220,185.784,55859370
2024-01-31,184.796,184.850,182.138,182.187,55467803
2024-02-01,181.777,184.707,181.614,184.618,64885408
2024-02-02,177.702,185.082,177.099,183.620,102551680
2024-02-05,185.892,186.979,183.610,185.428,69668820
2024-02-06,184.618,187.038,184.529,187.028,43490759
2024-02-07,188.352,188.757,186.347,187.137,53438955
2024-02-08,187.112,187.261,185.102,186.060,40962046
2024-02-09,186.613,187.938,185.970,186.810,45155216
2024-02-12,186.380,186.632,184.773,185.129,41781934
2024-02-13,183.764,184.199,181.531,183.042,56529529
2024-02-14,183.319,183.526,180.470,182.161,54630517
2024-02-15,181.568,182.498,179.391,181.874,65434496
2024-02-16,181.439,182.854,179.703,180.341,49752465
2024-02-20,179.827,180.460,178.056,179.599,53665553
2024-02-21,179.975,180.914,178.709,180.351,41529674
2024-02-22,181.498,182.957,180.489,182.379,52292208
2024-02-23,183.012,183.042,180.262,180.549,45119677
2024-02-26,180.272,180.786,178.699,179.203,40867421
2024-02-27,179.144,181.937,177.621,180.658,54318851
2024-02-28,180.539,181.142,178.185,179.461,48953939
2024-02-29,179.312,180.598,177.591,178.798,136682597
2024-03-01,177.611,178.580,175.464,177.720,73563082
2024-03-04,174.248,174.989,171.913,173.209,81510101
2024-03-05,168.916,170.182,167.788,168.283,95132355
2024-03-06,169.213,169.391,166.858,167.294,68587707
2024-03-07,167.323,168.886,166.670,167.175,71765061
2024-03-08,167.175,171.824,167.115,168.886,76267041
2024-03-11,171.072,172.497,170.192,170.884,60139473
2024-03-12,171.280,172.150,169.163,171.359,59825372
2024-03-13,170.904,171.315,168.916,169.282,52488692
2024-03-14,171.043,172.425,170.192,171.132,72913507
2024-03-15,169.321,170.756,168.446,170.756,121752699
2024-03-18,173.674,175.791,171.646,171.844,75604184
2024-03-19,172.457,174.698,171.161,174.178,55215244
2024-03-20,173.822,176.740,173.199,176.740,53423102
2024-03-21,175.138,175.573,168.995,169.519,106181270
2024-03-22,169.905,171.181,168.223,170.419,71160138
2024-03-25,168.723,170.083,167.620,169.005,54288328
2024-03-26,168.164,169.569,167.749,167.877,57388449
