date,open,high,low,close,volume
2024-01-02,151.540,152.380,148.390,149.930,47339424
2024-01-03,149.200,151.050,148.330,148.470,49425495
2024-01-04,145.590,147.380,144.050,144.570,56039807
2024-01-05,144.690,146.590,144.530,145.240,45153147
2024-01-08,146.740,149.400,146.150,149.100,46757053
2024-01-09,148.330,151.710,148.210,151.370,43812567
2024-01-10,152.060,154.420,151.881,153.730,44421830
2024-01-11,155.040,157.170,153.120,155.180,49072691
2024-01-12,155.390,156.200,154.010,154.620,40484155
2024-01-16,153.530,154.990,152.150,153.160,41384636
2024-01-17,151.490,152.150,149.910,151.710,34953363
2024-01-18,152.770,153.775,151.820,153.500,37850245
2024-01-19,153.830,155.760,152.740,155.340,51651628
2024-01-22,156.890,157.050,153.900,154.780,43687468
2024-01-23,154.850,156.210,153.930,156.020,37986039
2024-01-24,157.800,158.510,156.480,156.870,48547315
2024-01-25,156.950,158.505,154.550,157.750,43638592
2024-01-26,158.420,160.720,157.910,159.120,51047353
2024-01-29,159.340,161.290,158.900,161.260,45270385
2024-01-30,160.700,161.730,158.490,159.000,45207430
2024-01-31,157.000,159.010,154.810,155.200,50284371
2024-02-01,155.870,159.760,155.620,159.280,76542419
2024-02-02,169.190,172.500,167.330,171.810,117218313
2024-02-05,170.200,170.550,167.700,170.310,55081297
2024-02-06,169.390,170.710,167.650,169.150,42505518
2024-02-07,169.480,170.880,168.940,170.530,47174060
2024-02-08,169.650,171.430,168.880,169.840,42316454
2024-02-09,170.900,175.000,170.580,174.450,56985986
2024-02-12,174.800,175.390,171.540,172.340,51050440
2024-02-13,167.730,170.950,165.750,168.640,56345122
2024-02-14,169.210,171.210,168.280,170.980,42815544
2024-02-15,170.580,171.170,167.590,169.800,49855196
2024-02-16,168.740,170.420,167.170,169.510,48107744
2024-02-20,167.830,168.710,165.740,167.080,41980326
2024-02-21,168.940,170.230,167.140,168.590,44575623
2024-02-22,173.100,174.800,171.770,174.580,55392354
2024-02-23,174.280,175.750,173.700,174.990,59715243
2024-02-26,175.700,176.370,174.260,174.730,44368614
2024-02-27,174.075,174.620,172.860,173.540,31141732
2024-02-28,172.440,174.050,172.270,173.160,28180482
2024-02-29,173.010,177.220,172.850,176.760,53805359
2024-03-01,176.750,178.725,176.070,178.220,31981152
2024-03-04,177.530,180.140,177.490,177.580,37381520
2024-03-05,176.930,176.930,173.303,174.120,37228343
2024-03-06,175.540,176.460,173.260,173.510,32090926
2024-03-07,174.830,177.990,173.720,176.820,34063283
2024-03-08,176.440,178.785,174.330,175.350,37893242
2024-03-11,174.310,174.470,171.470,171.960,28484777
2024-03-12,173.500,176.760,171.980,175.390,36610604
2024-03-13,175.900,177.620,175.550,176.555,30772600
2024-03-14,177.690,179.530,176.465,178.750,43705840
2024-03-15,176.640,177.930,173.900,174.420,72147390
2024-03-18,175.800,176.690,174.280,174.480,31250688
2024-03-19,174.215,176.090,173.520,175.900,26880893
2024-03-20,176.140,178.530,174.640,178.150,29947150
2024-03-21,179.988,181.415,178.150,178.150,32824320
2024-03-22,177.752,179.255,176.750,178.870,27995378
2024-03-25,178.010,180.990,177.240,179.710,29815464
2024-03-26,180.150,180.450,177.950,178.300,29658982
2024-03-27,179.880,180.000,177.310,179.830,33272551
2024-03-28,180.170,181.700,179.260,180.380,38051588
2024-04-01,180.790,183.000,179.950,180.970,29174521
2024-04-02,179.070,180.790,178.376,180.690,32611546
2024-04-03,179.900,182.870,179.800,182.410,31046638
2024-04-04,184.000,185.100,180.000,180.000,41624261
2024-04-05,182.380,186.270,181.970,185.070,42373992
2024-04-08,186.900,187.290,184.810,185.190,39221282
2024-04-09,187.240,187.340,184.200,185.670,36546946
2024-04-10,182.765,186.270,182.670,185.950,35879151
2024-04-11,186.740,189.770,185.510,189.050,40020742
2024-04-12,187.720,188.380,185.080,186.130,38608849
2024-04-15,187.425,188.690,183.000,183.620,48052395
2024-04-16,183.270,184.830,182.260,183.320,32891265
2024-04-17,184.310,184.570,179.820,181.280,31359673
2024-04-18,181.470,182.390,178.650,179.220,30723793
2024-04-19,178.740,179.000,173.440,174.630,56000729
2024-04-22,176.940,178.870,174.560,177.230,37924890
2024-04-23,178.080,179.930,175.975,179.540,37046519
2024-04-24,179.940,180.323,176.180,176.590,34185109
2024-04-25,169.680,173.920,166.320,173.670,49249390
2024-04-26,177.795,180.820,176.130,179.620,43919765
2024-04-29,182.750,183.530,179.390,180.960,54063937
2024-04-30,181.090,182.990,174.800,175.000,94639786
2024-05-01,181.635,185.150,176.560,179.000,94645148
2024-05-02,180.850,185.100,179.910,184.720,54303510
2024-05-03,186.990,187.870,185.420,186.210,39172004
2024-05-06,186.280,188.745,184.800,188.700,34725295
2024-05-07,188.920,189.940,187.305,188.760,34048902
2024-05-08,187.440,188.430,186.385,188.000,26136350
2024-05-09,188.880,191.700,187.440,189.500,43368377
2024-05-10,189.160,189.892,186.930,187.480,34141771
2024-05-13,188.000,188.310,185.360,186.570,24898613
2024-05-14,183.820,187.720,183.450,187.070,38698155
2024-05-15,185.970,186.719,182.730,185.990,75459927
2024-05-16,185.600,187.310,183.460,183.630,38834450
2024-05-17,183.760,185.300,183.350,184.700,33175655
2024-05-20,184.340,186.665,183.280,183.540,30511768
2024-05-21,182.300,183.260,180.750,183.150,50839129
2024-05-22,183.880,185.220,181.972,183.130,28148784
2024-05-23,183.660,184.760,180.080,181.050,33670173
2024-05-24,181.650,182.435,180.300,180.750,27471640
2024-05-28,179.930,182.240,179.490,182.150,29926963
2024-05-29,181.700,184.080,181.550,182.020,32009294
2024-05-30,181.310,181.340,178.355,179.320,29249229
2024-05-31,178.300,179.210,173.870,176.440,58903939
2024-06-03,177.700,178.700,175.920,178.340,30786640
2024-06-04,177.640,179.820,176.440,179.340,27198388
2024-06-05,180.100,181.500,178.750,181.280,32116394
