date,open,high,low,close,volume
2024-01-02,137.331,138.223,135.279,136.954,23711220
2024-01-03,136.042,138.401,135.874,137.698,24212147
2024-01-04,137.202,137.935,135.150,135.190,27137735
2024-01-05,135.542,135.949,133.961,134.536,22513854
2024-01-08,135.091,137.787,135.061,137.618,21403982
2024-01-09,137.281,140.240,136.934,139.710,24759598
2024-01-10,139.759,141.742,139.670,141.028,21320203
2024-01-11,142.227,143.942,139.397,140.830,24008722
2024-01-12,141.415,141.935,140.572,141.395,18785514
2024-01-16,140.750,143.080,140.205,141.236,22670467
2024-01-17,140.101,140.592,137.678,140.225,20968649
2024-01-18,140.800,142.941,140.740,142.217,25746417
2024-01-19,143.466,145.161,143.109,145.092,34271867
2024-01-22,145.806,147.084,144.557,144.705,32200369
2024-01-23,144.606,145.887,144.220,145.746,21636129
2024-01-24,147.233,148.536,146.797,147.391,25233450
2024-01-25,148.744,151.703,148.224,150.534,29149069
2024-01-26,149.770,151.193,149.681,150.846,26115494
2024-01-29,150.722,152.427,150.097,152.159,27784259
2024-01-30,151.455,152.268,149.855,150.127,36331833
2024-01-31,142.356,142.733,138.639,138.867,71910044
2024-02-01,140.869,141.801,139.551,139.918,40466549
2024-02-02,138.035,141.365,135.299,141.127,62499574
2024-02-05,141.563,144.190,141.524,142.416,38505405
2024-02-06,143.377,144.081,141.930,142.832,29128201
2024-02-07,143.486,144.334,142.658,144.259,25208862
2024-02-08,144.547,145.042,143.828,144.626,22563764
2024-02-09,145.389,148.125,144.894,147.689,26829504
2024-02-12,147.114,148.021,146.073,146.232,21564085
2024-02-13,143.645,145.379,142.426,143.863,27837730
2024-02-14,144.794,145.231,142.826,144.656,22704166
2024-02-15,141.880,142.257,139.224,141.514,37590695
2024-02-16,141.732,141.930,138.907,139.283,31468926
2024-02-20,138.426,140.830,138.262,139.878,25179528
2024-02-21,140.205,141.434,139.437,141.296,23315687
2024-02-22,143.655,143.724,141.543,142.822,27191892
2024-02-23,142.406,143.407,142.168,142.693,19493752
2024-02-26,140.889,141.187,136.181,136.359,53641795
2024-02-27,136.805,138.025,135.884,137.658,33099190
2024-02-28,136.686,136.796,134.218,135.180,37328558
2024-02-29,136.072,137.638,135.200,137.242,42132953
2024-03-01,137.212,137.648,135.715,135.933,31151116
2024-03-04,134.466,134.466,130.749,132.177,55999415
2024-03-05,130.719,132.067,129.515,131.503,40258565
2024-03-06,131.949,132.404,129.699,130.244,35318610
2024-03-07,131.626,133.753,130.452,133.197,37738209
2024-03-08,133.029,136.870,132.821,134.218,39370392
2024-03-11,134.932,137.871,134.932,136.459,32437772
2024-03-12,135.824,138.149,135.824,137.281,27563354
2024-03-13,137.777,139.848,137.767,138.560,23347208
2024-03-14,139.948,142.321,139.219,141.841,42753387
2024-03-15,141.246,141.920,138.798,139.938,49475417
2024-03-18,147.302,150.811,145.875,146.380,69273699
2024-03-19,146.856,147.482,144.794,145.736,24070435
2024-03-20,146.698,147.550,145.444,147.431,21311501
2024-03-21,148.155,149.047,145.607,146.301,24755597
2024-03-22,147.808,150.246,147.669,149.443,29211769
2024-03-25,148.621,149.052,146.519,148.749,19229285
2024-03-26,148.898,150.916,148.660,149.344,22149137
2024-03-27,149.850,150.301,147.590,149.542,22879178
2024-03-28,149.523,150.097,148.849,149.602,24485390
2024-04-01,149.364,154.369,149.285,154.122,31730848
2024-04-02,152.149,153.339,150.811,153.200,24651637
2024-04-03,152.248,153.715,151.386,153.557,24704991
2024-04-04,152.149,153.408,149.126,149.205,34724738
2024-04-05,148.710,152.070,148.284,151.158,23459246
2024-04-08,151.436,153.904,151.267,153.487,20701974
2024-04-09,154.711,157.165,153.824,155.222,31113013
2024-04-10,154.835,155.232,153.319,154.766,22838629
2024-04-11,155.529,158.275,155.083,158.007,27166431
2024-04-12,156.570,158.813,155.757,156.342,25353746
2024-04-15,157.462,157.839,153.230,153.497,27136472
2024-04-16,152.833,154.280,152.080,153.041,20779495
2024-04-17,154.251,155.698,153.220,154.102,21763130
2024-04-18,153.973,155.559,153.259,154.637,19883044
2024-04-19,154.825,154.984,150.960,152.734,32615639
2024-04-22,152.952,156.253,152.704,154.905,26446206
2024-04-23,155.579,157.571,154.905,156.867,21151568
2024-04-24,156.104,158.161,155.782,157.730,22779112
2024-04-25,149.998,155.113,149.542,154.627,57109730
2024-04-26,172.836,173.173,168.157,170.437,64665299
2024-04-29,167.570,168.058,163.756,164.688,45610024
2024-04-30,164.155,166.621,161.169,161.348,33562861
2024-05-01,162.854,165.649,161.655,162.418,33493151
2024-05-02,163.335,165.263,162.448,165.154,24294549
2024-05-03,166.085,166.482,161.615,165.768,34662432
2024-05-06,165.986,166.660,164.569,166.621,21871283
2024-05-07,167.017,170.249,166.908,169.743,28039696
2024-05-08,167.513,168.653,167.250,167.889,19569146
2024-05-09,167.899,169.188,166.700,168.464,15346700
2024-05-10,166.546,168.355,164.728,167.166,29799931
2024-05-13,162.815,167.790,162.557,167.652,31327602
2024-05-14,168.276,169.743,167.315,168.841,25127138
2024-05-15,169.128,171.131,169.010,170.992,26948370
2024-05-16,171.765,173.574,171.170,172.647,27867947
2024-05-17,172.647,174.714,172.162,174.511,24479262
2024-05-20,174.642,177.197,174.530,175.363,22554400
2024-05-21,175.343,176.582,174.263,176.285,16989369
2024-05-22,175.090,175.591,173.668,174.828,17880042
2024-05-23,175.512,176.681,171.428,172.023,21024935
2024-05-24,173.440,174.223,172.122,173.450,16579438
2024-05-28,172.915,175.710,172.831,174.848,20572157
2024-05-29,173.886,175.280,173.182,174.352,23388693
2024-05-30,173.658,173.678,170.278,170.595,22958677
2024-05-31,170.348,171.537,167.949,170.982,37638876
2024-06-03,171.022,172.989,169.654,171.646,27459118
2024-06-04,171.755,172.315,170.377,172.261,26879596
2024-06-05,173.658,175.091,172.403,173.866,22068519
2024-06-06,174.347,175.591,174.203,175.175,23251013
2024-06-07,175.492,176.305,172.766,172.925,19661399
2024-06-10,173.640,175.714,171.447,173.680,23779218
2024-06-11,174.881,175.496,172.449,175.278,21540582
2024-06-12,176.895,179.039,174.772,176.439,27864737
2024-06-13,174.772,175.397,173.551,173.829,20913299
2024-06-14,172.896,175.716,172.826,175.446,18063555
2024-06-17,174.127,177.004,173.481,175.893,19618497
2024-06-18,175.794,176.037,172.781,173.759,21869857
2024-06-20,174.037,175.943,173.660,174.960,20160085
2024-06-21,175.655,179.476,175.268,178.265,58582743
2024-06-24,178.791,179.515,177.312,177.858,18298012
2024-06-25,178.255,182.889,178.056,182.631,23235589
2024-06-26,181.242,183.108,181.093,182.483,19838972
2024-06-27,182.780,184.636,182.621,184.001,18848884
2024-06-28,182.919,183.723,180.577,180.766,29156644
2024-07-01,181.639,182.483,179.922,181.599,16006128
2024-07-02,180.666,184.160,180.180,183.832,17372485
2024-07-03,183.445,184.676,182.602,184.408,10242126
2024-07-05,184.443,189.409,184.388,189.151,20967450
2024-07-08,188.452,188.725,186.353,187.593,21035886
2024-07-09,188.864,189.906,187.286,187.544,15141312
2024-07-10,187.712,190.293,187.593,189.727,15952454
2024-07-11,188.402,189.409,183.673,184.160,25625784
2024-07-12,183.673,185.688,183.088,183.663,22898406
2024-07-15,183.515,186.809,183.515,185.112,16474043
2024-07-16,185.936,187.246,181.980,182.522,18290722
2024-07-17,181.574,182.155,178.533,179.644,20734071
2024-07-18,180.547,181.113,175.129,176.340,25315727
2024-07-19,177.521,178.920,175.784,176.310,18881885
2024-07-22,179.218,181.311,178.860,180.289,24100345
2024-07-23,180.666,182.215,180.160,180.408,36352714
2024-07-24,172.281,174.851,170.514,171.318,49585203
2024-07-25,171.209,172.102,165.919,166.009,44851973
2024-07-26,165.880,166.813,162.813,165.731,41336886
2024-07-29,167.547,169.135,166.713,168.242,20293822
2024-07-30,168.946,169.929,167.160,168.996,18959686
2024-07-31,171.923,172.921,168.718,170.236,25729090
2024-08-01,168.956,172.727,167.597,169.462,24531392
2024-08-02,165.175,167.229,163.419,165.393,29130102
2024-08-05,154.318,163.180,153.753,158.040,53630673
2024-08-06,158.119,159.350,155.221,157.087,49004561
2024-08-07,160.025,161.741,157.266,157.732,25138573
2024-08-08,159.290,162.446,158.992,160.799,25578839
2024-08-09,158.794,162.545,157.851,162.426,28602285
2024-08-12,163.101,163.647,160.610,161.057,15895286
2024-08-13,162.168,163.478,161.731,162.912,18551690
2024-08-14,161.166,161.980,156.511,159.151,40591126
2024-08-15,159.280,160.407,158.397,160.074,31524252
2024-08-16,160.243,163.806,159.905,161.722,24208647
2024-08-19,164.024,165.423,163.012,165.403,22416185
2024-08-20,165.632,167.358,165.552,165.909,18341533
2024-08-21,163.895,165.582,163.419,164.590,22901997
2024-08-22,165.989,166.316,162.069,162.555,22493275
2024-08-23,163.468,164.917,162.585,164.361,13955741
2024-08-26,165.116,166.277,163.205,164.897,14190417
2024-08-27,164.575,165.178,163.210,163.428,11821941
2024-08-28,163.781,164.341,160.300,161.612,16407444
2024-08-29,163.061,164.709,159.032,160.550,19699767
2024-08-30,161.379,162.416,160.464,162.138,22123811
2024-09-03,160.491,160.620,155.291,156.164,38945301
2024-09-04,155.464,157.792,154.777,155.261,19353759
2024-09-05,155.112,158.238,154.796,156.045,18688747
2024-09-06,156.105,156.630,149.406,149.773,37912130
2024-09-09,151.549,152.434,146.288,147.773,39260451
2024-09-10,149.502,150.317,147.405,147.723,31118765
2024-09-11,148.976,150.546,146.591,150.208,29607693
2024-09-12,152.831,153.845,151.688,153.715,29695048
2024-09-13,154.451,157.382,154.232,156.468,29591152
2024-09-16,156.319,157.253,155.613,157.064,18379775
2024-09-17,158.018,159.539,157.377,158.316,20715612
2024-09-18,158.853,159.489,157.596,158.803,23677315
2024-09-19,162.679,162.758,160.324,161.119,26587733
2024-09-20,162.470,162.699,161.039,162.559,40896438
2024-09-23,163.315,164.447,160.651,160.830,24150852
2024-09-24,162.003,162.188,159.678,161.268,23332147
2024-09-25,160.453,161.784,160.284,160.473,18869199
2024-09-26,162.609,163.046,161.258,161.705,20319336
2024-09-27,161.784,164.656,161.601,162.917,21101307
2024-09-30,162.291,165.103,162.231,164.805,20481303
2024-10-01,166.629,168.094,163.543,165.938,28338123
2024-10-02,165.372,166.465,163.692,164.815,17760179
2024-10-03,163.374,165.590,162.890,164.815,15073101
2024-10-04,167.001,167.170,164.437,166.008,19093724
2024-10-07,166.663,167.419,161.725,161.953,22463140
2024-10-08,162.907,163.687,161.844,163.344,23072733
2024-10-09,162.420,163.802,158.734,160.840,31181774
2024-10-10,159.857,162.043,159.385,161.059,14144068
2024-10-11,161.109,162.867,160.219,162.212,15344251
2024-10-14,162.609,165.179,162.371,163.921,19016141
2024-10-15,164.741,166.624,163.588,164.418,20247195
2024-10-16,163.493,164.755,162.708,164.119,16406030
2024-10-17,164.686,165.322,161.735,161.904,21453395
2024-10-18,162.162,163.672,162.053,162.390,19757661
2024-10-21,161.923,163.464,161.595,163.036,20946455
2024-10-22,161.953,164.726,161.953,164.100,16568121
2024-10-23,163.722,164.775,160.905,161.754,18280518
2024-10-24,161.804,162.301,159.996,161.695,22412527
2024-10-25,162.639,164.547,162.390,164.229,19828884
2024-10-28,167.687,167.687,162.917,165.670,32138641
2024-10-29,166.673,169.307,166.037,168.611,42169025
2024-10-30,179.542,180.873,172.963,173.361,68890787
2024-10-31,172.039,175.706,169.923,170.032,44768981
2024-11-01,168.999,171.234,167.816,170.211,31796477
2024-11-04,168.859,169.654,166.953,168.174,21492744
