date,open,high,low,close,volume
2024-01-02,159.452,162.356,159.282,162.271,9977424
2024-01-03,162.064,162.234,160.659,161.564,9852335
2024-01-04,161.920,164.492,161.825,162.651,11972545
2024-01-05,162.708,164.520,162.708,163.467,10066029
2024-01-08,163.230,163.552,160.824,163.230,11229916
2024-01-09,162.850,163.012,161.403,161.939,9923630
2024-01-10,161.313,162.338,160.317,162.281,9670218
2024-01-11,161.626,161.655,160.022,161.598,11919498
2024-01-12,164.919,167.301,160.269,160.412,19436504
2024-01-16,156.445,159.501,155.904,159.406,17206420
2024-01-17,158.789,160.431,157.982,158.552,11107466
2024-01-18,158.580,158.969,156.796,158.865,9382255
2024-01-19,158.988,161.854,158.542,161.607,13115664
2024-01-22,161.749,163.192,161.038,161.417,12837505
2024-01-23,161.000,161.076,159.833,160.355,8360829
2024-01-24,160.706,162.271,160.234,161.787,9967060
2024-01-25,163.505,164.150,162.172,164.103,8873481
2024-01-26,163.790,164.217,163.002,163.476,7442955
2024-01-29,163.439,164.008,162.547,163.903,6971192
2024-01-30,163.998,167.728,163.998,167.263,10822075
2024-01-31,167.196,169.189,165.431,165.450,11521820
2024-02-01,164.767,165.906,162.670,164.852,9354798
2024-02-02,164.444,166.832,164.406,165.801,8720553
2024-02-05,164.976,166.143,164.084,165.583,7820160
2024-02-06,165.687,166.883,164.881,166.152,6765684
2024-02-07,166.712,166.883,165.071,166.466,7225478
2024-02-08,166.058,166.348,164.701,165.868,6060285
2024-02-09,166.058,166.152,164.798,166.067,6296729
2024-02-12,165.849,167.773,164.824,166.807,8539316
2024-02-13,166.361,167.225,163.794,165.355,8397631
2024-02-14,166.124,167.101,165.507,167.035,7056664
2024-02-15,167.149,171.001,167.149,170.679,8723390
2024-02-16,170.432,170.783,169.056,169.882,8152647
2024-02-20,170.033,171.238,169.289,170.546,9667959
2024-02-21,170.755,171.741,169.398,171.656,7027857
2024-02-22,172.529,174.047,171.979,173.715,9296459
2024-02-23,174.417,175.736,173.829,174.588,7105833
2024-02-26,174.360,175.034,173.155,173.990,7145391
2024-02-27,173.943,174.161,172.928,174.076,5717065
2024-02-28,174.057,175.736,173.611,174.958,6131608
2024-02-29,176.173,176.903,174.455,176.552,9643012
2024-03-01,176.211,176.913,175.641,175.822,6311996
2024-03-04,175.271,178.004,174.854,177.141,7063605
2024-03-05,176.837,179.627,176.837,178.915,6617832
2024-03-06,179.579,180.357,178.042,179.845,7572891
2024-03-07,180.206,180.765,177.093,178.270,7618277
2024-03-08,178.811,180.723,178.317,178.602,6172199
2024-03-11,177.710,178.811,176.704,178.668,5762569
2024-03-12,179.295,180.443,178.308,180.139,5708384
2024-03-13,180.633,181.933,180.139,181.600,7795535
2024-03-14,181.268,181.838,177.542,178.365,10310948
2024-03-15,176.951,181.183,176.951,180.576,17214229
2024-03-18,180.889,182.853,180.187,182.815,9013843
2024-03-19,182.863,184.020,182.549,183.887,8478717
2024-03-20,184.267,186.516,183.717,186.298,9367043
2024-03-21,186.478,189.239,186.298,188.888,11203796
2024-03-22,188.841,190.235,186.497,186.573,8108840
2024-03-25,186.554,186.876,184.428,184.865,8641253
2024-03-26,184.646,186.611,184.139,185.728,5961484
2024-03-27,186.459,189.400,186.345,189.325,8725757
2024-03-28,189.296,190.463,188.395,190.065,8628313
2024-04-01,189.771,190.672,188.418,188.774,7309009
2024-04-02,188.252,189.571,187.958,188.698,7014683
