date,open,high,low,close,volume
2024-01-02,348.264,350.088,337.052,343.277,19042152
2024-01-03,341.979,344.923,340.189,341.473,15451133
2024-01-04,341.503,345.121,340.411,344.100,12099895
2024-01-05,343.971,350.425,343.248,348.888,13923680
2024-01-08,351.614,355.857,348.987,355.540,13890222
2024-01-09,353.299,357.502,352.268,354.320,13463871
2024-01-10,357.037,369.695,355.956,367.247,22117206
2024-01-11,368.892,369.537,359.773,366.454,17205385
2024-01-12,366.935,373.780,366.325,371.232,19310046
2024-01-16,370.399,372.342,364.035,364.263,15306885
2024-01-17,363.113,365.334,355.490,365.165,12724779
2024-01-18,368.258,373.571,367.723,372.858,16354332
2024-01-19,375.703,381.016,374.682,380.114,21670806
2024-01-22,384.575,386.957,377.844,378.459,17680454
2024-01-23,381.269,385.001,378.751,381.849,15506096
2024-01-24,386.607,392.703,384.436,387.301,15699672
2024-01-25,386.776,392.049,382.305,389.759,15091080
2024-01-26,390.919,393.338,388.184,390.711,13169414
2024-01-29,391.549,399.425,389.680,397.531,18742433
2024-01-30,400.079,402.825,396.094,396.579,18614727
2024-01-31,385.616,394.537,383.732,386.746,20180817
2024-02-01,390.513,397.016,389.630,391.345,29727051
2024-02-02,455.601,481.732,449.069,470.858,84707646
2024-02-05,465.792,467.794,455.225,455.413,40832376
2024-02-06,459.963,463.056,449.059,450.764,21655214
2024-02-07,454.015,467.418,452.208,465.505,23065994
2024-02-08,464.246,466.496,460.984,465.911,19095575
2024-02-09,468.835,469.470,463.398,464.037,18413137
2024-02-12,464.117,474.976,462.521,464.821,19381963
2024-02-13,452.895,463.819,451.131,456.117,20916602
2024-02-14,463.859,469.985,462.035,469.162,16858401
2024-02-15,471.145,484.369,468.112,479.819,24212326
2024-02-16,473.950,474.793,465.128,469.202,23324620
2024-02-20,465.628,472.037,462.501,467.646,18015523
2024-02-21,462.908,465.389,458.234,464.426,12977050
2024-02-22,476.542,486.217,472.396,482.387,21625805
2024-02-23,484.292,490.553,478.634,480.303,18374286
2024-02-26,479.747,482.397,476.899,478.031,12101415
2024-02-27,476.279,483.518,476.225,483.300,10809595
2024-02-28,481.266,487.269,479.033,480.293,12715486
2024-02-29,484.679,487.914,478.894,486.356,17732045
2024-03-01,488.321,500.367,488.063,498.432,16275954
2024-03-04,499.127,500.536,492.598,494.354,12324141
2024-03-05,491.189,491.764,484.133,486.445,15500730
2024-03-06,493.798,499.097,490.486,492.270,11757925
2024-03-07,499.405,515.847,497.519,508.246,18586437
2024-03-08,510.231,519.539,495.505,502.054,18597059
2024-03-11,493.183,493.489,472.335,479.866,20428274
2024-03-12,489.462,498.442,480.998,495.902,15448232
2024-03-13,491.575,497.122,487.251,491.754,12090656
2024-03-14,496.403,497.490,484.401,488.043,12620014
2024-03-15,485.245,488.043,477.594,480.372,29153576
2024-03-18,488.122,493.590,483.062,493.153,11755251
2024-03-19,484.411,492.806,477.574,492.419,10903092
2024-03-20,495.654,504.287,491.357,501.627,11711100
2024-03-21,510.747,511.074,502.114,503.850,9712549
2024-03-22,503.096,506.043,500.457,505.656,8120593
2024-03-25,501.895,503.314,496.389,499.147,8380617
2024-03-26,501.240,506.073,491.401,492.072,11205382
2024-03-27,495.455,496.041,484.312,490.057,9989676
2024-03-28,489.045,489.095,481.414,481.841,15212764
2024-04-01,483.449,493.600,478.070,487.567,9247007
2024-04-02,481.365,493.699,480.918,493.540,11081026
2024-04-03,495.088,503.334,494.910,502.838,12099171
2024-04-04,512.444,525.919,506.649,506.986,26476253
2024-04-05,512.875,526.614,510.449,523.279,19263265
2024-04-08,525.205,527.398,514.895,515.252,13260579
2024-04-09,518.209,521.821,502.838,512.920,10881445
2024-04-10,505.368,518.536,501.905,515.827,11418491
2024-04-11,517.097,519.826,513.307,519.132,10369469
2024-04-12,513.763,516.185,505.408,507.958,11984535
2024-04-15,512.741,514.537,493.451,496.378,13512893
2024-04-16,494.275,500.883,493.282,495.912,9847925
2024-04-17,499.226,499.286,483.389,490.365,12193743
2024-04-18,495.971,508.266,495.197,497.936,14808670
2024-04-19,498.928,498.928,472.067,477.366,25215364
2024-04-22,485.944,488.222,469.755,478.021,17271125
2024-04-23,487.467,494.920,485.205,492.280,15079196
2024-04-24,504.148,506.073,480.849,489.700,37772677
2024-04-25,418.155,442.338,411.308,437.981,82890741
2024-04-26,438.061,443.002,428.634,439.877,32691443
2024-04-29,436.175,436.374,425.260,429.289,21502646
2024-04-30,427.731,436.235,426.411,426.858,18429496
2024-05-01,425.300,446.495,423.821,435.808,20344947
2024-05-02,435.461,440.542,428.951,438.279,15221322
2024-05-03,442.496,450.673,440.432,448.480,16489057
2024-05-06,452.072,462.571,449.849,462.094,15094627
2024-05-07,462.700,467.899,457.758,464.635,13406816
2024-05-08,459.931,471.918,459.437,468.961,11683929
2024-05-09,466.381,472.414,464.029,471.759,9437651
2024-05-10,473.416,473.823,465.984,472.533,10749999
2024-05-13,469.110,469.705,459.286,464.406,14668798
2024-05-14,459.802,468.901,456.537,468.217,10478553
2024-05-15,471.323,478.785,467.572,477.832,13100470
2024-05-16,471.343,474.012,469.110,469.586,16608179
2024-05-17,467.205,469.159,464.813,468.276,10807289
