date,open,high,low,close,volume
2024-01-02,367.392,369.397,360.426,364.454,25258633
2024-01-03,362.626,366.799,362.135,364.189,23083465
2024-01-04,364.252,366.645,360.818,361.575,20901502
2024-01-05,362.587,365.623,360.160,361.388,21004575
2024-01-08,362.911,368.709,362.626,368.208,23133967
2024-01-09,365.574,369.485,364.768,369.289,20829953
2024-01-10,369.859,377.524,369.810,376.148,25514245
2024-01-11,379.322,383.921,373.799,377.976,27850846
2024-01-12,378.821,381.956,377.996,381.749,21661153
2024-01-16,386.850,387.213,380.917,383.518,27202268
2024-01-17,381.268,383.361,378.153,382.732,22234108
2024-01-18,384.943,387.174,383.371,387.056,23392068
2024-01-19,388.913,391.773,386.692,391.773,29331136
2024-01-22,393.100,393.689,386.781,389.650,27016902
2024-01-23,388.904,392.471,387.115,391.999,20525882
2024-01-24,394.593,398.613,393.522,395.596,24866953
2024-01-25,397.325,399.969,395.565,397.866,21021155
2024-01-26,397.374,399.143,395.468,396.942,17803271
2024-01-29,399.035,402.887,397.335,402.632,24510236
2024-01-30,405.128,405.904,399.418,401.521,33477610
2024-01-31,399.920,408.135,390.338,390.702,47871097
2024-02-01,394.878,400.942,394.849,396.795,30657726
2024-02-02,396.824,405.511,396.578,404.106,28256670
2024-02-05,402.809,404.047,397.001,398.632,25352286
2024-02-06,398.858,400.912,395.940,398.475,18382624
2024-02-07,400.391,407.133,400.352,406.887,22340526
2024-02-08,406.887,408.371,405.393,406.946,21225257
2024-02-09,408.066,413.540,407.909,413.274,22032844
2024-02-12,413.279,413.461,407.575,408.076,21202921
2024-02-13,397.935,402.977,396.411,399.291,27824936
2024-02-14,401.745,403.487,398.299,403.143,20401190
2024-02-15,401.814,402.788,398.024,400.258,21825525
2024-02-16,401.637,401.962,397.187,397.797,22296495
2024-02-20,396.990,398.220,391.841,396.547,24307915
2024-02-21,393.967,396.055,391.063,395.946,18631072
2024-02-22,403.832,406.431,402.237,405.269,27009869
2024-02-23,409.227,409.414,402.631,403.980,16295879
2024-02-26,405.077,405.772,401.046,401.223,16193505
2024-02-27,401.666,401.991,397.590,401.164,14835827
2024-02-28,401.848,402.956,399.038,401.400,13183125
2024-02-29,402.306,407.780,399.628,407.229,31947263
2024-03-01,404.895,409.424,404.511,409.060,17823445
2024-03-04,407.032,410.881,405.929,408.489,17595956
2024-03-05,407.544,407.829,394.430,396.409,26919177
2024-03-06,396.724,398.880,392.215,395.858,22344149
2024-03-07,399.825,403.428,396.005,402.798,18718479
2024-03-08,401.637,404.058,398.063,399.924,18002186
2024-03-11,397.504,399.392,395.040,398.250,16120752
2024-03-12,401.302,409.129,400.485,408.843,22457003
2024-03-13,411.619,411.698,405.073,408.666,17115931
2024-03-14,413.726,421.189,411.511,418.629,34157299
2024-03-15,412.791,416.050,406.392,409.965,45079903
2024-03-18,407.829,414.209,407.366,410.852,20105977
2024-03-19,411.354,415.130,409.109,414.878,19837915
2024-03-20,415.459,419.358,414.140,418.639,17860085
2024-03-21,423.168,424.142,420.539,422.715,21296222
2024-03-22,423.040,423.197,419.466,422.095,17648473
2024-03-25,418.649,420.785,415.075,416.306,18060450
2024-03-26,419.013,419.387,414.819,415.114,16725647
2024-03-27,417.861,417.871,412.515,414.898,16704978
2024-03-28,414.435,415.331,412.624,414.199,21871161
2024-04-01,417.379,421.258,415.676,417.989,16315961
2024-04-02,413.598,415.833,411.363,414.908,17911992
2024-04-03,413.224,416.699,412.589,413.933,16502264
2024-04-04,418.403,422.026,411.098,411.403,19370875
2024-04-05,413.500,419.899,411.836,418.924,16554761
2024-04-08,418.580,420.657,416.739,418.009,14272387
2024-04-09,419.830,421.110,415.085,419.673,12512289
2024-04-10,415.646,417.458,413.195,416.699,16216581
2024-04-11,419.220,422.715,415.813,421.297,17966423
2024-04-12,417.477,418.589,413.264,415.361,19253750
2024-04-15,419.988,420.204,407.022,407.229,20273538
2024-04-16,408.144,411.915,407.317,408.154,16765616
2024-04-17,410.783,412.387,403.970,405.456,15855485
2024-04-18,404.265,405.506,397.689,398.004,21029917
2024-04-19,397.768,399.195,391.605,392.934,30565789
2024-04-22,393.879,396.606,389.616,394.745,20286875
2024-04-23,397.969,401.873,396.813,401.253,15734501
2024-04-24,403.212,406.077,400.475,402.720,15065330
2024-04-25,387.923,393.692,382.016,392.855,40586450
2024-04-26,405.781,406.599,399.471,400.022,29694654
2024-04-29,398.969,400.022,393.003,396.015,19582091
2024-04-30,395.267,395.927,383.138,383.295,28781374
2024-05-01,386.525,395.493,384.260,388.818,23562481
2024-05-02,391.496,393.731,388.535,391.673,17709364
2024-05-03,396.045,400.839,395.631,400.357,17446724
2024-05-06,402.424,407.514,400.071,407.130,16996639
2024-05-07,408.233,408.243,402.749,402.995,20018228
2024-05-08,401.843,405.840,400.409,404.177,11792308
2024-05-09,404.206,406.323,402.759,405.929,14689727
2024-05-10,406.535,408.942,405.417,408.312,13402281
2024-05-13,411.531,411.864,404.452,407.307,15440226
2024-05-14,405.634,411.019,405.171,410.103,15109306
2024-05-15,411.423,417.241,410.802,416.522,22239533
2024-05-16,415.262,418.826,413.835,414.465,17530050
2024-05-17,415.991,416.365,411.546,413.697,15352239
2024-05-20,413.697,420.155,413.480,418.747,16272137
2024-05-21,420.209,426.259,418.265,422.390,21453255
2024-05-22,423.424,425.708,420.509,423.847,18073698
2024-05-23,426.259,426.879,418.830,420.382,17211689
2024-05-24,420.569,424.374,417.832,423.493,11855285
2024-05-28,422.971,424.142,419.988,423.650,15718024
2024-05-29,419.092,424.260,419.092,422.518,15517130
2024-05-30,417.723,417.723,407.819,408.243,28424847
2024-05-31,410.290,410.290,398.240,408.695,47995250
2024-06-03,409.084,409.975,402.585,407.110,17484675
2024-06-04,406.037,409.985,403.325,409.621,14348917
2024-06-05,411.334,417.507,409.847,417.438,16988038
2024-06-06,417.438,418.718,414.061,417.940,14861251
2024-06-07,419.594,419.673,416.444,417.280,13621650
2024-06-10,418.117,421.445,417.320,421.238,14003034
2024-06-11,418.880,426.111,418.659,425.973,14551101
2024-06-12,428.573,436.527,426.535,434.224,22366233
2024-06-13,434.017,436.517,432.560,434.736,15960565
2024-06-14,431.482,436.269,429.952,435.710,13581985
2024-06-17,435.725,443.950,433.889,441.420,20790030
2024-06-18,442.735,443.163,437.994,439.422,17112504
2024-06-20,439.382,439.609,434.430,438.792,20002664
2024-06-21,440.446,443.596,439.589,442.808,34486172
2024-06-24,442.828,445.732,439.491,440.731,15913719
2024-06-25,441.302,444.423,439.825,443.960,16747529
2024-06-26,442.041,446.569,441.243,445.152,16507030
2024-06-27,445.166,449.099,444.768,445.831,14806324
2024-06-28,446.047,448.322,439.491,440.022,28362271
2024-07-01,441.706,450.281,438.752,449.651,17662818
2024-07-02,446.175,452.466,446.090,452.161,13979779
2024-07-03,451.088,453.874,450.783,453.628,9932830
2024-07-05,452.486,461.091,451.851,460.313,16000290
2024-07-08,459.318,460.451,457.261,459.013,12962321
2024-07-09,459.762,460.086,450.901,452.417,17228507
2024-07-10,454.071,459.230,451.743,459.023,18196100
2024-07-11,455.804,457.576,444.551,447.652,23111175
2024-07-12,447.283,449.286,443.660,446.520,16324274
2024-07-15,446.274,450.172,444.433,446.924,14429447
2024-07-16,447.180,447.258,439.737,442.552,17175679
2024-07-17,435.730,437.955,432.373,436.645,21799595
2024-07-18,437.453,437.758,427.667,433.544,20794822
2024-07-19,426.387,434.302,425.304,430.335,20940417
2024-07-22,434.942,437.709,432.110,436.074,15808755
2024-07-23,437.015,441.440,436.232,437.955,13107050
2024-07-24,433.623,434.637,420.957,422.252,26805800
2024-07-25,422.154,423.138,411.039,411.915,29943795
2024-07-26,411.718,422.267,410.802,418.678,23583839
2024-07-29,424.891,425.452,418.121,420.116,15125836
2024-07-30,421.090,422.400,410.891,416.365,32687578
2024-07-31,413.977,415.237,405.821,411.866,42891366
2024-08-01,414.263,420.834,406.687,410.645,30296400
2024-08-02,406.096,408.568,398.073,402.158,29437900
2024-08-05,383.138,394.824,379.604,389.025,40709238
2024-08-06,393.800,399.382,392.323,393.416,24946525
2024-08-07,402.301,403.724,391.309,392.254,20650906
2024-08-08,396.202,399.569,393.742,396.448,20203030
2024-08-09,397.768,401.725,396.027,399.727,19276666
2024-08-12,400.751,402.424,397.977,400.504,16762883
2024-08-13,403.241,408.518,403.222,407.593,19414271
2024-08-14,408.371,411.245,406.053,410.399,18266980
2024-08-15,414.049,415.341,411.938,415.262,20752144
2024-08-16,414.838,415.568,411.583,412.737,22775593
2024-08-19,413.220,415.972,410.754,415.755,15233957
2024-08-20,415.923,420.026,415.864,418.980,16387581
2024-08-21,418.265,420.558,415.942,418.329,16067298
2024-08-22,418.546,420.943,408.930,409.857,19361901
2024-08-23,411.267,413.516,406.444,411.080,18493784
2024-08-26,410.661,411.563,405.705,407.825,13152830
2024-08-27,407.204,408.683,404.630,408.170,13492911
2024-08-28,409.196,409.315,401.730,404.975,14882660
2024-08-29,409.255,416.268,404.975,407.460,17045241
2024-08-30,409.906,411.770,406.484,411.425,24308324
2024-09-03,412.185,414.128,401.454,403.831,20313603
2024-09-04,400.349,405.606,398.830,403.298,15135806
2024-09-05,402.036,407.441,400.566,402.795,14195516
2024-09-06,403.456,405.024,395.309,396.197,19609526
2024-09-09,401.661,403.051,396.641,400.162,15295134
2024-09-10,402.608,410.626,402.115,408.525,19594287
2024-09-11,409.808,418.181,403.969,417.244,19266923
2024-09-12,417.511,421.514,413.999,421.150,17418759
2024-09-13,419.991,425.914,419.631,424.691,15874555
2024-09-16,424.701,427.591,422.353,425.431,13834697
2024-09-17,434.199,435.797,426.348,429.188,18874231
2024-09-18,429.041,430.056,424.513,424.908,18898042
2024-09-19,435.180,435.451,430.914,432.680,21706559
2024-09-20,431.230,433.222,428.271,429.307,55167106
2024-09-23,428.330,430.480,424.493,427.571,15128891
2024-09-24,427.068,427.413,420.262,423.290,17015754
2024-09-25,423.941,427.185,422.699,426.190,13396364
2024-09-26,429.124,429.336,423.251,425.401,14492044
2024-09-27,425.608,425.934,421.614,422.156,14896131
2024-09-30,422.344,424.523,419.542,424.405,16854606
2024-10-01,422.580,422.610,413.072,414.927,19092945
2024-10-02,416.791,417.027,411.001,411.415,16582257
2024-10-03,411.908,413.802,408.614,410.833,13686421
2024-10-04,412.510,413.999,409.285,410.360,19190913
2024-10-07,410.301,411.396,403.397,403.929,20919761
2024-10-08,405.271,409.965,402.578,409.028,19229261
2024-10-09,410.163,414.621,408.624,411.741,14974257
2024-10-10,409.536,411.632,407.490,410.143,13848376
2024-10-11,410.434,411.415,407.588,410.616,14144944
2024-10-14,412.047,418.231,411.800,413.398,16653086
2024-10-15,416.396,416.692,409.571,413.003,18900201
2024-10-16,409.482,410.656,404.856,410.419,15508932
2024-10-17,416.574,416.712,409.896,411.011,14820004
2024-10-18,411.425,413.901,410.557,412.431,17145317
2024-10-21,410.419,413.220,408.082,413.043,14206115
2024-10-22,412.757,424.680,412.313,421.653,25482197
2024-10-23,424.952,425.174,416.741,418.783,19654379
2024-10-24,419.498,420.142,416.613,418.911,13717358
2024-10-25,420.913,426.594,420.721,422.284,17097974
2024-10-28,425.741,426.022,420.460,420.746,14882444
2024-10-29,422.136,427.236,419.967,426.032,17644080
2024-10-30,431.442,432.493,426.180,426.604,29749149
2024-10-31,409.670,410.459,400.734,400.783,53970981
2024-11-01,403.407,409.808,401.917,404.748,24230442
2024-11-04,404.186,404.792,400.015,402.864,19672286
2024-11-05,402.775,409.216,402.489,405.823,17626011
2024-11-06,406.770,414.690,404.896,414.424,26681842
2024-11-07,415.508,421.002,414.128,419.602,19901782
2024-11-08,419.493,420.657,416.002,416.751,16891414
2024-11-11,416.727,418.990,410.301,412.283,24503321
2024-11-12,412.520,418.625,411.484,417.234,19401204
2024-11-13,415.864,423.443,412.481,419.375,21502185
2024-11-14,419.178,422.304,414.246,421.042,30246881
2024-11-15,414.068,417.008,407.973,409.315,28247644
2024-11-18,409.186,412.672,406.454,410.064,24742013
2024-11-19,407.450,412.214,405.912,412.066,18133529
2024-11-20,411.159,411.573,404.955,409.798,19191655
2024-11-21,414.592,414.869,405.489,408.039,20780162
2024-11-22,406.552,412.516,406.251,412.121,24814626
2024-11-25,413.485,416.153,409.996,413.890,27691090
2024-11-26,414.676,424.021,413.949,422.983,23458889
2024-11-27,420.131,422.231,417.082,418.041,18332444
2024-11-29,415.175,419.914,412.912,418.506,16271921
2024-12-02,416.638,427.934,416.381,425.938,20207223
2024-12-03,424.811,427.410,422.735,426.155,18301987
2024-12-04,427.964,434.526,427.568,432.302,26009429
2024-12-05,432.796,439.457,431.068,437.441,21697775
2024-12-06,437.125,440.881,436.601,438.380,18821002
2024-12-09,437.422,443.085,435.346,440.802,19144388
2024-12-10,439.191,444.359,436.433,438.143,18469459
2024-12-11,438.855,445.081,438.855,443.737,19200208
2024-12-12,443.855,450.828,443.855,444.300,20834779
2024-12-13,443.188,446.148,440.367,442.037,20177833
2024-12-16,442.037,446.889,440.070,446.306,23598834
2024-12-17,445.733,449.963,444.310,449.143,22733494
2024-12-18,446.040,447.354,431.907,432.273,24444545
2024-12-19,436.453,437.998,431.215,431.917,22963681
2024-12-20,428.043,438.548,423.615,431.492,64263694
2024-12-23,431.630,432.529,427.766,430.158,19152519
2024-12-24,429.565,434.457,429.110,434.190,7164543
