date,open,high,low,close,volume
2024-01-02,49.146,49.196,47.500,48.072,411254220
2024-01-03,47.390,48.088,47.225,47.474,320896170
2024-01-04,47.671,48.403,47.413,47.902,306534890
2024-01-05,48.365,49.448,48.209,48.999,415039270
2024-01-08,49.413,52.170,49.380,52.148,642509900
2024-01-09,52.296,54.216,51.587,53.034,773100060
2024-01-10,53.509,54.491,53.382,54.241,533795760
2024-01-11,54.889,55.235,53.453,54.712,596758770
2024-01-12,54.511,54.860,54.221,54.601,352993600
2024-01-16,54.908,56.721,54.790,56.269,449579730
2024-01-17,56.234,56.358,54.631,55.941,474394440
2024-01-18,57.145,57.485,55.995,56.993,491650360
2024-01-19,57.873,59.381,57.111,59.372,543501480
2024-01-22,59.929,60.210,58.952,59.535,452954630
2024-01-23,59.451,59.790,58.468,59.753,294654450
2024-01-24,60.183,62.723,59.818,61.239,560270760
2024-01-25,62.225,62.594,60.728,61.494,482776840
2024-01-26,60.838,61.659,60.452,60.909,390308590
2024-01-29,61.110,62.364,60.785,62.340,348732980
2024-01-30,62.774,63.366,62.135,62.648,410735300
2024-01-31,61.317,62.144,60.579,61.404,453794870
2024-02-01,61.976,63.065,61.527,62.901,369145790
2024-02-02,63.846,66.467,63.563,66.028,476577650
2024-02-05,68.089,69.358,67.071,69.193,680078010
2024-02-06,69.491,69.614,66.167,68.087,683111360
2024-02-07,68.182,70.080,67.465,69.959,495574550
2024-02-08,69.934,70.652,69.316,69.502,414422110
2024-02-09,70.392,72.041,70.072,71.989,436636890
2024-02-12,72.455,74.462,71.108,72.104,613710180
2024-02-13,70.259,73.303,69.481,71.984,602580150
2024-02-14,73.056,74.088,71.794,73.752,504917420
2024-02-15,73.721,73.827,72.255,72.513,420121810
2024-02-16,73.952,74.253,72.356,72.468,495326620
2024-02-20,71.803,71.812,67.599,69.313,704833100
2024-02-21,67.870,68.750,66.116,67.337,690298130
2024-02-22,74.875,78.418,74.072,78.381,865099740
2024-02-23,80.628,82.229,77.415,78.659,829388370
2024-02-26,79.541,80.485,78.348,78.934,503972730
2024-02-27,79.222,79.321,77.008,78.544,391705240
2024-02-28,77.465,78.775,76.971,77.508,393110400
2024-02-29,78.936,79.830,78.193,78.954,507288980
2024-03-01,79.840,82.135,79.276,82.114,479135100
2024-03-04,83.962,87.520,83.552,85.067,615616450
2024-03-05,85.099,85.925,83.250,85.792,520639300
2024-03-06,87.846,89.545,86.856,88.523,582520300
2024-03-07,89.978,92.581,89.423,92.484,608119160
2024-03-08,94.948,97.205,86.333,87.353,1142269060
2024-03-11,86.256,88.619,83.998,85.602,678364120
2024-03-12,87.873,91.776,85.978,91.729,668075150
2024-03-13,90.873,91.321,88.258,90.706,635712890
2024-03-14,89.398,90.465,86.427,87.768,602318160
2024-03-15,86.756,89.367,86.084,87.661,642086160
2024-03-18,90.207,92.220,86.911,88.278,668975930
2024-03-19,86.527,90.363,84.840,89.219,672171270
2024-03-20,89.617,90.229,88.047,90.191,479062790
2024-03-21,92.115,92.463,90.224,91.252,480372310
2024-03-22,90.959,94.588,90.652,94.100,586719360
2024-03-25,93.753,96.572,93.323,94.812,552136080
2024-03-26,95.659,96.182,92.317,92.376,513647580
2024-03-27,92.926,93.054,88.945,90.070,586067230
2024-03-28,89.820,91.117,89.015,90.175,435212270
2024-04-01,90.118,92.041,89.026,90.182,452441490
2024-04-02,88.271,89.914,87.445,89.273,433063550
2024-04-03,88.307,90.193,88.223,88.786,370066550
2024-04-04,90.225,90.453,85.708,85.733,434964920
2024-04-05,86.692,88.304,85.754,87.832,399678460
2024-04-08,88.523,88.652,86.559,86.959,283220000
2024-04-09,87.267,87.460,82.856,85.183,503547350
2024-04-10,83.758,87.225,83.542,86.865,431928530
2024-04-11,87.245,90.558,86.752,90.435,431637270
2024-04-12,89.520,89.995,87.355,88.010,426804790
2024-04-15,88.920,90.432,85.757,85.829,443076950
2024-04-16,86.260,87.942,85.892,87.240,370453020
2024-04-17,88.163,88.597,83.782,83.867,495399510
2024-04-18,84.800,86.018,82.237,84.502,447260340
2024-04-19,82.984,84.155,75.455,76.048,875198000
2024-04-22,77.948,79.913,76.247,79.359,596340510
2024-04-23,80.607,82.603,80.103,82.258,438559370
2024-04-24,83.782,83.914,79.025,79.518,512207530
2024-04-25,78.710,83.156,78.067,82.467,424640730
2024-04-26,83.650,88.154,83.220,87.560,551010780
2024-04-29,87.420,87.816,85.095,87.581,388970760
2024-04-30,87.066,88.641,86.127,86.229,363708700
2024-05-01,84.907,85.828,81.092,82.875,559863170
2024-05-02,84.280,86.065,83.034,85.645,377897540
2024-05-03,87.613,89.102,86.866,88.611,398340720
2024-05-06,89.211,92.036,88.877,91.956,376202550
2024-05-07,90.916,91.597,88.833,90.373,437341610
2024-05-08,89.304,91.012,89.241,90.231,325721020
2024-05-09,90.348,90.890,88.055,88.570,378012680
2024-05-10,90.124,91.218,89.049,89.698,335325410
2024-05-13,90.297,90.816,88.352,90.218,289680170
2024-05-14,89.420,91.468,88.756,91.173,296507080
2024-05-15,92.287,94.672,91.416,94.441,417735450
2024-05-16,94.720,95.627,93.915,94.170,323951820
2024-05-17,94.180,94.551,91.622,92.294,359691030
2024-05-20,93.563,95.010,93.253,94.590,318764460
2024-05-21,93.412,95.209,92.994,95.195,328946460
2024-05-22,95.268,95.828,93.063,94.760,548647990
2024-05-23,101.824,106.107,101.317,103.591,835065280
2024-05-24,104.240,106.262,102.794,106.256,429493670
2024-05-28,110.024,114.709,109.663,113.673,652727890
2024-05-29,112.824,115.261,110.679,114.595,557441930
2024-05-30,114.421,115.588,109.444,110.279,487350330
2024-05-31,112.295,112.492,106.726,109.414,613262500
2024-06-03,113.394,114.770,111.779,114.770,438391760
2024-06-04,115.485,116.367,113.817,116.204,403324010
2024-06-05,118.134,122.205,117.233,122.195,528401780
2024-06-06,123.800,125.336,118.083,120.756,664696190
2024-06-07,119.530,121.448,117.786,120.646,412385800
2024-06-10,120.165,122.891,116.811,121.583,314162650
2024-06-11,121.575,122.673,118.550,120.717,222551158
2024-06-12,122.863,126.677,122.374,125.000,299595001
2024-06-13,129.183,129.592,126.957,129.403,260704537
2024-06-14,129.752,132.627,128.115,131.669,309320376
2024-06-17,132.777,133.516,129.373,130.770,288504444
2024-06-18,130.930,136.112,130.481,135.363,294335054
2024-06-20,139.576,140.535,129.313,130.571,517768425
2024-06-21,126.917,130.421,124.101,126.367,655484664
2024-06-24,123.043,124.261,117.851,117.921,476060866
2024-06-25,121.006,126.298,119.129,125.888,425787456
2024-06-26,125.928,127.915,122.404,126.198,362975918
2024-06-27,123.901,126.208,122.723,123.792,252571693
2024-06-28,124.381,127.506,122.554,123.342,315516740
2024-07-01,123.272,124.640,118.640,124.101,284885534
2024-07-02,120.936,123.213,120.836,122.474,218373969
2024-07-03,121.465,128.075,121.166,128.075,215748955
2024-07-05,127.176,128.644,125.479,125.629,214176689
2024-07-08,127.286,130.561,126.837,127.995,237677322
2024-07-09,130.141,133.606,128.444,131.170,287020820
2024-07-10,133.816,134.884,132.208,134.694,248978569
2024-07-11,135.533,135.932,126.847,127.196,374782738
2024-07-12,128.055,131.709,127.016,129.033,252680535
2024-07-15,130.351,131.180,126.977,128.234,208326164
2024-07-16,128.234,128.834,124.381,126.158,214769515
2024-07-17,121.156,121.655,116.533,117.801,390086189
2024-07-18,121.655,122.204,116.374,120.896,320979530
2024-07-19,120.157,121.405,117.182,117.741,217223800
2024-07-22,120.157,123.871,119.668,123.342,258068943
2024-07-23,122.584,124.490,121.905,122.394,173910983
2024-07-24,118.979,119.758,113.258,114.067,327776884
2024-07-25,112.859,116.443,106.130,112.100,460067019
2024-07-26,116.004,116.014,111.401,112.879,293399073
2024-07-29,113.508,116.094,111.122,111.411,248152068
2024-07-30,111.342,111.811,102.376,103.564,486833274
2024-07-31,112.719,118.151,110.703,116.833,473174182
2024-08-01,117.342,119.968,106.639,109.035,523462326
2024-08-02,103.594,108.546,101.208,107.098,482027464
2024-08-05,91.913,103.245,90.545,100.289,552842375
2024-08-06,103.674,107.538,100.389,104.083,409012089
2024-08-07,107.638,108.626,98.532,98.752,411440423
2024-08-08,101.837,105.331,97.364,104.802,391910023
2024-08-09,105.471,106.429,103.265,104.582,290844157
2024-08-12,106.150,110.892,106.090,108.846,325559870
