date,open,high,low,close,volume
2012-01-03,50.195,50.442,50.054,50.186,39512874
2012-01-04,50.098,50.468,49.886,50.397,29403365
2012-01-05,50.292,50.856,50.098,50.812,41260529
2012-01-06,50.847,51.103,50.627,50.988,46325172
2012-01-09,51.112,51.138,50.654,50.821,39195455
2012-01-10,51.385,51.513,50.838,51.191,35949856
2012-01-11,51.174,51.412,50.988,51.297,37144050
2012-01-12,51.412,51.571,51.033,51.500,26188209
2012-01-13,51.244,51.332,50.874,51.315,35985091
2012-01-17,51.782,52.003,51.588,51.782,41790747
2012-01-18,51.897,52.470,51.758,52.470,48692630
2012-01-19,52.708,52.894,52.611,52.797,47774414
2012-01-20,52.576,52.744,52.532,52.717,41050565
2012-01-23,52.744,53.105,52.426,52.735,40964630
2012-01-24,52.514,52.779,52.400,52.638,38440197
2012-01-25,53.167,53.432,52.773,53.299,61591782
2012-01-26,53.511,53.626,52.858,53.114,37852655
2012-01-27,52.999,53.370,52.973,53.273,45540388
2012-01-30,52.814,53.396,52.620,53.317,42797536
2012-01-31,53.582,53.679,53.043,53.387,51449601
2012-02-01,53.670,54.014,53.502,53.820,46146664
2012-02-02,53.978,54.164,53.776,53.987,46373511
2012-02-03,54.490,54.790,54.402,54.728,36453755
2012-02-06,54.525,54.702,54.384,54.684,28541034
2012-02-07,54.640,54.905,54.393,54.799,37935695
2012-02-08,54.807,55.090,54.605,55.090,41171074
2012-02-09,55.275,55.548,54.966,55.487,46856294
2012-02-10,55.099,55.248,54.905,55.103,58093569
2012-02-13,55.504,55.681,55.257,55.610,36810183
2012-02-14,55.478,55.760,55.293,55.751,51685261
2012-02-15,56.025,56.325,55.275,55.363,105708895
2012-02-16,55.381,56.183,55.240,56.122,83642235
2012-02-17,56.130,56.175,55.698,55.945,76112276
2012-02-21,56.016,56.351,55.751,56.104,38141236
2012-02-22,55.998,56.166,55.769,55.848,43174694
2012-02-23,55.919,56.280,55.645,56.219,54249254
2012-02-24,56.377,56.510,56.272,56.413,41369705
2012-02-27,56.095,56.677,55.857,56.492,42678420
2012-02-28,56.536,57.065,56.474,57.065,43727286
2012-02-29,57.101,57.295,56.624,56.810,59784393
2012-03-01,57.030,57.312,56.854,57.259,67558813
2012-03-02,57.180,57.399,57.030,57.215,33358160
2012-03-05,57.180,57.251,56.439,56.624,45788685
2012-03-06,56.086,56.201,55.769,56.069,54638583
2012-03-07,56.325,56.633,56.245,56.501,42741792
2012-03-08,56.818,57.277,56.713,57.110,43711013
2012-03-09,57.198,57.453,57.171,57.348,43117170
2012-03-12,57.304,57.427,57.083,57.374,32687292
2012-03-13,57.700,58.441,57.568,58.441,61558511
2012-03-14,58.485,58.865,58.283,58.644,59926891
2012-03-15,58.821,58.935,58.521,58.812,65531134
2012-03-16,58.885,58.903,58.629,58.770,53023027
2012-03-19,58.859,59.327,58.709,59.186,60966105
2012-03-20,58.894,59.358,58.717,59.292,47290547
2012-03-21,59.309,59.627,59.221,59.301,39648089
2012-03-22,58.938,59.318,58.912,59.177,56960468
2012-03-23,59.248,59.265,58.806,59.141,45547682
2012-03-26,59.521,60.175,59.486,60.175,40855239
2012-03-27,60.206,60.511,60.193,60.264,37278184
2012-03-28,60.299,60.529,59.672,60.023,44421855
2012-03-29,59.733,60.016,59.371,59.795,53975298
2012-03-30,60.069,60.096,59.442,59.680,39480224
2012-04-02,59.601,60.378,59.513,60.299,40031540
2012-04-03,60.352,60.564,59.945,60.281,45539655
2012-04-04,59.839,59.866,59.115,59.460,54087961
2012-04-05,59.362,59.884,59.309,59.831,42938457
2012-04-09,59.088,59.619,58.982,59.380,36908136
2012-04-10,59.362,59.583,58.240,58.426,69254193
2012-04-11,58.934,59.097,58.558,58.709,62949946
2012-04-12,58.823,59.442,58.736,59.376,57407345
2012-04-13,59.159,59.373,58.452,58.479,55227428
2012-04-16,58.779,58.806,57.640,57.825,57587271
2012-04-17,58.090,59.186,57.984,59.000,47362395
2012-04-18,58.832,59.195,58.673,58.850,42536007
2012-04-19,58.647,59.345,57.975,58.187,81110267
2012-04-20,58.505,58.762,57.940,58.028,59906831
2012-04-23,57.498,57.587,56.977,57.498,70514110
2012-04-24,57.401,57.631,56.942,57.189,49661432
2012-04-25,58.364,58.744,58.284,58.709,57526761
2012-04-26,58.682,59.186,58.620,59.053,41799492
2012-04-27,59.301,59.592,58.991,59.407,46012481
2012-04-30,59.212,59.345,58.938,58.982,37787622
2012-05-01,58.912,59.751,58.832,59.080,37643735
2012-05-02,58.753,59.292,58.647,59.248,38299220
2012-05-03,59.283,59.327,58.466,58.620,51307361
2012-05-04,58.090,58.622,57.154,57.162,107553920
2012-05-07,56.818,57.489,56.800,57.215,50266729
2012-05-08,56.844,57.198,56.085,57.003,72659690
2012-05-09,56.341,57.145,56.111,56.828,85715257
2012-05-10,57.083,57.101,56.500,56.712,49448870
2012-05-11,56.491,57.304,56.464,56.703,47106689
2012-05-14,56.217,56.615,56.085,56.173,46359983
2012-05-15,56.358,56.783,55.890,55.987,66908427
2012-05-16,56.208,56.350,55.493,55.607,52825897
2012-05-17,55.607,55.714,54.424,54.432,62253439
2012-05-18,54.591,54.742,53.681,53.726,79496446
2012-05-21,53.823,55.281,53.761,55.228,61471322
2012-05-22,55.360,55.616,54.767,55.166,62954723
2012-05-23,54.715,55.404,54.220,55.272,56951072
2012-05-24,55.360,55.404,54.503,54.910,83129559
2012-05-25,54.963,55.060,54.680,54.839,32082832
2012-05-29,55.334,55.793,55.024,55.537,44221458
2012-05-30,55.033,55.263,54.492,55.069,56431798
2012-05-31,54.998,55.139,54.415,54.830,55260021
2012-06-01,53.867,54.176,53.355,53.371,71430752
2012-06-04,53.514,53.858,53.045,53.779,74119321
2012-06-05,53.584,54.106,53.567,54.000,47916880
2012-06-06,54.424,55.281,54.353,55.236,58781187
2012-06-07,55.802,55.820,54.971,55.016,38414776
2012-06-08,54.918,55.616,54.742,55.546,39737101
2012-06-11,55.970,55.996,54.574,54.605,51008831
2012-06-12,54.857,55.298,54.494,55.272,48802598
2012-06-13,55.113,55.528,54.706,54.892,50841084
2012-06-14,54.901,55.316,54.600,55.095,65170503
2012-06-15,55.229,55.857,55.220,55.778,41536033
2012-06-18,55.565,56.442,55.459,56.300,32191113
2012-06-19,56.583,57.124,56.539,56.884,36476477
2012-06-20,56.991,57.177,56.504,56.929,51389682
2012-06-21,56.858,56.947,55.450,55.512,42492624
2012-06-22,55.680,56.167,55.548,56.096,29513101
2012-06-25,55.645,55.654,54.857,55.016,33136337
2012-06-26,55.193,55.521,54.952,55.361,30610734
2012-06-27,55.574,55.946,55.512,55.698,35705771
2012-06-28,55.273,55.317,54.494,55.078,49793383
2012-06-29,56.114,56.814,55.972,56.814,44765803
2012-07-02,56.876,57.008,56.557,56.982,33432708
2012-07-03,57.008,57.460,56.929,57.460,15895085
2012-07-05,57.363,57.779,57.097,57.496,37025561
2012-07-06,57.248,57.283,56.362,56.778,40684059
2012-07-09,56.699,56.902,56.389,56.672,35636978
2012-07-10,56.964,57.124,55.893,56.114,47365647
2012-07-11,56.043,56.194,55.344,55.804,43431952
2012-07-12,55.388,55.512,54.777,55.282,57680387
2012-07-13,55.397,56.247,55.397,56.123,32358947
2012-07-16,55.999,56.247,55.742,55.964,27623184
2012-07-17,56.300,56.442,55.459,56.256,42476969
2012-07-18,56.141,57.186,56.132,57.017,44489605
2012-07-19,57.416,57.832,57.310,57.646,53017702
2012-07-20,57.637,57.646,56.858,56.880,40572549
2012-07-23,55.787,56.389,55.353,56.194,48657617
2012-07-24,56.300,56.371,55.388,55.751,57269688
2012-07-25,55.335,55.742,55.034,55.379,46267404
2012-07-26,56.176,56.433,55.760,56.114,41934261
2012-07-27,56.521,57.549,56.353,57.442,42623491
2012-07-30,57.566,57.832,57.203,57.398,37821194
2012-07-31,57.478,57.717,57.327,57.380,34595377
2012-08-01,57.779,57.805,56.982,57.212,30919778
2012-08-02,56.761,57.575,56.592,57.008,40544547
2012-08-03,57.894,58.337,57.726,58.089,42122944
2012-08-06,58.390,58.788,58.266,58.532,23529615
2012-08-07,58.779,59.258,58.691,59.019,28222362
2012-08-08,58.868,59.118,58.771,58.992,20723495
2012-08-09,58.992,59.249,58.877,59.169,20726183
2012-08-10,58.965,59.222,58.806,59.205,20320925
2012-08-13,59.187,59.355,58.886,59.346,19890257
2012-08-14,59.576,59.692,59.205,59.373,24218673
2012-08-15,59.329,59.612,59.320,59.523,29110347
2012-08-16,59.745,60.365,59.674,60.232,35706443
2012-08-17,60.365,60.506,60.223,60.497,22584723
2012-08-20,60.453,60.595,60.214,60.586,26923940
2012-08-21,60.772,60.993,60.108,60.347,41390936
2012-08-22,60.205,60.710,60.046,60.595,44555654
2012-08-23,60.338,60.515,59.940,60.099,28802214
2012-08-24,59.966,60.612,59.860,60.471,38384751
2012-08-27,60.745,60.807,60.435,60.568,20671323
2012-08-28,60.515,60.732,60.311,60.568,27337854
2012-08-29,60.577,60.719,60.311,60.568,26674509
2012-08-30,60.311,60.329,59.860,59.957,24430939
2012-08-31,60.391,60.612,59.745,60.356,42127927
2012-09-04,60.241,60.524,59.700,60.294,32017183
2012-09-05,60.249,60.524,60.072,60.232,26133787
2012-09-06,60.586,61.587,60.586,61.569,43099507
2012-09-07,61.427,61.587,61.303,61.480,32966134
2012-09-10,61.330,61.454,60.648,60.692,25489971
2012-09-11,60.692,60.940,60.497,60.595,29810086
2012-09-12,60.816,60.931,60.400,60.774,42212157
2012-09-13,60.843,61.861,60.763,61.595,45417791
2012-09-14,61.843,62.366,61.799,62.144,38888047
2012-09-17,62.162,62.198,61.950,62.171,31798335
2012-09-18,62.020,62.251,62.003,62.224,27169767
2012-09-19,62.242,62.499,62.038,62.339,36484572
2012-09-20,62.047,62.339,61.870,62.277,42523444
2012-09-21,62.577,62.640,62.231,62.293,23681208
2012-09-24,61.769,62.036,61.645,61.925,32341549
2012-09-25,62.089,62.231,61.032,61.059,41308853
2012-09-26,60.979,61.014,60.251,60.562,32770371
2012-09-27,60.695,61.538,60.606,61.396,25334733
2012-09-28,61.201,61.379,60.837,60.890,30116097
2012-10-01,61.183,61.565,60.606,60.801,37715207
2012-10-02,61.086,61.254,60.499,60.979,33254267
2012-10-03,61.165,61.485,60.908,61.370,38235965
2012-10-04,61.485,61.752,61.272,61.583,26128544
2012-10-05,61.876,61.982,61.094,61.254,25207826
2012-10-08,60.899,61.023,60.553,60.695,30911410
2012-10-09,60.535,60.685,59.585,59.726,67973910
2012-10-10,59.718,59.878,59.318,59.425,45134294
2012-10-11,59.887,59.913,59.203,59.238,30476076
2012-10-12,59.256,59.549,59.096,59.212,24894927
2012-10-15,59.443,59.727,59.079,59.647,22220004
2012-10-16,59.754,60.562,59.718,60.491,33960299
2012-10-17,60.162,60.650,60.100,60.455,33439368
2012-10-18,60.269,60.455,59.532,59.754,61706323
2012-10-19,59.682,59.736,58.253,58.324,75362599
2012-10-22,58.271,58.777,58.164,58.626,38621408
2012-10-23,58.155,58.564,57.889,58.066,52598740
2012-10-24,58.395,58.493,57.773,57.866,39872375
2012-10-25,58.262,58.359,57.693,57.862,52688680
2012-10-26,57.880,58.273,57.409,58.031,54222197
2012-10-31,57.995,58.066,57.480,57.676,38524479
2012-11-01,58.004,58.608,57.871,58.495,26944931
2012-11-02,58.794,58.794,57.818,57.871,44082997
2012-11-05,57.893,58.368,57.756,58.253,28104128
2012-11-06,58.350,58.759,58.128,58.359,29608306
2012-11-07,57.756,57.809,56.743,56.983,70737600
2012-11-08,57.125,57.272,56.086,56.086,58585722
2012-11-09,56.113,56.930,56.086,56.326,51549536
2012-11-12,56.646,56.717,56.166,56.317,32663656
2012-11-13,55.873,56.459,55.749,55.926,43287627
2012-11-14,56.184,56.264,55.180,55.269,82655213
2012-11-15,55.314,55.491,54.878,55.083,55124159
2012-11-16,55.127,55.482,54.443,55.322,70868025
2012-11-19,55.917,56.681,55.908,56.637,55306381
2012-11-20,56.628,56.734,56.113,56.654,52012655
2012-11-21,56.681,56.850,56.477,56.770,19620058
2012-11-23,57.116,57.649,57.054,57.631,16462833
2012-11-26,57.516,57.915,57.312,57.881,26430885
2012-11-27,57.862,58.075,57.587,57.684,25828579
2012-11-28,57.418,58.226,57.054,58.182,37295780
2012-11-29,58.448,58.728,58.235,58.528,41135813
2012-11-30,58.537,58.581,58.262,58.430,33502042
2012-12-03,58.892,58.937,58.288,58.315,28239968
2012-12-04,58.333,58.404,57.898,58.279,49671701
2012-12-05,58.191,58.200,57.320,57.634,54076124
2012-12-06,57.462,58.146,57.303,58.004,47519071
2012-12-07,58.297,58.350,57.462,57.658,30092666
2012-12-10,57.498,58.124,57.498,57.827,33219547
2012-12-11,58.235,58.910,58.177,58.581,40750801
2012-12-12,58.866,58.892,58.297,58.457,45917674
2012-12-13,58.350,58.750,57.747,57.996,45467642
2012-12-14,57.631,57.791,57.249,57.445,39630252
2012-12-17,57.480,58.226,57.418,58.208,42302841
2012-12-18,58.475,59.185,58.342,59.094,55595997
2012-12-19,59.247,59.283,58.803,58.839,34832444
2012-12-20,58.945,58.972,58.546,58.839,40754272
2012-12-21,57.947,58.295,57.688,58.224,51144552
2012-12-24,58.099,58.170,57.974,58.108,11418232
2012-12-26,58.116,58.206,57.411,57.599,21760846
2012-12-27,57.652,57.724,56.795,57.509,52943138
2012-12-28,57.089,57.536,56.929,56.956,33082054
2012-12-31,56.866,58.270,56.777,58.161,57553098
2013-01-02,59.554,60.036,59.367,60.010,70695891
2013-01-03,60.010,60.135,59.518,59.699,47366435
2013-01-04,59.715,59.724,59.358,59.501,33973326
2013-01-07,59.349,59.617,59.161,59.519,26766190
2013-01-08,59.510,59.666,59.090,59.402,28743941
2013-01-09,59.492,59.786,59.429,59.626,25609172
2013-01-10,60.019,60.072,59.429,59.983,37534251
2013-01-11,59.956,60.090,59.831,60.063,21160468
2013-01-14,59.742,59.965,59.536,59.795,36777292
2013-01-15,59.501,59.589,59.235,59.501,31675276
2013-01-16,59.608,59.947,59.474,59.742,33828119
2013-01-17,59.992,60.260,59.885,60.027,32030740
2013-01-18,59.840,59.956,59.626,59.894,31991953
2013-01-22,59.965,60.036,59.590,59.992,32123006
