date,open,high,low,close,volume
2012-01-03,99.666,100.149,99.408,99.459,193697825
2012-01-04,99.229,99.705,98.846,99.619,127186456
2012-01-05,99.081,100.032,98.628,99.884,173894933
2012-01-06,100.009,100.024,99.299,99.627,148049929
2012-01-09,99.853,99.993,99.393,99.868,99530109
2012-01-10,100.937,101.140,100.594,100.734,115281921
2012-01-11,100.422,100.922,100.258,100.789,111540673
2012-01-12,101.078,101.179,100.274,101.031,118983646
2012-01-13,100.352,100.672,99.634,100.508,179836140
2012-01-17,101.475,101.663,100.552,100.898,132209191
2012-01-18,100.875,102.068,100.695,102.014,163395122
2012-01-19,102.365,102.638,102.037,102.552,126328814
2012-01-20,102.380,102.934,102.131,102.614,138230146
2012-01-23,102.591,103.168,102.177,102.669,129295759
2012-01-24,102.037,102.583,101.881,102.552,103083260
2012-01-25,102.396,103.652,101.998,103.410,198613161
2012-01-26,103.870,104.065,102.474,102.880,184880478
2012-01-27,102.380,103.012,102.310,102.833,135259033
2012-01-30,101.811,102.536,101.460,102.482,147311730
2012-01-31,102.989,103.114,101.943,102.443,157211918
2012-02-01,103.199,103.863,103.075,103.340,166234457
2012-02-02,103.543,103.769,103.137,103.504,113090345
2012-02-03,104.533,105.017,104.354,104.955,160598487
2012-02-06,104.518,104.934,104.401,104.884,107694459
2012-02-07,104.666,105.329,104.253,105.150,135528071
2012-02-08,105.204,105.485,104.775,105.462,139361385
2012-02-09,105.633,105.774,104.970,105.594,148602826
2012-02-10,104.658,104.900,104.409,104.815,167907482
2012-02-13,105.563,105.719,105.111,105.594,115841819
2012-02-14,105.314,105.524,104.728,105.462,165996154
2012-02-15,105.805,105.961,104.760,104.970,195195094
2012-02-16,104.978,106.226,104.791,106.132,186567742
2012-02-17,106.499,106.583,106.062,106.413,129869401
2012-02-21,106.663,106.913,106.133,106.460,134042271
2012-02-22,106.296,106.523,105.930,106.119,124455245
2012-02-23,106.062,106.663,105.704,106.586,137704236
2012-02-24,106.819,107.030,106.585,106.819,105539083
2012-02-27,106.109,107.287,105.938,106.999,145728833
2012-02-28,107.030,107.435,106.819,107.310,129355808
2012-02-29,107.467,107.802,106.515,106.889,185934689
2012-03-01,107.116,107.646,106.820,107.443,145026117
2012-03-02,107.373,107.513,106.874,107.117,120638224
2012-03-05,106.952,107.030,106.312,106.679,140764992
2012-03-06,105.587,105.649,104.814,105.118,202129838
2012-03-07,105.360,106.023,105.259,105.852,143692128
2012-03-08,106.499,107.123,106.281,106.905,116968812
2012-03-09,107.108,107.599,106.975,107.318,122836765
2012-03-12,107.303,107.467,106.944,107.326,104003471
2012-03-13,107.903,109.315,107.724,109.262,184090417
2012-03-14,109.292,109.561,108.808,109.144,145163502
2012-03-15,109.308,109.822,109.027,109.776,165118448
2012-03-16,109.972,110.066,109.690,109.925,152893405
2012-03-19,109.855,110.693,109.776,110.356,125291026
2012-03-20,109.729,110.168,109.408,110.035,121729639
2012-03-21,110.097,110.199,109.627,109.855,122388401
2012-03-22,109.048,109.337,108.703,109.063,135216691
2012-03-23,109.157,109.541,108.554,109.416,120520956
2012-03-26,110.199,110.951,110.160,110.951,120163949
2012-03-27,111.053,111.124,110.536,110.607,119868421
2012-03-28,110.552,110.724,109.408,110.058,148562025
2012-03-29,109.408,110.077,108.977,109.870,164963645
2012-03-30,110.411,110.513,109.729,110.325,135486715
2012-04-02,110.191,111.422,109.972,111.132,151741045
2012-04-03,110.975,111.165,110.027,110.677,155806609
2012-04-04,109.862,109.956,109.173,109.580,146895936
2012-04-05,109.204,109.847,109.110,109.525,137439344
2012-04-09,108.147,109.568,107.998,108.295,127555857
2012-04-10,108.084,108.389,106.368,106.478,235360256
2012-04-11,107.567,107.763,107.144,107.340,154132907
2012-04-12,107.441,108.828,107.363,108.742,154321489
2012-04-13,108.491,108.763,107.347,107.449,169246612
2012-04-16,107.998,108.154,107.010,107.379,147825217
2012-04-17,107.998,109.189,107.886,108.971,147877575
2012-04-18,108.483,108.969,108.421,108.601,123884187
2012-04-19,108.617,109.024,107.394,107.904,198666751
2012-04-20,108.382,108.773,108.021,108.084,143199560
2012-04-23,106.979,107.269,106.509,107.175,171844860
2012-04-24,107.269,107.857,107.183,107.582,137484192
2012-04-25,108.632,109.102,108.538,109.055,150254995
2012-04-26,108.820,109.941,108.758,109.815,136292712
2012-04-27,110.144,110.309,109.533,109.996,130724989
2012-04-30,109.776,109.855,109.290,109.588,115092198
2012-05-01,109.525,110.991,109.400,110.270,138837314
2012-05-02,109.627,110.050,109.267,109.945,121080935
2012-05-03,109.956,110.043,108.899,109.102,143762703
2012-05-04,108.527,109.142,107.277,107.340,193931300
2012-05-07,106.956,107.778,106.916,107.418,127765875
2012-05-08,106.775,107.159,105.710,106.987,213383873
2012-05-09,105.851,107.034,105.373,106.352,220778190
2012-05-10,107.089,107.222,106.329,106.572,150600916
2012-05-11,105.906,107.238,105.859,106.250,153032360
2012-05-14,105.232,106.254,104.918,105.075,163909908
2012-05-15,105.005,105.624,104.307,104.472,207629260
2012-05-16,104.942,105.420,104.049,104.072,207265560
2012-05-17,104.096,104.221,102.474,102.529,247992908
2012-05-18,102.928,103.109,101.502,101.651,319631058
2012-05-21,101.980,103.438,101.816,103.398,177861071
2012-05-22,103.665,104.386,102.905,103.579,197531138
2012-05-23,102.834,103.782,101.847,103.634,204958303
2012-05-24,103.916,104.080,102.968,103.837,167357599
2012-05-25,103.798,104.088,103.250,103.500,135465568
2012-05-29,104.331,104.934,102.772,104.754,152883408
2012-05-30,103.861,104.748,103.022,103.234,162370365
2012-05-31,103.195,103.775,102.121,103.007,196186175
2012-06-01,101.393,103.034,100.413,100.413,253244993
2012-06-04,100.594,100.868,99.610,100.366,202548253
2012-06-05,100.170,101.275,100.116,101.126,164149384
2012-06-06,101.831,103.446,101.800,103.398,184202757
2012-06-07,104.574,104.621,103.250,103.461,184772672
2012-06-08,103.195,104.303,102.866,104.284,143915630
2012-06-11,105.122,105.185,102.858,102.964,169756044
2012-06-12,103.257,104.213,102.764,104.143,181931736
2012-06-13,103.837,104.488,103.124,103.477,172223884
2012-06-14,103.688,104.989,103.406,104.574,230616235
2012-06-15,105.050,105.743,104.830,105.649,169444421
2012-06-18,105.208,106.113,104.971,105.853,131365459
2012-06-19,106.389,107.311,105.831,106.877,137382532
2012-06-20,106.885,107.192,105.751,106.704,206466600
2012-06-21,106.830,106.940,104.223,104.310,205272317
2012-06-22,104.853,105.310,104.452,105.113,130029174
2012-06-25,104.003,104.042,103.057,103.428,146375688
2012-06-26,103.727,104.262,103.120,103.947,141633945
2012-06-27,104.294,105.089,103.937,104.887,108087938
2012-06-28,104.192,104.743,103.396,104.585,169242658
2012-06-29,106.484,107.326,106.208,107.196,212251060
2012-07-02,107.492,107.626,106.736,107.515,129524407
2012-07-03,107.492,108.303,107.381,108.226,80450171
2012-07-05,107.822,108.531,107.342,107.736,126177419
2012-07-06,106.696,106.932,106.208,106.712,151192025
2012-07-09,106.625,106.775,106.090,106.578,103780468
2012-07-10,107.121,107.295,105.286,105.649,167884796
2012-07-11,105.704,106.011,105.050,105.664,141734024
2012-07-12,105.050,105.717,104.436,105.152,143583154
2012-07-13,105.428,107.027,105.412,106.917,129644147
2012-07-16,106.673,106.980,106.247,106.665,97525191
2012-07-17,107.090,107.618,105.972,107.397,138860218
2012-07-18,107.145,108.405,107.082,108.193,113349636
2012-07-19,108.413,108.831,108.067,108.476,129847218
2012-07-20,107.862,108.027,107.366,107.484,142904464
2012-07-23,105.909,107.417,105.412,106.397,145210831
2012-07-24,106.476,106.523,104.774,105.479,173301102
2012-07-25,105.704,105.979,104.948,105.507,129122265
2012-07-26,107.027,107.476,106.531,107.247,156526464
2012-07-27,107.815,109.532,107.221,109.220,236768882
2012-07-30,109.098,109.743,108.901,109.224,106781926
2012-07-31,109.075,109.374,108.460,108.460,120575835
2012-08-01,109.240,109.264,108.216,108.366,138293740
2012-08-02,107.547,108.350,106.783,107.618,199556580
2012-08-03,109.130,109.980,107.649,109.751,157824975
2012-08-06,110.043,110.398,109.917,109.965,86327738
2012-08-07,110.406,110.989,110.288,110.516,109545089
2012-08-08,110.146,110.776,110.114,110.650,89754633
2012-08-09,110.492,110.965,110.382,110.744,90291642
2012-08-10,110.296,110.965,110.114,110.926,99792622
2012-08-13,110.737,110.926,110.296,110.870,79426869
2012-08-14,111.280,111.351,110.555,110.886,102379363
2012-08-15,110.768,111.201,110.697,111.012,71085811
2012-08-16,111.170,111.965,110.894,111.831,112014164
2012-08-17,112.020,112.075,111.729,111.981,90813666
2012-08-20,111.823,112.012,111.516,111.989,78255657
2012-08-21,112.265,112.698,111.406,111.650,105581009
2012-08-22,111.367,111.879,111.107,111.697,133243431
2012-08-23,111.422,111.430,110.611,110.788,111466361
2012-08-24,110.508,111.705,110.437,111.453,99481192
2012-08-27,111.753,111.902,111.319,111.477,68785850
2012-08-28,111.193,111.713,111.028,111.367,75689536
2012-08-29,111.461,111.753,111.146,111.453,65421300
2012-08-30,110.973,111.004,110.414,110.650,96589830
2012-08-31,111.280,111.697,110.548,111.178,151970364
2012-09-04,111.083,111.414,110.366,111.075,120226199
2012-09-05,111.122,111.422,110.760,110.981,100660254
2012-09-06,111.650,113.241,111.642,113.233,158272434
2012-09-07,113.422,113.722,113.320,113.674,107272023
2012-09-10,113.564,113.761,112.989,113.028,86458407
2012-09-11,113.099,113.706,113.068,113.344,88759995
2012-09-12,113.722,113.848,113.336,113.722,87640880
2012-09-13,113.706,115.809,113.407,115.454,225470102
2012-09-14,115.683,116.651,115.588,115.966,169776992
2012-09-17,115.730,115.927,115.281,115.572,119427726
2012-09-18,115.376,115.628,115.187,115.478,98326520
2012-09-19,115.612,115.911,115.313,115.541,128318257
2012-09-20,115.013,115.612,114.698,115.549,154009764
2012-09-21,116.110,116.133,115.452,115.500,108737426
2012-09-24,114.930,115.587,114.843,115.322,95681978
2012-09-25,115.571,115.793,114.067,114.098,133165138
2012-09-26,114.071,114.106,113.188,113.461,146502136
2012-09-27,113.932,114.787,113.631,114.526,111830276
2012-09-28,114.090,114.463,113.592,113.995,150696066
2012-10-01,114.431,115.357,114.026,114.292,135911137
2012-10-02,114.748,114.930,113.885,114.415,113422151
2012-10-03,114.724,115.151,114.122,114.882,121283027
2012-10-04,115.318,115.872,115.159,115.702,124311599
2012-10-05,116.323,116.521,115.365,115.714,124842048
2012-10-08,115.286,115.700,115.056,115.319,78415562
2012-10-09,115.231,115.326,114.138,114.178,148872811
2012-10-10,114.162,114.273,113.299,113.449,124247412
2012-10-11,114.241,114.407,113.486,113.512,123601455
2012-10-12,113.592,113.980,112.895,113.140,124181900
2012-10-15,113.410,114.201,113.045,114.083,107689051
2012-10-16,114.621,115.318,114.542,115.239,108815410
2012-10-17,115.318,115.856,115.144,115.761,128834057
2012-10-18,115.460,116.015,115.072,115.460,148108412
2012-10-19,115.246,115.254,113.267,113.536,185645112
2012-10-22,113.346,113.758,112.657,113.552,125578601
2012-10-23,112.325,112.483,111.509,111.976,192056293
2012-10-24,112.380,112.515,111.485,111.660,120179305
2012-10-25,112.451,112.657,111.303,111.984,134457331
2012-10-26,111.881,112.309,111.161,111.921,146023428
2012-10-31,112.317,112.459,111.390,111.921,103438492
2012-11-01,112.158,113.235,112.056,113.093,100995566
2012-11-02,113.766,113.797,111.968,112.087,137702120
2012-11-05,111.921,112.570,111.588,112.316,98378432
2012-11-06,112.657,113.639,112.539,113.196,107068091
2012-11-07,112.166,112.182,110.108,110.630,264304430
2012-11-08,110.614,111.177,109.213,109.300,181517243
2012-11-09,108.968,110.409,108.912,109.395,201055214
2012-11-12,109.736,109.910,109.237,109.478,97677409
2012-11-13,108.904,110.258,108.762,109.102,123018209
2012-11-14,109.435,109.609,107.384,107.629,191504916
2012-11-15,107.669,108.073,107.036,107.447,178128354
2012-11-16,107.606,108.192,106.655,107.978,239483819
2012-11-19,109.189,110.179,108.006,110.163,151495731
2012-11-20,109.989,110.393,109.332,110.211,119807381
2012-11-21,110.306,110.512,110.084,110.417,81710736
2012-11-23,110.955,111.961,110.884,111.921,65409145
2012-11-26,111.367,111.926,111.002,111.683,100124325
2012-11-27,111.573,111.953,111.042,111.113,128646177
2012-11-28,110.662,112.071,110.060,112.008,177086443
2012-11-29,112.428,112.839,111.937,112.531,151085880
2012-11-30,112.546,112.768,112.166,112.558,136568288
2012-12-03,113.069,113.164,111.913,112.000,124656283
2012-12-04,111.992,112.333,111.541,111.842,127622507
2012-12-05,111.937,112.562,111.145,112.040,147300444
2012-12-06,111.937,112.467,111.770,112.420,103220533
2012-12-07,112.855,112.982,112.174,112.764,108726325
2012-12-10,112.602,113.077,112.554,112.810,98840667
2012-12-11,113.275,114.106,113.219,113.576,152570378
2012-12-12,114.019,114.455,113.473,113.631,145880026
2012-12-13,113.560,113.885,112.653,112.934,135714940
2012-12-14,112.689,112.895,112.341,112.519,137701692
2012-12-17,112.808,113.900,112.776,113.837,143735755
2012-12-18,114.019,115.207,113.853,115.104,177762727
2012-12-19,115.231,115.270,114.209,114.249,150895322
2012-12-20,114.320,114.922,114.003,114.906,168486930
2012-12-21,113.366,114.896,113.183,113.861,245883785
2012-12-24,113.614,113.677,113.382,113.510,53874548
2012-12-26,113.741,113.797,112.712,113.031,106947663
2012-12-27,113.063,113.295,111.572,112.881,167920546
2012-12-28,112.146,112.768,111.532,111.660,148806608
2012-12-31,111.365,113.677,111.269,113.558,243952162
2013-01-02,115.711,116.540,115.408,116.468,192058911
2013-01-03,116.412,116.715,115.894,116.208,144761781
2013-01-04,116.396,116.907,116.157,116.715,116817675
2013-01-07,116.301,116.775,115.966,116.396,110002444
2013-01-08,116.189,116.349,115.607,116.061,121265078
