date,open,high,low,close,volume
2024-01-02,250.080,251.250,244.410,248.420,104654163
2024-01-03,244.980,245.680,236.320,238.450,121082599
2024-01-04,239.250,242.700,237.730,237.930,102629283
2024-01-05,236.860,240.120,234.900,237.490,92488939
2024-01-08,236.140,241.250,235.300,240.450,85166580
2024-01-09,238.110,238.965,232.040,234.960,96705664
2024-01-10,235.100,235.500,231.290,233.940,91628502
2024-01-11,230.570,230.930,225.370,227.220,105873612
2024-01-12,220.080,225.340,217.150,218.890,123043812
2024-01-16,215.100,223.490,212.180,219.910,115355046
2024-01-17,214.860,215.670,212.010,215.550,103164400
2024-01-18,216.880,217.450,208.740,211.880,108595431
2024-01-19,209.990,213.190,207.560,212.190,102260343
2024-01-22,212.260,217.800,206.270,208.800,117952527
2024-01-23,211.300,215.650,207.752,209.140,106605946
2024-01-24,211.880,212.730,206.770,207.830,123369932
2024-01-25,189.700,193.000,180.060,182.630,198076787
2024-01-26,185.500,186.780,182.100,183.250,107343231
2024-01-29,185.630,191.480,183.670,190.930,125013148
2024-01-30,195.330,196.359,190.610,191.590,109982327
2024-01-31,186.995,193.970,185.846,187.290,103221430
2024-02-01,188.500,189.880,184.280,188.860,91843275
2024-02-02,185.040,188.690,182.000,187.910,110612672
2024-02-05,184.260,184.680,175.010,181.060,134294447
2024-02-06,177.210,186.490,177.110,185.100,122675954
2024-02-07,188.180,189.790,182.680,187.580,111535217
2024-02-08,189.000,191.617,185.580,189.560,83034043
2024-02-09,190.180,194.120,189.480,193.570,84476347
2024-02-12,192.110,194.730,187.280,188.130,95498597
2024-02-13,183.990,187.260,182.109,184.020,86759478
2024-02-14,185.300,188.890,183.350,188.710,81202987
2024-02-15,189.160,200.880,188.860,200.450,120831762
2024-02-16,202.060,203.170,197.400,199.950,111346705
2024-02-20,196.130,198.600,189.130,193.760,104545762
2024-02-21,193.360,199.440,191.950,194.770,103844008
2024-02-22,194.000,198.320,191.360,197.410,92739461
2024-02-23,195.310,197.570,191.500,191.970,78841917
2024-02-26,192.290,201.780,192.000,199.400,111747116
2024-02-27,204.040,205.600,198.260,199.730,108645412
2024-02-28,200.420,205.300,198.440,202.040,99806173
2024-02-29,204.180,205.280,198.446,201.880,85906974
2024-03-01,200.520,204.520,198.500,202.640,82243119
2024-03-04,198.730,199.750,186.720,188.140,134334869
2024-03-05,183.050,184.590,177.570,180.740,119660758
2024-03-06,179.990,181.576,173.700,176.540,107920944
2024-03-07,174.350,180.040,173.700,178.650,102129004
2024-03-08,181.500,182.730,174.700,175.340,85544644
2024-03-11,175.445,182.870,174.800,177.770,85391528
2024-03-12,177.770,179.430,172.410,177.540,87391684
2024-03-13,173.050,176.050,169.150,169.480,106524518
2024-03-14,167.770,171.170,160.510,162.500,126325696
2024-03-15,163.160,165.185,160.760,163.570,97146832
2024-03-18,170.020,174.720,165.900,173.800,108214358
2024-03-19,172.360,172.820,167.420,171.320,77271428
2024-03-20,173.000,176.250,170.820,175.660,83846726
2024-03-21,176.390,178.180,171.800,172.820,73178014
2024-03-22,166.690,171.200,166.300,170.830,75580637
2024-03-25,168.760,175.240,168.730,172.630,74228615
2024-03-26,178.580,184.250,177.380,177.670,113186227
2024-03-27,181.410,181.910,176.000,179.830,81804043
2024-03-28,177.450,179.570,175.300,175.790,77654838
2024-04-01,176.170,176.750,170.210,175.220,81562127
2024-04-02,164.750,167.690,163.430,166.630,116650594
2024-04-03,164.020,168.820,163.280,168.380,82950141
2024-04-04,170.070,177.190,168.010,171.110,123161960
2024-04-05,169.080,170.860,160.510,164.900,143157603
2024-04-08,169.340,174.500,167.790,172.980,104423320
2024-04-09,172.910,179.220,171.920,176.880,103232675
2024-04-10,173.040,174.930,170.010,171.760,84532407
2024-04-11,172.550,175.880,168.510,174.600,94515987
2024-04-12,172.340,173.810,170.364,171.050,64722669
2024-04-15,170.240,170.690,161.380,161.480,100245310
2024-04-16,156.742,158.190,153.750,157.110,96999956
2024-04-17,157.640,158.330,153.780,155.450,82439718
2024-04-18,151.250,152.200,148.700,149.930,96098830
2024-04-19,148.970,150.940,146.220,147.050,87074500
2024-04-22,140.560,144.440,138.803,142.050,107097564
2024-04-23,143.330,147.260,141.110,144.680,124545104
2024-04-24,162.840,167.970,157.510,162.130,181178020
2024-04-25,158.960,170.880,158.360,170.180,126427521
2024-04-26,168.850,172.120,166.370,168.290,109815725
2024-04-29,188.420,198.870,184.540,194.050,243869678
2024-04-30,186.980,190.950,182.840,183.280,127031787
2024-05-01,182.000,185.860,179.010,179.990,92829719
2024-05-02,182.860,184.600,176.020,180.010,89148041
2024-05-03,182.100,184.780,178.420,181.190,75491539
2024-05-06,183.800,187.560,182.200,184.760,84390253
2024-05-07,182.400,183.260,177.400,177.810,75045854
2024-05-08,171.590,176.060,170.150,174.720,79969488
2024-05-09,175.010,175.620,171.370,171.970,65950292
2024-05-10,173.050,173.060,167.750,168.470,72627178
2024-05-13,170.000,175.400,169.000,171.890,67018903
2024-05-14,174.496,179.490,174.070,177.550,86407422
2024-05-15,179.900,180.000,173.110,173.990,79662993
2024-05-16,174.100,175.790,171.430,174.840,59812220
2024-05-17,173.550,179.630,172.750,177.460,77445845
2024-05-20,177.560,177.754,173.520,174.950,61727425
2024-05-21,175.510,186.875,174.710,186.600,115266512
2024-05-22,182.850,183.800,178.120,180.110,88313477
2024-05-23,181.800,181.900,173.260,173.740,71975496
2024-05-24,174.835,180.080,173.730,179.240,65584478
2024-05-28,176.400,178.250,173.160,176.750,59736620
2024-05-29,174.190,178.150,173.930,176.190,54782649
2024-05-30,178.575,182.670,175.380,178.790,77784755
2024-05-31,178.500,180.320,173.820,178.080,67314602
2024-06-03,178.130,182.639,174.490,176.290,68568920
2024-06-04,174.775,177.755,174.000,174.770,60056340
2024-06-05,175.350,176.150,172.130,175.000,57953756
2024-06-06,174.600,179.730,172.730,177.940,69887024
2024-06-07,176.130,179.350,175.580,177.480,56244932
2024-06-10,176.060,178.570,173.170,173.790,50869682
2024-06-11,173.920,174.750,167.410,170.660,64761928
2024-06-12,171.120,180.550,169.800,177.290,90389446
2024-06-13,188.390,191.080,181.230,182.470,118984122
2024-06-14,185.800,186.000,176.920,178.010,82038194
2024-06-17,177.920,188.810,177.000,187.440,109786083
2024-06-18,186.560,187.200,182.370,184.860,68982265
2024-06-20,184.680,185.210,179.660,181.570,55893139
2024-06-21,182.300,183.950,180.690,183.010,63029482
2024-06-24,184.970,188.800,182.550,182.580,61992070
2024-06-25,184.400,187.970,182.010,187.350,63678265
2024-06-26,186.540,197.755,186.360,196.370,95737066
2024-06-27,195.170,198.720,194.050,197.420,72746521
2024-06-28,199.550,203.200,195.260,197.880,95438068
2024-07-01,201.020,213.230,200.850,209.860,135691395
2024-07-02,218.890,231.300,218.060,231.260,205047920
2024-07-03,234.560,248.350,234.250,246.390,166561471
2024-07-05,249.810,252.370,242.460,251.520,154501152
2024-07-08,247.710,259.439,244.570,252.940,157219580
2024-07-09,251.000,265.610,250.300,262.330,160742516
2024-07-10,262.800,267.590,257.860,263.260,128519430
2024-07-11,263.300,271.000,239.650,241.030,221707273
2024-07-12,235.800,251.840,233.091,248.230,155955773
2024-07-15,255.970,265.600,251.730,252.640,146912920
2024-07-16,255.310,258.620,245.800,256.560,126332470
2024-07-17,252.730,258.470,246.182,248.500,115584810
2024-07-18,251.090,257.140,247.200,249.230,110869037
2024-07-19,247.790,249.440,236.830,239.200,87403903
2024-07-22,244.210,253.210,243.750,251.510,101225430
2024-07-23,253.600,255.759,245.630,246.380,111928192
2024-07-24,225.420,225.990,214.710,215.990,167942939
2024-07-25,216.800,226.000,216.231,220.250,100636466
2024-07-26,221.190,222.280,215.330,219.800,94604145
2024-07-29,224.900,234.270,224.700,232.100,129201789
2024-07-30,232.250,232.410,220.000,222.620,100560334
2024-07-31,227.900,234.680,226.788,232.070,67497011
2024-08-01,227.690,231.867,214.333,216.860,83861898
2024-08-02,214.880,216.130,205.780,207.670,82880120
2024-08-05,185.220,203.880,182.000,198.880,100308836
2024-08-06,200.750,202.900,192.670,200.640,73783942
2024-08-07,200.770,203.490,191.480,191.760,71159778
2024-08-08,195.700,200.700,192.040,198.840,65033874
2024-08-09,197.050,200.880,195.110,200.000,58648274
2024-08-12,199.020,199.260,194.670,197.490,64044903
2024-08-13,198.470,208.490,197.060,207.830,76247387
2024-08-14,207.390,208.440,198.750,201.380,70250014
2024-08-15,205.020,215.880,204.820,214.140,89848530
2024-08-16,211.150,219.800,210.800,216.120,88765122
2024-08-19,217.070,222.980,214.090,222.720,76435222
2024-08-20,224.880,228.220,219.560,221.100,74001182
2024-08-21,222.670,224.659,218.860,223.270,70145964
2024-08-22,223.820,224.800,210.320,210.660,79514482
2024-08-23,214.455,221.480,214.210,220.320,81525207
2024-08-26,218.750,219.090,211.010,213.210,59301187
2024-08-27,213.250,215.660,206.940,209.210,62821390
2024-08-28,209.720,211.840,202.590,205.750,64116350
2024-08-29,209.800,214.890,205.970,206.280,62308818
2024-08-30,208.630,214.570,207.030,214.110,63370608
2024-09-03,215.260,219.904,209.640,210.600,76714222
2024-09-04,210.590,222.220,210.570,219.410,80651767
2024-09-05,223.490,235.000,222.250,230.170,119355013
2024-09-06,232.600,233.600,210.510,210.730,112177004
2024-09-09,216.200,219.870,213.670,216.270,67443518
2024-09-10,220.070,226.400,218.638,226.170,78891136
2024-09-11,224.550,228.470,216.800,228.130,83548633
2024-09-12,224.660,231.450,223.830,229.810,72020042
2024-09-13,228.000,232.670,226.320,230.290,59515114
2024-09-16,229.300,229.960,223.530,226.780,54322995
2024-09-17,229.450,234.570,226.553,227.870,66761636
2024-09-18,230.090,235.680,226.880,227.200,78010204
2024-09-19,234.000,244.240,232.130,243.920,102694576
2024-09-20,241.520,243.990,235.920,238.250,99879070
2024-09-23,242.610,250.000,241.920,250.000,86927194
2024-09-24,254.080,257.190,249.050,254.270,88490999
2024-09-25,252.540,257.050,252.280,257.020,65034318
2024-09-26,260.600,261.750,251.530,254.220,67142193
2024-09-27,257.375,260.700,254.120,260.460,70988067
2024-09-30,259.040,264.860,255.770,261.630,80873381
2024-10-01,262.670,263.980,248.530,258.020,87397613
2024-10-02,247.550,251.159,241.500,249.020,93983930
2024-10-03,244.480,249.790,237.810,240.660,80729240
2024-10-04,246.690,250.960,244.580,250.080,86726285
2024-10-07,249.000,249.830,240.700,240.830,68113270
2024-10-08,243.560,246.210,240.560,244.500,56303160
2024-10-09,243.820,247.430,239.510,241.050,66289529
2024-10-10,241.810,242.790,232.340,238.770,83087063
2024-10-11,220.130,223.340,214.380,217.800,142628874
2024-10-14,220.130,221.910,213.740,219.160,86291923
2024-10-15,220.010,224.260,217.120,219.570,62988787
2024-10-16,221.400,222.820,218.930,221.330,49632824
2024-10-17,221.590,222.080,217.900,220.890,50791784
2024-10-18,220.710,222.280,219.230,220.700,49611867
2024-10-21,218.900,220.480,215.726,218.850,47328988
2024-10-22,217.310,218.220,215.260,217.970,43268741
2024-10-23,217.125,218.720,212.110,213.650,80938892
2024-10-24,244.680,262.120,242.650,260.480,204491903
2024-10-25,256.010,269.490,255.320,269.190,161611931
2024-10-28,270.000,273.536,262.240,262.510,107653603
2024-10-29,264.510,264.980,255.510,259.520,80521751
2024-10-30,258.035,263.350,255.820,257.550,53993576
2024-10-31,257.990,259.750,249.250,249.850,66575292
2024-11-01,252.043,254.000,246.630,248.980,57544757
2024-11-04,244.560,248.900,238.880,242.840,68802354
2024-11-05,247.340,255.280,246.210,251.440,69282505
2024-11-06,284.670,289.590,275.620,288.530,165228710
2024-11-07,288.890,299.750,285.520,296.910,117309232
2024-11-08,299.140,328.710,297.660,321.220,204782763
2024-11-11,346.300,358.640,336.000,350.000,210521625
2024-11-12,342.740,345.840,323.310,328.490,155726016
2024-11-13,335.850,344.600,322.500,330.240,125405599
2024-11-14,327.690,329.980,310.370,311.180,120726109
2024-11-15,310.570,324.680,309.220,320.720,114440286
2024-11-18,340.730,348.550,330.010,338.740,126547455
2024-11-19,335.760,347.380,332.750,346.000,88852452
2024-11-20,345.000,346.600,334.300,342.030,66340650
2024-11-21,343.810,347.990,335.280,339.640,58011719
2024-11-22,341.085,361.530,337.700,352.560,89140722
2024-11-25,360.140,361.930,338.200,338.590,95890899
2024-11-26,341.000,346.960,335.660,338.230,62295857
2024-11-27,341.800,342.550,326.590,332.890,57896439
2024-11-29,336.080,345.450,334.650,345.160,37167621
2024-12-02,352.380,360.000,351.150,357.090,77986478
2024-12-03,351.800,355.690,348.200,351.420,58267196
2024-12-04,353.000,358.100,348.600,357.930,50810874
2024-12-05,359.870,375.430,359.500,369.490,81403569
2024-12-06,377.420,389.490,370.800,389.220,81455834
2024-12-09,397.610,404.800,378.010,389.790,96359173
2024-12-10,392.680,409.730,390.850,400.990,97563578
2024-12-11,409.700,424.880,402.380,424.770,104287559
2024-12-12,424.840,429.300,415.000,418.100,87752225
2024-12-13,420.000,436.300,415.710,436.230,89000158
2024-12-16,441.090,463.190,436.150,463.020,114083811
2024-12-17,475.900,483.990,457.510,479.860,131222978
2024-12-18,466.495,488.540,427.010,440.130,149340788
2024-12-19,451.880,456.360,420.020,436.170,118566146
2024-12-20,425.505,447.080,417.640,421.060,132216176
2024-12-23,431.000,434.510,415.411,430.600,72698055
2024-12-24,435.900,462.780,435.140,462.280,59551750
2024-12-26,465.160,465.330,451.020,454.130,76651210
2024-12-27,449.520,450.000,426.500,431.660,82666821
2024-12-30,419.400,427.000,415.750,417.410,64941012
2024-12-31,423.790,427.930,402.540,403.840,76825121
2025-01-02,390.100,392.730,373.040,379.280,109710749
2025-01-03,381.480,411.880,379.450,410.440,95423329
2025-01-06,423.200,426.430,401.700,411.050,85516534
2025-01-07,405.830,414.330,390.000,394.360,75699525
2025-01-08,392.950,402.500,387.400,394.940,73038805
2025-01-10,391.400,399.280,377.290,394.740,62287333
2025-01-13,383.210,403.790,380.070,403.310,67580494
2025-01-14,414.340,422.640,394.540,396.360,84565022
2025-01-15,409.900,429.800,405.661,428.220,81375460
2025-01-16,423.490,424.000,409.130,413.820,68335151
2025-01-17,421.500,439.740,419.750,426.500,94991429
2025-01-21,432.640,433.200,406.310,424.070,87320894
2025-01-22,416.810,428.000,414.590,415.110,60963342
2025-01-23,416.060,420.730,408.950,412.380,50690592
2025-01-24,414.450,418.880,405.780,406.580,56427149
2025-01-27,394.800,406.690,389.000,397.150,58125510
2025-01-28,396.910,400.590,386.500,398.090,48910676
2025-01-29,395.210,398.590,384.480,389.100,68033648
2025-01-30,410.780,412.500,384.410,400.280,98092879
2025-01-31,401.530,419.990,401.340,404.600,83568219
2025-02-03,386.680,389.170,374.360,383.680,93732122
2025-02-04,382.630,394.000,381.400,392.210,57198379
2025-02-05,387.510,388.390,375.530,378.170,57614721
2025-02-06,373.030,375.400,363.180,374.320,77918230
2025-02-07,370.190,380.546,360.340,361.620,70298258
2025-02-10,356.210,362.700,350.510,350.730,77514903
2025-02-11,345.800,349.370,325.100,328.500,118543400
2025-02-12,329.940,346.400,329.120,336.510,105382729
2025-02-13,345.000,358.690,342.850,355.940,89441519
2025-02-14,360.620,362.000,347.500,355.840,68277279
2025-02-18,355.010,359.100,350.020,354.110,51631702
2025-02-19,354.000,367.340,353.670,360.560,67094374
2025-02-20,361.510,362.300,348.000,354.400,45965354
2025-02-21,353.440,354.980,334.420,337.800,74058648
2025-02-24,338.140,342.397,324.700,330.530,76052321
2025-02-25,327.025,328.890,297.251,302.800,134228777
2025-02-26,303.715,309.000,288.040,290.800,100118276
2025-02-27,291.160,297.230,280.880,281.950,101748197
2025-02-28,279.500,293.880,273.600,292.980,115696968
2025-03-03,300.340,303.940,277.300,284.650,115551414
2025-03-04,270.930,284.350,261.840,272.040,126706623
2025-03-05,272.920,279.550,267.710,279.100,94042913
2025-03-06,272.060,272.650,260.020,263.450,98451566
2025-03-07,259.320,266.250,250.730,262.670,102369640
2025-03-10,252.535,253.370,220.000,222.150,189076948
2025-03-11,225.305,237.065,217.020,230.580,174896415
2025-03-12,247.220,251.840,241.100,248.090,142215681
2025-03-13,248.125,248.290,232.600,240.680,114813525
2025-03-14,247.310,251.580,240.730,249.980,100242264
2025-03-17,245.055,245.400,232.800,238.010,111900565
2025-03-18,228.155,230.100,222.280,225.310,111477636
2025-03-19,231.610,241.410,229.201,235.860,111993753
2025-03-20,233.345,238.000,230.050,236.260,99028270
2025-03-21,234.985,249.520,234.550,248.710,132728684
2025-03-24,258.075,278.640,256.330,278.390,169079865
2025-03-25,283.600,288.200,271.280,288.140,150361538
2025-03-26,282.660,284.900,266.510,272.060,156254441
2025-03-27,272.480,291.850,271.822,273.130,162572146
2025-03-28,275.575,276.100,260.570,263.550,123809389
2025-03-31,249.310,260.560,243.360,259.160,134008936
2025-04-01,263.800,277.450,259.250,268.460,146486911
2025-04-02,254.600,284.990,251.270,282.760,212787817
2025-04-03,265.290,276.300,261.510,267.280,136174291
2025-04-04,255.380,261.000,236.000,239.430,181229353
2025-04-07,223.780,252.000,214.250,233.290,183453776
2025-04-08,245.000,250.440,217.800,221.860,171603472
2025-04-09,224.690,274.690,223.880,272.200,219433373
2025-04-10,260.000,262.490,239.330,252.400,181722604
2025-04-11,251.840,257.740,241.363,252.310,128948085
2025-04-14,258.360,261.800,245.930,252.350,100135241
2025-04-15,249.910,258.750,247.540,254.110,79594318
2025-04-16,247.610,251.970,233.890,241.550,112378737
2025-04-17,243.470,244.340,237.683,241.370,83404775
2025-04-21,230.260,232.210,222.790,227.500,97768007
2025-04-22,230.960,242.790,229.850,237.970,120858452
2025-04-23,254.860,259.450,244.430,250.740,150381903
2025-04-24,250.500,259.540,249.200,259.510,94464195
2025-04-25,261.690,286.850,259.630,284.950,167560688
2025-04-28,288.980,294.860,272.420,285.880,151731771
2025-04-29,285.500,293.320,279.470,292.030,108906553
2025-04-30,279.900,284.450,270.780,282.160,128961057
2025-05-01,280.010,290.869,279.810,280.520,99658974
2025-05-02,284.900,294.780,279.810,287.210,114454683
2025-05-05,284.570,284.849,274.400,280.260,94618882
2025-05-06,273.105,277.730,271.350,275.350,76715792
2025-05-07,276.880,277.920,271.000,276.220,71882408
2025-05-08,279.630,289.800,279.410,284.820,97539448
2025-05-09,290.210,307.040,290.000,298.260,132387835
2025-05-12,321.990,322.210,311.500,318.380,112826661
2025-05-13,320.000,337.589,316.800,334.070,136992574
2025-05-14,342.500,350.000,337.000,347.680,136997264
2025-05-15,340.340,346.139,334.715,342.820,97882596
2025-05-16,346.240,351.620,342.330,349.980,95895665
2025-05-19,336.300,343.000,333.370,342.090,88869853
2025-05-20,347.870,354.990,341.630,343.820,131715548
2025-05-21,344.430,347.350,332.200,334.620,102354844
2025-05-22,331.900,347.270,331.390,341.040,97113416
2025-05-23,337.920,343.180,333.210,339.340,84654818
2025-05-27,347.350,363.790,347.320,362.890,120146414
2025-05-28,364.840,365.000,355.910,356.900,91404309
2025-05-29,365.290,367.710,356.000,358.430,88545666
2025-05-30,355.520,363.680,345.290,346.460,123474938
2025-06-02,343.500,348.020,333.330,342.690,81873829
2025-06-03,346.595,355.400,343.040,344.270,99324544
2025-06-04,345.095,345.600,327.331,332.050,98912075
2025-06-05,322.490,324.550,273.210,284.700,292818655
2025-06-06,298.830,305.500,291.140,295.140,164747685
2025-06-09,285.955,309.830,281.850,308.580,140908876
2025-06-10,314.940,327.830,310.667,326.090,151256520
2025-06-11,334.395,335.500,322.500,326.430,122611360
2025-06-12,323.075,332.560,316.860,319.110,105127536
2025-06-13,313.970,332.990,313.300,325.310,128964279
2025-06-16,331.290,332.050,326.410,329.130,83925858
2025-06-17,326.090,327.260,314.740,316.350,88282669
2025-06-18,317.310,329.320,315.450,322.050,95137686
2025-06-20,327.950,332.360,317.780,322.160,108688008
2025-06-23,327.540,357.540,327.480,348.680,190716815
2025-06-24,356.170,356.260,340.440,340.470,114736245
2025-06-25,342.700,343.000,320.400,327.550,119845050
2025-06-26,324.610,331.050,323.610,325.780,80440907
2025-06-27,324.510,329.339,317.495,323.630,89067049
2025-06-30,319.900,325.580,316.600,317.660,76695081
2025-07-01,298.460,305.890,293.210,300.710,145085665
2025-07-02,312.630,316.832,303.820,315.650,119483730
2025-07-03,317.990,318.450,312.760,315.350,58042302
