date,open,high,low,close,volume
2024-01-02,499.497,511.652,499.336,511.348,3415659
2024-01-03,514.856,518.412,511.481,513.899,2891500
2024-01-04,516.715,520.507,514.818,517.113,2994377
2024-01-05,518.611,518.611,506.025,509.490,2815541
2024-01-08,511.405,512.211,500.597,508.675,2648939
2024-01-09,510.078,511.604,504.702,510.429,2677038
2024-01-10,510.173,513.112,508.324,509.736,2179994
2024-01-11,508.305,512.126,506.788,511.671,2814058
2024-01-12,491.931,501.052,486.499,494.444,6327267
2024-01-16,496.529,497.278,489.741,492.206,3736718
2024-01-17,494.226,503.114,493.012,497.696,3791496
2024-01-18,479.009,490.016,471.642,489.542,7367041
2024-01-19,488.272,490.689,475.776,477.425,6143395
2024-01-22,477.786,486.916,470.732,486.366,5922855
2024-01-23,485.901,491.192,485.503,488.765,2673106
2024-01-24,491.021,494.652,486.328,486.593,2918924
2024-01-25,462.284,469.793,454.140,467.793,14671004
2024-01-26,467.679,477.548,464.474,477.084,6212173
2024-01-29,476.999,480.222,475.140,478.354,4554106
2024-01-30,478.354,479.786,473.310,477.473,4931215
2024-01-31,478.326,488.272,478.326,485.181,5358104
2024-02-01,482.422,483.742,476.894,480.819,4242580
2024-02-02,481.872,486.290,479.160,483.749,3804521
2024-02-05,483.493,487.508,474.097,476.856,3646516
2024-02-06,477.786,484.422,476.373,484.166,2745515
2024-02-07,487.333,493.960,486.081,492.434,4109062
2024-02-08,493.609,495.060,490.436,493.097,3342976
2024-02-09,492.054,493.382,489.495,491.324,2715493
2024-02-12,491.324,492.054,486.195,490.774,3194016
2024-02-13,494.908,499.582,487.523,490.025,3436087
2024-02-14,488.518,491.618,487.598,490.111,1918535
2024-02-15,490.490,494.674,489.030,493.846,2292306
2024-02-16,495.193,496.605,491.960,494.482,2135586
2024-02-20,497.004,498.103,492.453,494.017,2600288
2024-02-21,496.492,496.510,490.675,494.880,2096023
2024-02-22,496.994,499.402,491.675,499.175,3186819
2024-02-23,499.412,502.962,496.956,499.876,2502146
2024-02-26,500.900,505.157,497.098,498.056,2308927
2024-02-27,497.525,498.312,485.475,486.774,3780619
2024-02-28,469.727,472.675,459.250,472.419,9558573
2024-02-29,472.628,475.709,466.086,467.982,6833167
2024-03-01,464.019,464.588,452.481,464.123,7315039
2024-03-04,458.160,461.763,455.183,456.861,5239810
2024-03-05,457.354,457.837,446.190,448.594,5296200
2024-03-06,449.817,454.898,443.891,448.072,5577493
2024-03-07,449.399,456.216,449.020,453.931,5102043
2024-03-08,455.274,460.909,451.886,453.599,4673567
2024-03-11,454.009,466.677,453.057,465.573,4410088
2024-03-12,464.602,468.552,463.855,465.763,4153799
2024-03-13,469.732,472.093,461.937,464.478,3669036
2024-03-14,465.164,466.077,461.804,465.430,3378538
2024-03-15,463.955,467.543,463.955,467.162,5713536
2024-03-18,468.381,468.381,462.932,463.574,2970640
2024-03-19,466.068,469.656,464.279,469.542,2511743
2024-03-20,468.733,470.760,465.849,470.408,3548160
2024-03-21,468.552,472.283,467.600,467.991,3693408
2024-03-22,471.331,471.931,466.163,466.449,2847269
2024-03-25,466.953,467.791,460.738,462.461,2786141
2024-03-26,464.602,469.561,461.842,468.581,3113314
2024-03-27,469.904,471.836,467.629,469.333,2653185
2024-03-28,471.141,471.969,465.716,470.855,3820008
2024-04-01,470.637,471.883,465.145,466.096,2928707
2024-04-02,437.447,441.331,427.929,436.058,11867018
2024-04-03,439.732,440.541,433.592,437.581,4460400
2024-04-04,438.608,439.465,430.137,433.431,5182046
2024-04-05,428.962,435.686,428.320,433.773,5747375
2024-04-08,433.992,435.163,431.727,434.021,4532254
