date,open,high,low,close,volume
2024-01-02,254.288,254.758,252.388,253.563,5470986
2024-01-03,253.250,253.553,251.594,252.691,4148294
2024-01-04,252.780,255.689,252.711,254.288,3842976
2024-01-05,255.434,256.100,253.446,254.366,3748636
2024-01-08,255.591,257.236,254.621,257.158,4659030
2024-01-09,256.629,258.216,255.791,257.932,7055782
2024-01-10,259.538,259.930,257.471,259.137,4355784
2024-01-11,260.018,260.733,257.021,258.617,5598998
2024-01-12,259.695,260.106,258.304,258.755,4656238
2024-01-16,258.118,260.214,256.972,259.803,6196414
2024-01-17,258.999,261.624,258.970,261.164,5118722
2024-01-18,262.388,263.270,260.953,262.643,6694264
2024-01-19,262.682,265.591,261.575,265.347,7226520
2024-01-22,266.659,266.767,264.818,265.640,5984272
2024-01-23,265.983,266.297,264.377,265.699,5882995
2024-01-24,266.982,267.266,265.518,266.081,5021703
2024-01-25,266.375,267.188,265.249,267.021,6894942
2024-01-26,260.488,265.317,260.155,262.447,8586548
2024-01-29,261.497,269.431,261.242,268.050,6574480
2024-01-30,268.961,272.928,268.569,271.468,6548999
2024-01-31,271.439,274.250,267.580,267.658,6139312
2024-02-01,267.786,271.508,267.756,271.370,7064976
2024-02-02,271.919,272.791,270.029,271.498,4848891
2024-02-05,271.713,272.301,269.485,269.931,4899140
2024-02-06,269.167,271.204,268.412,271.086,4400250
2024-02-07,273.653,273.809,271.380,273.663,4785902
2024-02-08,274.341,274.458,270.160,270.650,5833409
2024-02-09,269.885,272.024,268.992,271.288,4618283
2024-02-12,271.288,271.524,269.139,269.954,3676232
2024-02-13,268.658,272.829,267.690,270.680,5493833
2024-02-14,271.328,272.476,269.600,272.397,4218350
2024-02-15,272.491,275.891,272.397,275.754,4834758
2024-02-16,275.734,275.891,272.702,273.379,6630744
2024-02-20,269.463,271.691,268.256,270.032,6157178
2024-02-21,269.522,271.818,268.442,271.612,4771105
2024-02-22,273.987,278.776,273.791,278.472,5100191
2024-02-23,279.424,280.631,278.227,278.325,5107693
2024-02-26,277.775,280.042,277.403,278.865,3856911
2024-02-27,278.884,278.884,276.303,277.903,4145383
2024-02-28,276.853,280.808,276.838,280.317,4358820
2024-02-29,280.190,280.347,276.931,277.383,6633684
2024-03-01,277.932,279.611,276.863,277.893,3955728
2024-03-04,277.550,277.736,272.957,275.312,5920308
2024-03-05,275.057,275.764,272.515,274.184,6228066
2024-03-06,274.792,276.755,274.115,275.214,4535185
2024-03-07,275.656,275.940,271.023,273.084,5668483
2024-03-08,273.811,276.426,273.644,274.831,3929002
2024-03-11,274.252,275.548,272.819,275.342,4614232
2024-03-12,276.078,279.184,275.077,278.639,7988665
2024-03-13,279.365,280.779,278.541,279.836,5783867
2024-03-14,283.585,283.665,279.257,281.083,5484511
2024-03-15,278.276,280.317,277.383,277.775,9845181
2024-03-18,278.590,280.906,277.982,279.748,4095632
2024-03-19,281.328,282.702,279.944,282.005,6595183
2024-03-20,282.290,284.478,281.387,283.899,6104955
2024-03-21,284.577,285.548,282.545,284.969,5057559
2024-03-22,284.606,285.087,277.628,277.991,8744121
2024-03-25,277.746,278.227,274.831,275.979,8519433
2024-03-26,278.845,278.845,273.232,275.381,8752364
2024-03-27,275.037,276.019,271.828,273.830,5190674
2024-03-28,273.310,274.596,271.966,273.889,5844358
2024-04-01,275.145,275.665,271.642,273.104,5083986
2024-04-02,272.829,274.134,271.828,273.261,6912306
2024-04-03,275.263,275.263,271.416,271.809,4536847
2024-04-04,273.183,273.894,268.472,268.904,4018551
2024-04-05,270.965,272.787,269.914,271.985,4392050
2024-04-08,271.112,272.810,270.032,272.594,5542428
2024-04-09,272.466,272.829,268.236,271.573,7314306
2024-04-10,270.297,271.671,269.021,269.375,5276012
2024-04-11,268.904,271.337,267.117,270.552,8102293
2024-04-12,270.425,271.848,268.958,270.827,9038411
2024-04-15,272.721,272.741,265.312,266.234,10267489
2024-04-16,265.508,269.031,265.145,266.303,8237131
2024-04-17,268.217,268.904,266.450,267.618,5940897
2024-04-18,267.500,268.069,264.841,266.323,8231849
2024-04-19,266.421,266.941,263.300,264.762,7905368
2024-04-22,265.910,268.668,264.350,267.265,6463742
2024-04-23,268.913,269.777,267.638,269.012,6438002
2024-04-24,277.314,277.736,269.384,269.905,8807157
2024-04-25,267.893,271.082,265.459,270.042,8064621
2024-04-26,269.895,271.622,268.737,269.414,6840615
2024-04-29,267.255,269.365,266.048,266.784,4192247
2024-04-30,265.498,267.019,263.589,263.614,6376353
2024-05-01,263.162,265.871,261.749,262.348,6125360
2024-05-02,264.340,264.458,261.690,262.632,5061698
2024-05-03,263.997,264.438,261.543,263.496,3862018
2024-05-06,264.635,267.706,264.556,267.598,3958721
2024-05-07,268.629,272.711,267.760,271.318,6377080
2024-05-08,272.633,273.364,269.802,272.034,9029699
2024-05-09,271.652,273.605,271.254,273.359,8948813
2024-05-10,274.350,275.803,274.046,275.518,8986581
2024-05-13,276.225,276.902,273.909,274.193,10528397
2024-05-14,274.242,274.782,269.164,272.574,18526094
2024-05-15,271.995,276.490,271.916,276.264,21288365
2024-05-16,277.007,277.636,274.568,275.139,10341718
2024-05-17,275.345,276.191,273.428,275.394,6177831
2024-05-20,274.529,275.561,273.507,273.861,5460901
2024-05-21,273.330,273.747,270.262,271.314,6578156
2024-05-22,270.901,273.408,270.498,270.950,4202492
2024-05-23,270.616,272.779,268.447,269.623,6115917
2024-05-24,270.390,270.616,268.758,269.879,4339967
2024-05-28,269.623,269.851,265.690,266.428,6212455
2024-05-29,264.481,266.585,263.753,264.343,5469713
2024-05-30,264.186,267.076,263.802,266.742,4903071
2024-05-31,266.880,268.178,264.491,267.883,8909985
2024-06-03,268.502,268.541,263.557,265.838,4838782
2024-06-04,265.100,268.404,264.786,267.843,4188515
2024-06-05,268.935,270.311,267.450,269.888,5368674
2024-06-06,270.183,272.494,269.475,272.386,4862378
2024-06-07,273.044,275.625,272.209,273.988,4515795
2024-06-10,273.467,273.880,268.787,270.419,5214002
