date,open,high,low,close,volume
2016-01-04,17.336,17.393,17.147,17.344,28860380
2016-01-05,17.417,17.417,17.206,17.336,18997916
2016-01-06,17.100,17.117,16.786,16.881,18614764
2016-01-07,16.573,16.737,16.333,16.423,25159348
2016-01-08,16.581,16.597,16.212,16.256,17400352
2016-01-11,16.342,16.346,15.855,15.980,20131306
2016-01-12,16.216,16.216,15.806,16.005,14540518
2016-01-13,16.122,16.155,15.615,15.635,21619168
2016-01-14,15.696,15.962,15.506,15.846,20745186
2016-01-15,15.522,15.627,15.319,15.522,18717792
2016-01-19,15.664,15.717,15.132,15.331,19731146
2016-01-20,14.990,15.347,14.728,15.218,25650774
2016-01-21,15.291,15.465,15.086,15.351,23401304
2016-01-22,15.640,15.859,15.481,15.627,19075210
2016-01-25,15.477,15.510,15.104,15.128,22283462
2016-01-26,15.291,15.429,15.130,15.388,15175614
2016-01-27,15.360,15.623,15.226,15.266,15628692
2016-01-28,15.404,15.429,15.154,15.291,13311004
2016-01-29,15.416,15.745,15.299,15.733,16002018
2016-02-01,15.644,15.838,15.453,15.798,27190800
2016-02-02,15.737,15.773,15.510,15.692,23018776
2016-02-03,15.879,16.220,15.676,16.220,28828450
2016-02-04,16.285,16.780,16.273,16.670,29180814
2016-02-05,16.544,16.714,16.423,16.480,22863734
2016-02-08,16.232,16.362,15.812,16.045,23207440
2016-02-09,15.891,16.325,15.891,16.244,20513592
2016-02-10,16.313,16.480,16.049,16.090,22744718
2016-02-11,15.761,15.968,15.611,15.741,27070090
2016-02-12,15.964,16.208,15.786,16.208,17192782
2016-02-16,16.370,16.475,16.163,16.455,13573648
2016-02-17,16.589,16.873,16.585,16.780,14988440
2016-02-18,16.800,16.804,16.609,16.731,10820316
2016-02-19,16.642,16.654,16.467,16.536,11860946
2016-02-22,16.723,16.910,16.699,16.853,10720940
2016-02-23,16.719,16.727,16.411,16.439,13067472
2016-02-24,16.273,16.630,16.195,16.609,20284886
2016-02-25,16.650,16.837,16.502,16.824,10271320
2016-02-26,16.962,17.161,16.962,17.068,13506160
2016-02-29,17.100,17.271,16.954,16.962,13677984
2016-03-01,17.165,17.441,17.056,17.397,24185084
2016-03-02,17.202,17.364,17.150,17.328,19728698
2016-03-03,17.291,17.478,17.259,17.433,17211376
2016-03-04,17.453,17.750,17.395,17.636,19815508
2016-03-07,17.644,17.880,17.640,17.839,15768786
2016-03-08,17.693,17.697,17.389,17.490,12577700
2016-03-09,17.583,17.685,17.478,17.600,11225616
2016-03-10,17.644,17.798,17.490,17.693,15158158
2016-03-11,17.867,18.066,17.867,18.018,10039918
2016-03-14,17.904,17.993,17.827,17.896,10943934
2016-03-15,17.733,17.936,17.628,17.936,9968654
2016-03-16,17.652,18.087,17.652,18.087,14579466
2016-03-17,18.054,18.476,18.054,18.419,15562238
2016-03-18,18.532,18.625,18.393,18.495,15260388
2016-03-21,18.454,18.581,18.226,18.581,10149492
2016-03-22,18.222,18.438,18.194,18.369,8192250
2016-03-23,18.214,18.271,18.108,18.141,11327224
2016-03-24,17.990,18.149,17.913,18.141,7524144
2016-03-28,18.120,18.283,18.104,18.218,7898676
2016-03-29,18.092,18.324,18.031,18.320,8191110
2016-03-30,18.401,18.480,18.324,18.401,8072658
2016-03-31,18.422,18.446,18.186,18.247,11115528
2016-04-01,18.116,18.422,17.982,18.422,17181092
2016-04-04,18.304,18.410,18.149,18.181,11321110
2016-04-05,18.047,18.157,18.023,18.067,10966322
2016-04-06,18.023,18.275,17.905,18.275,11345476
2016-04-07,18.137,18.165,17.933,18.010,10134162
2016-04-08,18.108,18.332,18.108,18.129,8811534
2016-04-11,18.291,18.401,18.210,18.210,7691376
2016-04-12,18.320,18.495,18.218,18.462,9409768
2016-04-13,18.581,18.707,18.564,18.646,9651806
2016-04-14,18.727,18.760,18.617,18.658,7076610
2016-04-15,18.707,18.756,18.587,18.743,6874854
2016-04-18,18.650,18.831,18.581,18.829,8931374
2016-04-19,18.902,19.244,18.874,19.232,12652160
2016-04-20,19.256,19.269,19.126,19.175,13013350
2016-04-21,19.232,19.305,19.085,19.090,12141278
2016-04-22,19.151,19.284,19.118,19.224,10859522
2016-04-25,19.204,19.204,19.012,19.159,9203784
2016-04-26,19.175,19.338,19.159,19.313,10080042
2016-04-27,19.362,19.497,19.276,19.476,11411574
2016-04-28,19.330,19.509,19.212,19.293,11328200
2016-04-29,19.228,19.358,19.049,19.179,12743830
2016-05-02,19.256,19.261,19.061,19.248,12408002
2016-05-03,19.069,19.081,18.849,18.931,18644428
2016-05-04,18.764,18.882,18.617,18.739,16141276
2016-05-05,18.857,18.886,18.613,18.646,13941986
2016-05-06,18.605,18.813,18.544,18.796,13554530
2016-05-09,18.654,18.682,18.544,18.568,13138172
2016-05-10,18.662,18.894,18.625,18.878,13576320
2016-05-11,18.910,18.976,18.800,18.813,11365012
2016-05-12,19.155,19.216,18.829,18.894,19875250
2016-05-13,18.886,18.984,18.642,18.711,11247898
2016-05-16,18.752,19.053,18.743,19.033,11674286
2016-05-17,18.939,19.126,18.894,18.935,12844898
2016-05-18,18.829,18.967,18.560,18.646,19189512
2016-05-19,18.609,18.735,18.494,18.711,12529768
2016-05-20,18.788,18.923,18.776,18.845,9825244
2016-05-23,18.935,19.151,18.927,19.065,8569452
2016-05-24,19.126,19.236,19.094,19.191,9029342
2016-05-25,19.554,19.554,19.301,19.428,11248078
2016-05-26,19.489,19.619,19.208,19.220,6667262
2016-05-27,19.138,19.281,19.138,19.212,8625610
2016-05-31,19.301,19.301,19.083,19.114,8903772
2016-06-01,19.077,19.175,18.882,19.138,9823626
2016-06-02,19.118,19.256,19.033,19.244,6764094
2016-06-03,19.330,19.452,19.208,19.407,9948354
2016-06-06,19.493,19.627,19.460,19.607,13869474
2016-06-07,19.623,19.680,19.529,19.615,7281344
2016-06-08,19.741,19.790,19.660,19.729,7884446
2016-06-09,19.627,19.634,19.497,19.586,7931146
2016-06-10,19.464,19.554,19.391,19.440,9617766
2016-06-13,19.448,19.517,19.220,19.224,10637736
2016-06-14,19.167,19.228,18.953,19.081,15125040
2016-06-15,19.155,19.301,19.122,19.167,8335786
2016-06-16,19.085,19.240,18.919,19.232,11745328
2016-06-17,19.191,19.355,19.146,19.314,11854178
2016-06-20,19.498,19.666,19.412,19.425,11931944
2016-06-21,19.441,19.470,19.300,19.372,6126764
2016-06-22,19.388,19.462,19.359,19.392,6083480
2016-06-23,19.584,19.699,19.560,19.691,7116460
2016-06-24,19.020,19.261,18.782,18.831,24895014
2016-06-27,18.688,18.688,18.095,18.197,18118650
2016-06-28,18.344,18.463,18.160,18.353,20741122
2016-06-29,18.578,18.725,18.533,18.664,13310922
2016-06-30,18.717,18.971,18.615,18.962,11955566
2016-07-01,18.962,19.092,18.909,18.971,9928238
2016-07-05,18.872,18.946,18.561,18.627,11140226
2016-07-06,18.561,18.725,18.419,18.700,11675850
2016-07-07,18.635,18.901,18.635,18.750,8517248
2016-07-08,18.880,19.253,18.880,19.216,10482958
2016-07-11,19.282,19.363,19.232,19.310,9244508
2016-07-12,19.457,19.768,19.445,19.662,13508484
2016-07-13,19.695,19.744,19.597,19.715,7860838
2016-07-14,19.793,19.928,19.771,19.891,9951054
2016-07-15,19.961,20.018,19.908,19.961,7262284
2016-07-18,19.961,20.112,19.834,20.092,5910986
2016-07-19,19.985,20.059,19.891,19.973,7029514
2016-07-20,19.924,20.034,19.834,19.981,8024450
