date,open,high,low,close,volume
2018-06-19,45.968,46.300,45.857,46.208,16588
2018-06-20,46.661,47.067,46.661,46.781,189989
2018-06-21,46.957,47.031,46.430,46.495,428740
2018-06-22,46.791,46.809,46.421,46.698,181638
2018-06-25,46.458,46.458,45.334,45.736,2509603
2018-06-26,45.986,46.042,45.644,45.812,104005
2018-06-27,46.079,46.245,45.413,45.413,144983
2018-06-28,45.413,46.051,45.292,45.866,336481
2018-06-29,46.060,46.097,45.709,45.810,152346
2018-07-02,45.422,46.097,45.265,46.097,321297
2018-07-03,46.245,46.245,45.495,45.533,97459
2018-07-05,45.866,46.245,45.625,46.226,324879
2018-07-06,46.374,47.000,46.180,46.957,199770
2018-07-09,47.355,47.355,46.846,47.225,118112
2018-07-10,47.364,47.364,47.050,47.206,1153296
2018-07-11,46.892,47.383,46.846,47.142,227517
2018-07-12,47.447,47.882,47.299,47.882,361366
2018-07-13,47.891,47.910,47.585,47.808,80077
2018-07-16,47.891,47.891,47.586,47.669,200891
2018-07-17,46.994,47.799,46.911,47.679,172559
2018-07-18,47.716,47.725,47.383,47.540,147833
2018-07-19,47.568,47.605,47.176,47.207,258442
2018-07-20,47.216,47.342,47.022,47.050,158390
2018-07-23,47.105,47.262,46.846,47.244,94753
2018-07-24,48.197,48.197,47.318,47.577,211201
2018-07-25,47.660,47.979,47.521,47.919,612027
2018-07-26,46.014,46.263,45.847,46.112,833638
2018-07-27,46.032,46.088,44.985,45.237,1111208
2018-07-30,45.339,45.339,44.274,44.525,251253
2018-07-31,44.737,45.107,44.525,44.821,1211405
2018-08-01,44.913,45.116,44.505,44.636,1250389
2018-08-02,44.478,45.006,44.303,44.932,190710
2018-08-03,45.191,45.255,44.996,45.237,117156
2018-08-06,45.237,45.699,45.154,45.690,110254
2018-08-07,45.949,46.059,45.709,45.746,128846
2018-08-08,45.829,45.875,45.652,45.709,114201
2018-08-09,45.746,46.139,45.746,45.958,306361
2018-08-10,45.810,45.810,45.459,45.570,177577
2018-08-13,45.625,45.884,45.477,45.505,261036
2018-08-14,45.727,45.903,45.422,45.829,189801
2018-08-15,45.542,45.597,44.848,45.191,555147
2018-08-16,45.496,45.537,45.098,45.172,177579
2018-08-17,45.006,45.144,44.765,44.959,226924
2018-08-20,45.181,45.181,44.738,45.033,145778
2018-08-21,45.274,45.533,45.144,45.311,384889
2018-08-22,45.181,45.348,45.089,45.255,501855
2018-08-23,45.209,45.477,45.061,45.070,283725
2018-08-24,45.283,45.727,45.209,45.727,330882
2018-08-27,46.014,46.263,45.931,46.171,299237
2018-08-28,46.300,46.300,45.904,45.968,150238
2018-08-29,46.088,46.263,45.940,46.227,270866
2018-08-30,46.069,46.277,45.764,45.940,344409
2018-08-31,45.894,45.894,45.359,45.487,234969
2018-09-04,45.366,45.366,44.765,44.922,343694
2018-09-05,44.876,44.876,44.173,44.340,773599
2018-09-06,44.312,44.377,43.628,44.007,599592
2018-09-07,43.729,44.349,43.683,44.099,755726
2018-09-10,44.377,44.377,43.987,44.192,310874
2018-09-11,44.136,44.728,44.081,44.636,615753
2018-09-12,44.515,44.626,44.256,44.506,713288
2018-09-13,44.682,44.876,44.589,44.821,754494
2018-09-14,44.987,44.987,44.626,44.737,1190839
2018-09-17,44.784,44.784,44.266,44.303,810780
2018-09-18,44.349,44.774,44.303,44.617,430348
2018-09-19,44.663,44.784,44.386,44.737,2385315
2018-09-20,45.107,45.274,44.876,45.228,4554248
2018-09-21,45.461,45.480,44.905,45.025,7974618
2018-09-24,44.710,45.090,44.524,45.025,6769350
2018-09-25,45.016,45.118,44.747,45.044,3994751
2018-09-26,45.118,45.674,45.072,45.220,5688601
2018-09-27,45.498,45.934,45.341,45.610,3649353
2018-09-28,45.508,45.554,45.256,45.443,2306627
2018-10-01,45.600,45.647,45.044,45.257,7636941
2018-10-02,45.229,45.408,45.053,45.220,5823514
2018-10-03,45.470,45.619,45.303,45.424,5146373
2018-10-04,45.378,45.378,44.395,44.775,5292234
2018-10-05,44.840,45.007,44.033,44.348,2648640
2018-10-08,44.144,44.358,43.597,44.200,2170015
2018-10-09,44.200,44.626,44.116,44.172,1991429
2018-10-10,44.079,44.089,42.391,42.429,4050865
2018-10-11,42.345,42.911,41.668,42.067,8841290
2018-10-12,43.068,43.124,42.280,43.004,5877552
2018-10-15,42.855,43.291,42.660,42.837,1576938
2018-10-16,43.300,44.056,43.226,43.968,3707728
2018-10-17,44.274,44.274,43.690,44.144,4571077
2018-10-18,44.042,44.042,43.010,43.337,21297459
2018-10-19,43.588,43.968,43.161,43.328,3544398
2018-10-22,43.579,43.699,43.133,43.300,2711722
2018-10-23,42.688,43.393,42.324,43.208,2779554
2018-10-24,43.198,43.198,41.102,41.149,3552503
2018-10-25,41.891,42.800,41.891,42.512,3391689
2018-10-26,41.204,42.289,40.843,41.362,5229234
2018-10-29,42.011,42.289,39.943,40.722,3490983
2018-10-30,40.657,41.891,40.495,41.835,6283632
2018-10-31,42.651,43.170,42.466,42.697,3577212
2018-11-01,42.837,43.041,42.419,42.948,2550117
2018-11-02,43.078,43.354,42.234,42.512,2628601
2018-11-05,42.595,42.595,42.030,42.336,2439542
2018-11-06,42.382,42.827,42.262,42.586,2040281
2018-11-07,43.022,43.393,42.818,43.365,2705818
2018-11-08,43.393,43.393,42.707,42.957,1295743
2018-11-09,42.419,42.577,41.742,42.076,2234494
2018-11-12,42.030,42.076,41.269,41.446,1203739
2018-11-13,41.631,42.002,41.232,41.316,2186090
2018-11-14,41.761,41.872,41.186,41.520,2137620
2018-11-15,41.325,41.900,40.931,41.826,3853098
2018-11-16,41.585,41.779,41.223,41.622,2092140
2018-11-19,41.483,41.510,40.240,40.360,2358029
2018-11-20,39.637,40.268,39.303,39.832,5028155
2018-11-21,40.240,40.676,40.175,40.305,3187427
2018-11-23,40.054,40.184,39.776,39.776,667072
2018-11-26,40.240,40.694,40.138,40.685,2563735
2018-11-27,40.546,40.945,40.370,40.815,2114395
2018-11-28,41.028,41.668,40.555,41.668,2707439
2018-11-29,41.446,42.016,41.302,41.807,2247728
2018-11-30,41.881,41.881,41.399,41.742,5563462
2018-12-03,42.642,42.642,41.640,41.807,5790400
2018-12-04,41.733,41.974,40.481,40.574,3268035
2018-12-06,39.971,41.028,39.850,41.028,3560387
2018-12-07,40.889,41.223,40.073,40.249,2625902
2018-12-10,40.360,40.750,39.792,40.555,3379488
2018-12-11,41.047,41.139,40.370,40.592,4425853
2018-12-12,40.973,41.575,40.973,41.028,3352640
2018-12-13,41.158,41.306,40.583,40.843,1984075
2018-12-14,40.425,40.935,40.360,40.444,1910821
2018-12-17,40.296,40.657,39.359,39.656,3275012
2018-12-18,39.869,40.268,39.600,39.832,3597411
2018-12-19,39.776,40.407,38.756,38.979,5714136
2018-12-20,38.747,39.146,37.807,38.292,9067038
2018-12-21,38.388,38.714,36.751,37.039,7987438
2018-12-24,36.779,37.365,36.258,36.258,3888462
2018-12-26,36.537,38.314,36.324,38.295,4103965
2018-12-27,37.765,38.472,36.983,38.472,3768743
2018-12-28,38.621,38.928,38.109,38.351,2631927
2018-12-31,38.649,38.779,37.923,38.407,5303616
2019-01-02,37.774,39.109,37.700,38.919,4625756
2019-01-03,38.667,38.965,38.202,38.267,3433651
2019-01-04,38.900,40.017,38.770,39.914,2647862
2019-01-07,39.961,40.538,39.830,40.370,4048704
2019-01-08,40.761,41.105,40.463,41.049,2144764
2019-01-09,41.180,41.207,40.742,41.105,1840750
2019-01-10,40.928,41.245,40.621,41.189,1340450
2019-01-11,40.928,41.049,40.621,40.984,1227913
2019-01-14,40.714,40.995,40.519,40.835,2344916
2019-01-15,41.040,41.607,40.966,41.514,2459685
2019-01-16,41.561,41.663,41.282,41.338,20343791
2019-01-17,41.245,41.617,41.114,41.505,3311023
2019-01-18,41.812,42.124,41.645,41.840,3375757
2019-01-22,41.552,41.607,40.714,40.975,4343193
2019-01-23,41.207,41.282,40.417,40.789,2540467
2019-01-24,40.770,41.021,40.556,40.975,2878743
2019-01-25,41.338,41.626,41.263,41.496,3341106
2019-01-28,41.105,41.189,40.771,41.133,4328163
2019-01-29,41.105,41.114,40.519,40.649,1138073
2019-01-30,40.891,41.313,40.482,41.235,2578227
2019-01-31,42.333,43.096,42.249,42.919,4798832
2019-02-01,42.826,43.133,42.715,42.770,4395141
2019-02-04,42.808,43.171,42.668,43.171,3703092
2019-02-05,43.133,43.682,43.105,43.645,2388556
2019-02-06,43.292,43.292,42.575,42.668,3748888
2019-02-07,42.287,42.416,41.803,42.259,2341508
2019-02-08,41.961,42.547,41.924,42.547,2600366
2019-02-11,42.724,42.817,42.082,42.110,2061105
2019-02-12,42.510,42.743,42.491,42.594,2442958
2019-02-13,42.770,42.957,42.584,42.622,3620721
2019-02-14,42.398,42.973,42.222,42.780,2103275
2019-02-15,43.078,43.078,42.743,42.966,2283498
2019-02-19,42.845,43.171,42.780,43.012,4218764
2019-02-20,43.059,43.152,42.631,42.864,3566312
2019-02-21,42.761,42.787,42.305,42.463,2631226
2019-02-22,42.640,42.882,42.538,42.864,4005449
2019-02-25,43.115,43.175,42.873,42.910,2410812
2019-02-26,42.780,43.109,42.659,42.910,4704642
2019-02-27,42.715,42.873,42.389,42.696,4009836
2019-02-28,42.659,42.864,42.622,42.724,2374184
2019-03-01,43.003,43.078,42.808,43.059,7114185
2019-03-04,43.273,43.385,42.561,43.115,2906660
2019-03-05,43.124,43.506,42.910,43.385,2805884
2019-03-06,43.459,43.550,43.236,43.366,6131649
2019-03-07,43.310,43.310,42.770,42.984,3377663
2019-03-08,42.519,42.984,42.389,42.957,2566532
2019-03-11,43.068,43.738,43.068,43.729,3593956
2019-03-12,43.813,44.054,43.794,43.924,8112516
2019-03-13,44.082,44.222,43.915,44.054,3486930
2019-03-14,43.915,44.008,43.729,43.859,3539793
2019-03-15,43.916,43.953,43.578,43.823,6868919
2019-03-18,43.636,43.683,43.352,43.450,2807178
2019-03-19,43.618,43.869,43.352,43.524,3570831
2019-03-20,43.524,44.046,43.366,43.916,7390659
2019-03-21,43.776,44.528,43.739,44.494,3183231
2019-03-22,44.289,44.473,43.646,43.776,5174553
2019-03-25,43.655,43.916,43.422,43.701,2408462
2019-03-26,43.925,44.307,43.720,43.916,2488623
2019-03-27,43.972,44.065,43.366,43.599,2465669
2019-03-28,43.562,43.618,43.282,43.496,1891058
2019-03-29,43.729,43.767,43.245,43.590,2542940
2019-04-01,43.925,44.289,43.925,44.251,4249696
2019-04-02,44.382,44.550,44.230,44.484,3323320
2019-04-03,44.689,45.044,44.559,44.652,2303606
2019-04-04,44.839,45.061,44.680,44.904,2788097
2019-04-05,45.062,45.072,44.894,45.034,2379713
2019-04-08,44.978,44.997,44.727,44.950,2340485
2019-04-09,44.848,45.146,44.839,45.072,4872773
2019-04-10,45.174,45.295,45.016,45.267,2265200
2019-04-11,45.351,45.407,45.216,45.295,2115284
2019-04-12,45.640,45.724,45.477,45.687,4894102
2019-04-15,45.696,45.729,45.379,45.649,2345662
2019-04-16,45.780,45.826,45.519,45.696,2157025
2019-04-17,45.873,45.896,45.677,45.780,2826297
2019-04-18,45.901,45.901,45.677,45.808,1755096
2019-04-22,45.715,46.013,45.670,46.013,2126751
2019-04-23,46.255,46.740,46.143,46.628,3929785
2019-04-24,46.637,46.647,46.339,46.414,3311823
2019-04-25,47.215,47.224,46.786,46.936,3064706
2019-04-26,47.057,47.327,46.814,47.308,2076597
2019-04-29,47.411,47.849,47.411,47.737,1341001
2019-04-30,46.861,46.991,46.493,46.665,3197065
2019-05-01,46.861,46.950,46.418,46.423,4262654
2019-05-02,46.460,46.572,45.845,46.237,4680813
2019-05-03,46.479,46.712,46.306,46.684,2050371
2019-05-06,45.920,46.684,45.910,46.609,3159766
2019-05-07,46.339,46.442,45.491,45.854,4342135
2019-05-08,45.873,46.050,45.733,45.780,3453555
2019-05-09,45.416,45.808,45.165,45.640,4241518
2019-05-10,45.547,45.936,44.894,45.771,2900464
2019-05-13,44.848,45.127,44.223,44.354,8210994
2019-05-14,44.615,44.997,44.307,44.606,5332139
2019-05-15,44.373,45.743,44.373,45.603,7292697
2019-05-16,45.631,46.237,45.558,46.004,4627211
2019-05-17,45.612,46.143,45.556,45.668,3663042
2019-05-20,45.202,45.277,44.792,44.913,3854146
2019-05-21,45.277,45.491,45.090,45.407,3023917
2019-05-22,45.267,45.659,45.267,45.360,2793666
2019-05-23,44.904,45.034,44.466,44.727,2570184
2019-05-24,44.988,45.127,44.689,44.717,3442275
2019-05-28,44.904,45.305,44.866,44.913,2793395
2019-05-29,44.727,44.783,44.275,44.475,2512628
2019-05-30,44.568,44.705,44.345,44.578,2520601
2019-05-31,44.056,44.163,43.823,43.888,2484754
2019-06-03,43.459,43.459,42.229,42.509,7155262
2019-06-04,42.863,43.422,42.564,43.422,7110701
2019-06-05,43.543,43.543,43.030,43.441,5526442
2019-06-06,43.524,43.701,43.290,43.627,3175946
2019-06-07,43.813,44.484,43.776,44.335,3345617
2019-06-10,44.615,44.773,44.233,44.298,5163142
2019-06-11,44.783,44.894,44.430,44.484,2869785
2019-06-12,44.466,44.643,44.107,44.270,2459445
2019-06-13,44.410,44.783,44.307,44.764,6500352
2019-06-14,44.839,44.978,44.680,44.848,2734861
2019-06-17,45.016,45.472,44.978,45.360,4248719
2019-06-18,45.976,46.199,45.547,45.612,3843476
2019-06-19,45.612,45.733,45.295,45.668,3319391
2019-06-20,46.237,46.259,45.631,45.957,3340039
2019-06-21,45.883,46.229,45.837,46.154,10006593
2019-06-24,46.239,46.360,46.080,46.267,5236915
2019-06-25,46.248,46.248,45.318,45.407,2431906
2019-06-26,45.547,45.743,45.145,45.229,2380869
2019-06-27,45.538,45.631,45.332,45.547,1984694
2019-06-28,45.669,46.024,45.519,45.986,6084861
2019-07-01,46.500,46.612,46.182,46.360,2862199
2019-07-02,46.379,46.818,46.379,46.790,2336936
2019-07-03,46.911,47.145,46.818,47.033,1260732
2019-07-05,46.893,47.163,46.584,47.098,3006148
2019-07-08,46.911,46.916,46.566,46.678,1152827
2019-07-09,46.509,47.042,46.444,46.967,1714914
2019-07-10,47.276,47.551,47.089,47.500,2294356
2019-07-11,47.603,47.715,47.332,47.528,5463254
2019-07-12,47.518,47.883,47.444,47.874,2621837
2019-07-15,47.902,47.939,47.621,47.883,4075940
2019-07-16,47.911,47.976,47.687,47.771,2540815
2019-07-17,47.789,47.855,47.322,47.322,4760730
2019-07-18,46.883,47.014,46.570,46.939,1813807
2019-07-19,47.135,47.135,46.295,46.332,1979625
2019-07-22,46.472,46.528,46.206,46.509,2391482
2019-07-23,46.659,46.696,46.248,46.687,2624714
2019-07-24,46.341,47.145,46.304,47.098,1840743
2019-07-25,47.173,47.313,46.696,46.977,2192551
2019-07-26,47.808,48.462,47.780,48.322,5049654
2019-07-29,48.247,48.247,47.808,48.051,2582438
2019-07-30,47.752,48.021,47.687,47.827,2099863
2019-07-31,47.855,48.126,47.033,47.444,2090751
2019-08-01,47.575,48.210,47.024,47.220,4095730
2019-08-02,46.986,47.117,46.481,46.762,4656187
2019-08-05,45.865,46.024,44.818,45.248,6248204
2019-08-06,45.743,46.136,45.482,45.902,6548204
2019-08-07,45.360,46.066,45.000,45.958,3323332
2019-08-08,46.332,46.893,46.080,46.883,2456676
2019-08-09,46.603,46.790,46.070,46.360,1841493
2019-08-12,46.136,46.182,45.669,45.846,3759252
2019-08-13,45.818,46.986,45.762,46.537,4091723
2019-08-14,45.883,45.921,44.818,44.884,4532857
2019-08-15,45.033,45.192,44.641,44.959,3998562
2019-08-16,45.332,45.613,45.201,45.538,2509821
2019-08-19,46.070,46.444,46.033,46.248,2173748
2019-08-20,46.089,46.257,45.837,45.940,2156604
2019-08-21,46.248,46.332,46.061,46.117,2792315
2019-08-22,46.229,46.318,45.594,46.014,1649072
2019-08-23,45.781,46.136,44.599,44.753,3810377
2019-08-26,45.173,45.435,44.940,45.426,3155261
2019-08-27,45.874,45.940,45.370,45.510,3139102
2019-08-28,45.323,45.687,45.136,45.622,2155665
2019-08-29,46.098,46.472,45.986,46.332,2168997
2019-08-30,46.537,46.584,46.052,46.276,3045516
2019-09-03,45.958,46.262,45.697,45.818,3142917
2019-09-04,46.267,46.790,46.206,46.706,1748380
2019-09-05,47.163,47.551,47.079,47.500,3624927
2019-09-06,47.509,47.584,47.313,47.397,3445390
2019-09-09,47.649,47.836,47.285,47.547,6421849
2019-09-10,47.369,47.733,47.308,47.612,3638495
2019-09-11,47.649,47.939,47.603,47.864,6274115
2019-09-12,48.154,48.257,47.940,48.004,4014555
2019-09-13,48.004,48.116,47.817,47.920,3569369
2019-09-16,47.640,47.864,47.556,47.743,2527631
2019-09-17,47.733,47.799,47.472,47.789,4566745
2019-09-18,47.715,47.789,47.220,47.733,1751862
2019-09-19,47.827,48.060,47.640,47.780,2358148
2019-09-20,47.874,47.874,47.209,47.471,6358067
2019-09-23,47.312,47.434,47.068,47.303,2198374
2019-09-24,47.471,47.481,46.338,46.591,5371164
2019-09-25,46.563,47.209,46.244,47.125,2181590
2019-09-26,47.022,47.022,46.333,46.666,1809960
2019-09-27,46.750,46.759,45.785,46.141,1852969
2019-09-30,46.235,46.455,46.147,46.375,2466622
2019-10-01,46.497,46.628,45.832,45.907,2758916
2019-10-02,45.551,45.598,45.018,45.214,4405531
2019-10-03,45.252,45.692,44.690,45.654,6945829
2019-10-04,45.823,46.338,45.739,46.272,2080304
2019-10-07,46.151,46.572,46.020,46.272,1365508
2019-10-08,45.963,46.085,45.523,45.523,2442402
2019-10-09,45.804,45.963,45.650,45.795,4078256
2019-10-10,45.739,46.235,45.682,46.057,3104286
2019-10-11,46.497,47.012,46.488,46.600,4104936
2019-10-14,46.553,46.614,46.385,46.497,1246315
2019-10-15,46.572,47.396,46.507,47.293,2115804
2019-10-16,47.181,47.434,47.153,47.378,2308193
2019-10-17,47.752,47.771,47.481,47.658,2047212
2019-10-18,47.537,47.682,46.844,47.106,1958301
2019-10-21,47.303,47.493,47.249,47.387,1429610
