date,open,high,low,close,volume
2016-01-04,19.769,19.972,19.486,19.815,43617338
2016-01-05,19.801,19.913,19.580,19.890,31058406
2016-01-06,19.420,19.460,18.964,19.125,53924154
2016-01-07,18.753,19.184,18.579,18.658,56163784
2016-01-08,18.816,18.858,18.350,18.418,38454230
2016-01-11,18.494,18.517,17.797,18.024,56889474
2016-01-12,18.303,18.362,17.567,18.066,71188272
2016-01-13,18.287,18.417,17.442,17.633,67916880
2016-01-14,17.813,18.553,17.534,18.392,76148646
2016-01-15,17.623,18.029,17.521,17.859,73760492
2016-01-19,17.994,18.078,17.196,17.475,71744602
2016-01-20,17.130,17.268,16.407,17.012,102614704
2016-01-21,16.992,17.754,16.880,17.541,87341444
2016-01-22,18.181,18.441,17.892,18.316,77245016
2016-01-25,17.968,18.428,17.449,17.462,58240016
2016-01-26,17.777,18.145,17.547,18.122,50709812
2016-01-27,17.997,18.540,17.810,18.037,72988948
2016-01-28,18.720,18.793,18.214,18.586,76343818
2016-01-29,18.618,19.148,18.563,19.128,62996310
2016-02-01,18.809,18.950,18.530,18.807,55370186
2016-02-02,18.349,18.433,18.088,18.181,50462444
2016-02-03,18.443,18.845,17.781,18.829,72881324
2016-02-04,18.868,19.223,18.730,18.819,74112264
2016-02-05,18.566,18.645,18.227,18.382,60481912
2016-02-08,18.017,18.402,17.744,18.287,69613466
2016-02-09,18.014,18.234,17.560,17.846,74822636
2016-02-10,17.794,18.178,17.583,17.774,60431652
2016-02-11,17.465,17.833,17.209,17.699,95973894
2016-02-12,17.942,18.244,17.781,18.165,51564096
2016-02-16,18.471,18.526,18.080,18.346,67600426
2016-02-17,18.566,19.029,18.492,18.947,58560090
2016-02-18,19.108,19.136,18.618,18.710,57664596
2016-02-19,18.461,18.674,18.303,18.668,50257504
2016-02-22,19.023,19.230,18.941,19.144,49416530
2016-02-23,18.960,19.052,18.457,18.490,42910058
2016-02-24,18.145,18.720,18.096,18.678,50559662
2016-02-25,18.622,18.743,18.329,18.694,37177874
2016-02-26,19.006,19.059,18.743,18.806,42310148
2016-02-29,18.881,18.934,18.576,18.592,45966580
2016-03-01,18.724,19.108,18.531,19.079,47285986
2016-03-02,18.960,19.558,18.868,19.545,53589934
2016-03-03,19.466,19.877,19.456,19.841,48791214
2016-03-04,19.953,20.318,19.739,20.031,61103216
2016-03-07,20.022,20.524,19.926,20.501,66721004
2016-03-08,20.334,20.347,19.608,19.640,59635184
2016-03-09,19.907,20.215,19.663,19.959,50935180
2016-03-10,19.874,19.999,19.614,19.976,57547630
2016-03-11,20.238,20.559,20.215,20.491,49567298
2016-03-14,20.234,20.427,20.156,20.357,43532114
2016-03-15,20.077,20.320,19.933,20.317,43439192
2016-03-16,20.439,20.715,20.298,20.669,53940740
2016-03-17,20.837,21.122,20.649,20.952,56321626
2016-03-18,21.108,21.128,20.814,21.009,60948014
2016-03-21,20.926,21.075,20.704,20.936,33397020
2016-03-22,20.691,21.009,20.678,20.820,28360238
2016-03-23,20.671,20.747,20.324,20.364,37747512
2016-03-24,20.082,20.463,19.986,20.463,31032056
2016-03-28,20.469,20.526,20.211,20.354,23129748
2016-03-29,20.125,20.465,20.006,20.450,28733884
2016-03-30,20.635,20.721,20.370,20.489,31489694
2016-03-31,20.410,20.637,20.377,20.479,28092814
2016-04-01,20.125,20.264,20.056,20.205,29609588
2016-04-04,20.168,20.380,19.996,20.056,31619060
2016-04-05,19.887,20.062,19.834,19.920,32097692
2016-04-06,20.082,20.354,19.933,20.350,36437582
2016-04-07,20.192,20.380,20.062,20.231,27854122
2016-04-08,20.612,20.751,20.536,20.638,35333012
2016-04-11,20.804,20.867,20.552,20.552,32471450
2016-04-12,20.632,21.285,20.589,21.164,55260836
2016-04-13,21.154,21.327,21.006,21.264,37405830
2016-04-14,21.353,21.356,21.186,21.313,34871072
2016-04-15,21.194,21.231,20.997,21.025,28442314
2016-04-18,20.592,21.426,20.542,21.373,41371602
2016-04-19,21.495,21.823,21.396,21.800,34682764
2016-04-20,21.684,22.164,21.614,21.995,42176666
2016-04-21,22.025,22.117,21.820,21.866,38670126
2016-04-22,21.919,22.266,21.902,22.184,31529018
2016-04-25,22.107,22.111,21.770,21.935,34468506
2016-04-26,22.061,22.295,22.008,22.286,27171390
2016-04-27,22.402,22.759,22.385,22.710,43924888
2016-04-28,22.607,22.771,22.286,22.372,31110374
2016-04-29,22.422,22.640,21.995,22.336,48214770
2016-05-02,22.296,22.390,22.038,22.313,30131932
2016-05-03,22.011,22.051,21.651,21.786,32316116
2016-05-04,21.800,21.952,21.343,21.472,37210714
2016-05-05,21.836,21.955,21.469,21.647,28704052
2016-05-06,21.509,21.863,21.452,21.598,25090950
2016-05-09,21.475,21.522,21.012,21.283,32041682
2016-05-10,21.393,21.664,21.383,21.657,20702758
2016-05-11,21.604,21.916,21.429,21.724,28429556
2016-05-12,21.919,22.084,21.621,21.783,24954334
2016-05-13,21.687,21.853,21.459,21.505,24743702
2016-05-16,21.786,21.939,21.724,21.869,27455374
2016-05-17,21.872,22.141,21.803,21.972,31674678
2016-05-18,21.968,22.040,21.621,21.760,45903546
2016-05-19,21.542,21.813,21.340,21.763,33709700
2016-05-20,21.829,21.939,21.697,21.892,19233024
2016-05-23,21.763,21.932,21.687,21.836,20545064
2016-05-24,21.949,22.074,21.810,21.945,22605810
2016-05-25,22.078,22.326,22.058,22.293,28536204
2016-05-26,22.379,22.475,22.131,22.200,21433602
2016-05-27,22.121,22.228,21.998,22.213,18517402
2016-05-31,22.266,22.442,22.028,22.127,30812248
2016-06-01,21.912,22.200,21.856,22.134,33391316
2016-06-02,21.965,22.117,21.882,22.104,25699982
2016-06-03,22.104,22.220,21.887,22.018,24315460
2016-06-06,22.233,22.524,22.193,22.505,36447604
2016-06-07,22.577,23.074,22.571,23.014,31236574
2016-06-08,23.153,23.249,22.898,22.961,36259422
2016-06-09,22.696,22.902,22.673,22.786,24681194
2016-06-10,22.551,22.696,22.263,22.293,28980382
2016-06-13,22.184,22.528,22.160,22.227,23175726
2016-06-14,22.134,22.326,21.962,22.213,24404948
2016-06-15,22.131,22.427,22.003,22.161,33659060
2016-06-16,21.922,22.088,21.621,22.054,39987384
2016-06-17,22.284,22.324,22.151,22.281,34871872
2016-06-20,22.601,22.651,22.454,22.474,21826470
2016-06-21,22.424,22.787,22.358,22.741,22444602
2016-06-22,22.841,22.841,22.594,22.614,20516448
2016-06-23,22.851,22.994,22.764,22.987,19076936
2016-06-24,22.101,22.499,22.081,22.244,53759800
2016-06-27,21.941,21.961,21.355,21.532,43649498
2016-06-28,21.935,22.134,21.810,22.131,29100864
2016-06-29,22.268,22.684,22.268,22.551,32708856
2016-06-30,22.454,22.744,22.408,22.731,24264536
2016-07-01,22.704,22.934,22.687,22.851,25357654
2016-07-05,22.544,22.624,22.168,22.391,30139842
2016-07-06,22.261,22.503,22.108,22.487,31794946
2016-07-07,22.621,22.764,22.101,22.257,28195578
2016-07-08,22.458,22.634,22.334,22.554,23135804
2016-07-11,22.674,22.781,22.578,22.598,19500772
2016-07-12,22.937,23.257,22.891,23.157,31049078
2016-07-13,23.090,23.217,22.742,22.957,25092494
2016-07-14,23.137,23.194,23.007,23.074,21797200
2016-07-15,23.157,23.211,22.976,23.061,18259058
2016-07-18,22.994,23.087,22.847,23.077,18802262
2016-07-19,23.021,23.057,22.861,22.947,13983818
2016-07-20,22.854,23.027,22.664,22.914,23109906
2016-07-21,22.851,23.061,22.631,22.687,18513828
2016-07-22,22.737,22.794,22.611,22.757,15981230
2016-07-25,22.607,22.657,22.221,22.304,25543328
2016-07-26,22.174,22.454,22.161,22.434,24787796
2016-07-27,22.464,22.627,22.118,22.214,32355804
2016-07-28,22.188,22.324,22.061,22.218,21726914
2016-07-29,21.901,22.471,21.881,22.444,33003576
2016-08-01,22.248,22.264,21.628,21.705,61297044
2016-08-02,21.858,22.008,21.508,21.901,51200152
2016-08-03,21.905,22.334,21.818,22.324,47811232
2016-08-04,22.241,22.444,22.164,22.291,33580444
2016-08-05,22.304,22.524,22.264,22.494,22853558
2016-08-08,22.651,22.947,22.644,22.794,43326808
2016-08-09,22.857,22.894,22.584,22.674,22256716
2016-08-10,22.721,22.771,22.381,22.428,36073586
2016-08-11,22.524,22.854,22.474,22.757,34859478
2016-08-12,22.817,22.954,22.757,22.884,20379344
2016-08-15,23.014,23.114,22.947,23.067,21406762
2016-08-16,23.027,23.177,22.887,23.104,20485518
2016-08-17,22.991,23.187,22.967,23.174,29438942
2016-08-18,23.254,23.650,23.230,23.650,48297088
2016-08-19,23.573,23.573,23.367,23.454,22091482
