date,open,high,low,close,volume
2016-01-04,19.188,19.229,18.991,19.212,66815446
2016-01-05,19.245,19.344,19.114,19.286,37273267
2016-01-06,19.003,19.106,18.892,18.991,55268665
2016-01-07,18.596,18.769,18.382,18.456,65827741
2016-01-08,18.621,18.637,18.127,18.168,59403767
2016-01-11,18.267,18.300,18.012,18.193,50788447
2016-01-12,18.382,18.415,18.094,18.333,57690467
2016-01-13,18.407,18.485,17.774,17.856,89808710
2016-01-14,17.897,18.160,17.720,18.012,68158073
2016-01-15,17.404,17.692,17.372,17.609,67513278
2016-01-19,17.798,17.864,17.478,17.601,59941232
2016-01-20,17.239,17.420,16.878,17.256,77042818
2016-01-21,17.272,17.494,17.120,17.182,65461284
2016-01-22,17.404,17.568,17.371,17.494,42451551
2016-01-25,17.420,17.484,17.100,17.141,56508965
2016-01-26,17.207,17.478,17.182,17.429,45770973
2016-01-27,17.371,17.667,17.239,17.363,55238386
2016-01-28,17.470,17.552,17.252,17.371,57170404
2016-01-29,17.494,17.864,17.437,17.856,71917739
2016-02-01,17.774,17.872,17.650,17.782,60500848
2016-02-02,17.527,17.552,17.248,17.289,61642640
2016-02-03,17.387,17.387,16.812,17.305,108700751
2016-02-04,17.198,17.576,17.198,17.453,69407995
2016-02-05,17.470,17.560,17.174,17.223,58315199
2016-02-08,16.976,17.034,16.557,16.787,94665121
2016-02-09,16.458,16.878,16.458,16.763,120859306
2016-02-10,16.890,17.083,16.664,16.672,57835966
2016-02-11,16.228,16.343,16.056,16.162,111209638
2016-02-12,16.549,16.845,16.472,16.845,85598661
2016-02-16,17.133,17.190,16.960,17.116,69755061
2016-02-17,17.281,17.429,17.277,17.346,57127263
2016-02-18,17.412,17.412,17.165,17.248,56873659
2016-02-19,17.108,17.322,17.087,17.248,65452091
2016-02-22,17.453,17.589,17.453,17.519,37496222
2016-02-23,17.429,17.453,17.174,17.207,51193880
2016-02-24,16.960,17.215,16.812,17.165,63692847
2016-02-25,17.165,17.416,17.165,17.404,62756144
2016-02-26,17.519,17.683,17.429,17.527,71615360
2016-02-29,17.511,17.601,17.330,17.338,50687846
2016-03-01,17.461,17.955,17.461,17.922,71707394
2016-03-02,17.938,18.127,17.909,18.119,64294262
2016-03-03,18.103,18.251,18.025,18.242,54835873
2016-03-04,18.333,18.407,18.177,18.316,50588563
2016-03-07,18.193,18.329,18.136,18.308,34522099
2016-03-08,18.144,18.218,17.988,18.012,67743450
2016-03-09,18.078,18.127,17.971,18.037,42866011
2016-03-10,18.152,18.234,17.807,18.020,68123594
2016-03-11,18.201,18.514,18.201,18.489,56725067
2016-03-14,18.432,18.481,18.318,18.432,39599464
2016-03-15,18.308,18.423,18.242,18.423,54160031
2016-03-16,18.325,18.497,18.242,18.382,51785357
2016-03-17,18.333,18.662,18.253,18.604,47120112
2016-03-18,18.739,18.863,18.687,18.789,46527558
2016-03-21,18.731,18.880,18.677,18.756,33973359
2016-03-22,18.623,18.768,18.582,18.698,31110130
2016-03-23,18.665,18.694,18.549,18.557,40003275
2016-03-24,18.392,18.441,18.268,18.441,34700612
2016-03-28,18.466,18.557,18.408,18.499,25843518
2016-03-29,18.425,18.541,18.317,18.532,31793872
2016-03-30,18.632,18.778,18.615,18.640,26927314
2016-03-31,18.590,18.714,18.557,18.599,28579968
2016-04-01,18.508,18.789,18.433,18.764,32734858
2016-04-04,18.747,18.789,18.632,18.673,27577453
2016-04-05,18.499,18.532,18.375,18.408,44104201
2016-04-06,18.375,18.524,18.317,18.508,27280369
2016-04-07,18.375,18.392,18.061,18.160,36714267
2016-04-08,18.284,18.408,18.189,18.227,40035113
2016-04-11,18.309,18.458,18.284,18.301,32498638
