date,open,high,low,close,volume
2016-01-04,43.413,43.588,43.080,43.571,16404580
2016-01-05,43.679,43.763,43.296,43.688,8726272
2016-01-06,43.088,43.371,42.746,43.013,9980000
2016-01-07,42.321,42.571,41.730,41.847,17225551
2016-01-08,42.247,42.247,41.363,41.422,17198597
2016-01-11,41.697,41.730,41.055,41.447,18962436
2016-01-12,41.730,41.855,41.247,41.780,19297334
2016-01-13,41.972,42.055,40.651,40.772,18966894
2016-01-14,40.905,41.543,40.489,41.255,19261231
2016-01-15,40.105,40.689,40.005,40.528,20434577
2016-01-19,40.972,41.047,40.147,40.522,14844956
2016-01-20,39.947,40.347,39.006,39.997,26092675
2016-01-21,39.997,40.555,39.706,40.172,18593829
2016-01-22,40.689,40.814,40.172,40.522,12781561
2016-01-25,40.455,40.530,39.955,40.022,14533951
2016-01-26,40.114,40.797,40.105,40.780,12038307
2016-01-27,40.564,41.055,40.105,40.322,16437248
2016-01-28,40.522,40.664,40.139,40.555,12553037
2016-01-29,40.822,41.663,40.722,41.647,14570355
2016-02-01,41.313,41.752,41.047,41.547,15940646
2016-02-02,41.138,41.172,40.576,40.714,15284769
2016-02-03,41.039,41.438,40.280,41.372,25732880
2016-02-04,41.313,42.413,41.280,42.088,18452296
2016-02-05,41.863,42.105,41.488,41.688,15518119
2016-02-08,41.230,41.455,40.797,41.338,20001178
2016-02-09,40.855,41.872,40.855,41.588,15369951
2016-02-10,41.688,42.080,41.355,41.388,15079367
2016-02-11,40.672,41.122,40.076,40.564,19180314
2016-02-12,40.805,41.388,40.718,41.380,19249081
2016-02-16,41.905,42.263,41.547,42.213,15037927
2016-02-17,42.488,43.017,42.363,42.863,15619908
2016-02-18,42.905,42.996,42.680,42.838,9587830
2016-02-19,42.471,42.801,42.396,42.755,12613634
2016-02-22,43.155,43.688,43.155,43.479,12143817
2016-02-23,43.296,43.450,42.950,43.046,9727887
2016-02-24,42.538,43.180,42.267,43.071,17347268
2016-02-25,43.196,43.654,43.063,43.638,9312686
2016-02-26,43.746,44.029,43.688,43.696,8312343
2016-02-29,43.696,43.921,43.405,43.421,13823027
2016-03-01,43.596,44.333,43.596,44.271,13424822
2016-03-02,44.154,44.354,44.079,44.304,8877784
2016-03-03,44.279,44.662,44.204,44.621,9808973
2016-03-04,44.596,45.071,44.496,44.804,10006912
2016-03-07,44.571,44.950,44.504,44.937,11753981
2016-03-08,44.571,44.604,44.238,44.304,12241121
2016-03-09,44.421,44.571,44.296,44.446,11060113
