date,open,high,low,close,volume
2016-01-04,18.746,18.844,18.546,18.840,43277256
2016-01-05,18.898,18.942,18.706,18.791,32134430
2016-01-06,18.514,18.682,18.445,18.559,27716730
2016-01-07,18.180,18.415,18.002,18.011,33681318
2016-01-08,18.167,18.227,17.846,17.868,38466208
2016-01-11,17.993,18.064,17.761,17.984,38270242
2016-01-12,18.176,18.238,17.966,18.198,31683258
2016-01-13,18.332,18.332,17.676,17.708,43924652
2016-01-14,17.783,18.180,17.572,18.042,39591126
2016-01-15,17.454,17.703,17.320,17.534,40355518
2016-01-19,17.739,17.770,17.396,17.552,39317500
2016-01-20,17.253,17.587,16.949,17.413,59263690
2016-01-21,17.512,17.766,17.293,17.512,44271706
2016-01-22,17.846,18.002,17.819,17.997,22496470
2016-01-25,17.899,18.055,17.757,17.788,20961274
2016-01-26,17.859,18.002,17.746,17.962,22947362
2016-01-27,17.815,17.922,17.512,17.592,36044704
2016-01-28,17.850,17.886,17.605,17.819,35133602
2016-01-29,17.966,18.394,17.931,18.381,32226628
2016-02-01,18.305,18.532,18.289,18.448,29594640
2016-02-02,18.394,18.398,18.060,18.118,27902310
2016-02-03,18.234,18.243,17.815,18.095,43012494
2016-02-04,18.060,18.231,17.922,18.113,36406086
2016-02-05,18.042,18.073,17.534,17.605,47554770
2016-02-08,17.309,17.400,17.050,17.351,49641702
2016-02-09,17.142,17.516,17.113,17.271,49510712
2016-02-10,17.418,17.621,17.289,17.307,33949952
2016-02-11,17.081,17.373,17.048,17.262,49254670
2016-02-12,17.400,17.516,17.302,17.503,21786846
2016-02-16,17.699,17.819,17.603,17.815,20586624
2016-02-17,17.917,18.216,17.895,18.180,22257672
2016-02-18,18.243,18.265,18.073,18.109,23156792
2016-02-19,18.042,18.176,17.995,18.122,17159018
2016-02-22,18.287,18.390,18.260,18.363,13181300
2016-02-23,18.287,18.305,18.037,18.073,16378968
2016-02-24,17.877,18.247,17.783,18.211,20288724
2016-02-25,18.274,18.448,18.131,18.439,18806838
2016-02-26,18.541,18.559,18.349,18.390,19545890
2016-02-29,18.372,18.544,18.260,18.260,27203790
2016-03-01,18.416,18.804,18.390,18.804,24608840
2016-03-02,18.737,18.858,18.704,18.858,17496488
2016-03-03,18.866,18.869,18.710,18.858,15767770
2016-03-04,18.862,18.998,18.784,18.907,15771826
2016-03-07,18.800,18.875,18.653,18.791,31626998
2016-03-08,18.679,18.829,18.608,18.675,23401066
2016-03-09,18.702,18.840,18.702,18.835,24321172
2016-03-10,18.916,19.000,18.586,18.817,25876848
2016-03-11,19.005,19.112,18.960,19.107,17640294
2016-03-14,19.049,19.165,19.040,19.129,20121858
2016-03-15,19.054,19.219,19.045,19.201,12642200
2016-03-16,19.112,19.455,19.107,19.424,29513716
2016-03-17,19.388,19.557,19.366,19.495,18734296
2016-03-18,19.569,19.582,19.437,19.524,18828740
2016-03-21,19.479,19.600,19.470,19.591,16006942
2016-03-22,19.502,19.672,19.499,19.596,26225716
2016-03-23,19.569,19.591,19.443,19.484,21350192
2016-03-24,19.399,19.537,19.372,19.537,13486666
2016-03-28,19.555,19.580,19.452,19.488,12815918
2016-03-29,19.452,19.806,19.430,19.793,20163014
2016-03-30,19.896,20.008,19.864,19.909,21976644
2016-03-31,19.882,19.967,19.833,19.869,29189854
2016-04-01,19.730,20.030,19.712,20.021,19309814
2016-04-04,19.990,20.035,19.905,19.945,15292340
2016-04-05,19.815,19.864,19.712,19.752,21452288
2016-04-06,19.757,19.945,19.685,19.945,22276954
2016-04-07,19.802,19.842,19.582,19.658,21262440
2016-04-08,19.761,19.835,19.591,19.658,17525592
2016-04-11,19.743,19.860,19.605,19.605,16277170
2016-04-12,19.640,19.755,19.506,19.739,19183948
2016-04-13,19.855,19.972,19.833,19.941,15753200
2016-04-14,19.914,19.999,19.867,19.936,13005498
2016-04-15,19.909,19.961,19.820,19.860,12921750
2016-04-18,19.802,19.945,19.770,19.945,14226040
2016-04-19,19.981,20.003,19.721,19.833,12941994
2016-04-20,19.851,19.963,19.793,19.873,13755664
2016-04-21,19.846,19.885,19.752,19.802,22555794
2016-04-22,19.488,19.587,19.354,19.457,29848882
2016-04-25,19.403,19.468,19.354,19.461,18715052
2016-04-26,19.484,19.528,19.304,19.367,14734742
2016-04-27,19.121,19.300,19.049,19.278,25559258
2016-04-28,19.309,19.376,18.973,19.036,45339218
2016-04-29,18.928,18.960,18.731,18.870,23792330
2016-05-02,18.910,19.029,18.830,19.009,25105356
2016-05-03,18.879,18.919,18.771,18.834,25062384
2016-05-04,18.749,18.830,18.722,18.776,22491310
2016-05-05,18.830,18.872,18.740,18.785,27119836
2016-05-06,18.704,18.924,18.704,18.924,18459772
2016-05-09,18.933,19.013,18.910,18.924,15082366
2016-05-10,18.982,19.170,18.960,19.170,27840378
2016-05-11,19.121,19.228,19.031,19.031,14304130
2016-05-12,19.103,19.103,18.857,18.978,18673256
2016-05-13,18.973,19.089,18.883,18.906,21842710
2016-05-16,18.924,19.215,18.924,19.170,12788336
2016-05-17,19.112,19.204,18.918,18.978,19880136
2016-05-18,18.928,19.161,18.901,19.013,21807448
2016-05-19,18.969,18.991,18.796,18.910,17269694
2016-05-20,19.013,19.181,19.000,19.139,11745874
2016-05-23,19.130,19.210,19.085,19.103,16855390
2016-05-24,19.179,19.493,19.179,19.461,18922986
2016-05-25,19.542,19.658,19.515,19.596,19683850
2016-05-26,19.596,19.688,19.556,19.658,13034286
2016-05-27,19.654,19.779,19.631,19.752,15576036
2016-05-31,19.770,19.820,19.676,19.793,24742846
2016-06-01,19.726,19.795,19.694,19.743,13770914
2016-06-02,19.663,19.726,19.564,19.726,15529000
2016-06-03,19.699,19.723,19.573,19.681,16609426
2016-06-06,19.694,19.786,19.676,19.717,17271170
2016-06-07,19.779,19.842,19.775,19.797,8818878
2016-06-08,19.793,19.869,19.761,19.837,16316954
2016-06-09,19.757,19.864,19.743,19.842,25839042
