date,open,high,low,close,volume
2016-01-04,37.676,37.692,37.314,37.692,17281160
2016-01-05,37.782,38.024,37.684,37.934,8630450
2016-01-06,37.555,37.956,37.533,37.805,12429050
2016-01-07,37.382,37.748,37.215,37.351,16031520
2016-01-08,37.593,37.593,36.988,37.064,14691022
2016-01-11,37.291,37.548,37.049,37.412,15890335
2016-01-12,37.639,37.766,37.314,37.616,13171504
2016-01-13,37.661,37.692,36.890,36.928,19407943
2016-01-14,37.034,37.359,36.860,37.102,19025815
2016-01-15,36.474,36.762,36.232,36.520,24210917
2016-01-19,36.890,37.094,36.724,36.958,14945175
2016-01-20,36.550,36.716,35.828,36.497,28303167
2016-01-21,36.527,36.799,36.300,36.641,21000998
2016-01-22,37.056,37.344,36.769,37.268,13754517
2016-01-25,36.663,37.253,36.603,36.935,15869448
2016-01-26,37.049,37.518,37.011,37.268,10524137
2016-01-27,37.329,37.707,37.007,37.238,17247388
2016-01-28,37.366,37.748,37.253,37.616,15649161
2016-01-29,37.873,38.433,37.699,38.380,20576334
2016-02-01,38.296,38.664,38.183,38.508,18573126
2016-02-02,38.228,38.228,37.922,38.017,14068583
2016-02-03,38.160,38.228,37.578,37.934,25209773
2016-02-04,37.767,37.809,37.404,37.586,21240798
2016-02-05,37.654,37.763,37.329,37.525,20073263
2016-02-08,37.276,37.533,36.962,37.427,21546933
2016-02-09,37.132,37.881,37.102,37.676,24376347
2016-02-10,37.813,38.032,37.582,37.631,14798708
2016-02-11,37.185,37.503,36.958,37.329,26010413
2016-02-12,37.555,37.865,37.382,37.858,12464006
2016-02-16,38.183,38.213,37.873,38.160,15217653
2016-02-17,38.327,38.667,38.210,38.554,11040533
2016-02-18,38.425,38.497,38.175,38.380,13101903
2016-02-19,38.274,38.516,38.062,38.440,9794968
2016-02-22,38.659,38.743,38.523,38.629,9151997
2016-02-23,38.554,38.693,38.463,38.622,9986502
2016-02-24,38.440,38.788,38.244,38.743,13271668
2016-02-25,38.841,39.202,38.750,39.181,9511955
2016-02-26,39.287,39.287,38.554,38.629,28143926
2016-02-29,38.606,38.909,38.493,38.501,13596765
2016-03-01,38.720,38.939,38.659,38.871,13169709
2016-03-02,38.916,38.985,38.675,38.985,16157730
2016-03-03,38.826,39.181,38.690,39.181,10743936
2016-03-04,39.166,39.446,39.015,39.347,17384650
2016-03-07,39.181,39.317,39.037,39.105,14095858
2016-03-08,38.996,39.431,38.932,39.219,11554949
2016-03-09,39.340,39.567,39.332,39.514,11307512
2016-03-10,39.657,39.748,39.189,39.529,13089841
2016-03-11,39.725,39.809,39.514,39.657,12880525
2016-03-14,39.635,39.725,39.514,39.635,10645085
2016-03-15,39.521,39.786,39.453,39.733,6523735
2016-03-16,39.703,39.912,39.434,39.824,13743414
2016-03-17,39.809,40.190,39.771,40.066,13903391
2016-03-18,40.136,40.174,39.953,40.014,13037040
2016-03-21,40.029,40.177,39.851,40.037,11421420
2016-03-22,39.908,40.014,39.740,39.801,9853229
2016-03-23,39.718,40.234,39.702,39.809,11304315
2016-03-24,39.672,39.801,39.634,39.763,9455483
2016-03-28,39.809,40.060,39.809,39.976,7363677
2016-03-29,39.953,40.288,39.900,40.272,10354692
2016-03-30,40.409,40.538,40.310,40.538,8932310
2016-03-31,40.470,40.538,40.280,40.326,8297414
2016-04-01,40.158,40.865,40.105,40.751,14840290
2016-04-04,40.804,40.848,40.554,40.766,12949022
2016-04-05,40.599,40.690,40.402,40.493,11748798
2016-04-06,40.386,40.820,40.386,40.812,11672409
2016-04-07,40.538,40.683,40.242,40.371,11243439
2016-04-08,40.546,40.637,40.462,40.592,7040184
2016-04-11,40.637,40.766,40.272,40.303,6694269
2016-04-12,40.310,40.599,40.310,40.554,9361144
2016-04-13,40.652,40.698,40.060,40.242,14779973
2016-04-14,40.219,40.318,40.029,40.060,11811284
2016-04-15,40.052,40.326,40.006,40.307,12384193
2016-04-18,40.242,40.538,40.212,40.538,8476819
2016-04-19,40.455,40.550,40.333,40.516,5980137
2016-04-20,40.447,40.447,39.961,39.968,20207310
2016-04-21,39.908,39.961,39.315,39.345,30667357
2016-04-22,39.216,39.490,39.170,39.490,22004991
2016-04-25,39.269,39.763,39.262,39.763,8947330
2016-04-26,39.862,39.885,39.531,39.604,10821827
2016-04-27,39.748,39.915,39.452,39.794,12012219
2016-04-28,39.642,40.067,39.634,39.832,11547041
2016-04-29,39.824,39.832,39.512,39.748,13198539
2016-05-02,39.862,40.242,39.733,40.204,14096369
2016-05-03,40.060,40.288,40.014,40.128,12837332
2016-05-04,40.014,40.326,39.900,40.250,11003150
2016-05-05,40.158,40.478,40.131,40.257,10555852
2016-05-06,40.196,40.462,40.067,40.462,8435388
2016-05-09,40.485,40.793,40.394,40.683,9845154
2016-05-10,40.812,41.086,40.766,41.086,8567408
2016-05-11,41.025,41.070,40.744,40.759,6462128
2016-05-12,40.850,41.059,40.766,40.979,11906398
2016-05-13,40.880,40.941,40.390,40.462,10657717
2016-05-16,40.386,40.808,40.356,40.721,8139327
2016-05-17,40.569,40.698,39.816,39.923,19898173
2016-05-18,39.702,39.824,39.307,39.459,20132506
2016-05-19,39.581,39.862,39.482,39.847,13237265
2016-05-20,39.953,39.976,39.596,39.642,7050783
2016-05-23,39.710,39.786,39.604,39.680,8546688
2016-05-24,39.771,40.105,39.756,40.014,11258205
2016-05-25,40.090,40.242,39.999,40.075,9815277
2016-05-26,40.120,40.326,40.120,40.234,7956961
2016-05-27,40.280,40.345,40.154,40.280,7873341
2016-05-31,40.341,40.402,39.930,40.022,8766367
2016-06-01,40.052,40.432,40.052,40.432,10175759
2016-06-02,40.348,40.447,40.208,40.447,6309847
2016-06-03,40.523,40.721,40.364,40.706,13362517
2016-06-06,40.774,40.858,40.550,40.751,10778063
2016-06-07,40.782,40.861,40.637,40.706,5572792
2016-06-08,40.698,40.964,40.614,40.949,6024492
2016-06-09,40.873,41.131,40.865,41.108,5946840
2016-06-10,40.903,41.207,40.858,41.139,10563935
2016-06-13,41.139,41.207,40.797,40.797,9118622
2016-06-14,40.782,40.972,40.538,40.956,9530933
2016-06-15,40.949,41.063,40.782,40.835,9347642
2016-06-16,40.706,41.070,40.645,41.048,12205722
2016-06-17,40.990,41.051,40.616,40.883,10077549
2016-06-20,41.143,41.273,40.956,41.013,6497515
2016-06-21,41.067,41.227,41.051,41.120,6879071
2016-06-22,41.174,41.288,41.093,41.143,5408273
2016-06-23,41.304,41.395,41.189,41.395,5642533
2016-06-24,40.638,41.120,40.432,40.600,23775904
2016-06-27,40.539,40.608,40.256,40.512,19371970
2016-06-28,40.860,40.860,40.401,40.768,11868598
