date,open,high,low,close,volume
2016-01-04,21.630,21.630,21.198,21.267,1937
2016-01-05,21.595,21.912,21.595,21.912,1518
2016-01-06,21.519,21.773,21.519,21.700,3724
2016-01-07,21.449,21.469,21.300,21.302,1547
2016-01-08,21.302,21.308,21.002,21.023,3993
2016-01-11,21.148,21.148,21.148,21.148,477
2016-01-12,20.974,21.023,20.918,20.918,2269
2016-01-13,21.114,21.148,20.702,20.702,3338
2016-01-14,20.826,20.826,20.597,20.771,3706
2016-01-15,20.350,20.457,20.350,20.422,1414
2016-01-19,20.604,20.604,20.496,20.562,4705
2016-01-20,20.010,20.171,19.633,20.010,4609
2016-01-21,20.164,20.164,20.164,20.164,101
2016-01-22,20.572,20.583,20.567,20.583,330
2016-01-26,20.660,20.845,20.660,20.766,529
2016-01-27,20.583,20.583,20.583,20.583,930
2016-01-28,20.583,20.590,20.360,20.360,1652
2016-01-29,20.255,20.387,20.255,20.380,553
2016-02-01,20.672,20.813,20.672,20.813,744
2016-02-02,20.723,20.723,20.548,20.548,1094
2016-02-03,20.723,20.723,20.280,20.569,3781
2016-02-04,20.558,20.698,20.558,20.692,1506
2016-02-05,20.394,20.394,20.316,20.316,221
2016-02-08,19.619,19.619,19.240,19.240,718
2016-02-09,19.145,19.235,18.901,19.089,1359
2016-02-10,19.494,19.494,19.494,19.494,293
2016-02-11,19.061,19.061,19.005,19.005,810
2016-02-12,19.005,19.206,19.005,19.194,1823
2016-02-17,19.829,19.864,19.779,19.794,2640
2016-02-18,19.885,20.038,19.885,20.038,3898
2016-02-19,20.010,20.010,20.010,20.010,200
2016-02-22,20.318,20.356,20.300,20.318,827
2016-02-23,20.213,20.213,20.213,20.213,328
2016-02-24,20.191,20.230,20.185,20.230,751
2016-02-25,20.360,20.360,20.360,20.360,125
2016-02-26,20.597,20.600,20.506,20.506,2504
2016-02-29,20.686,20.702,20.478,20.478,732
2016-03-01,20.806,20.974,20.799,20.967,951
2016-03-02,21.107,21.197,21.079,21.197,1305
2016-03-03,21.200,21.238,21.200,21.227,1080
2016-03-04,21.295,21.316,21.253,21.288,1703
2016-03-07,21.372,21.386,21.274,21.274,1542
2016-03-08,21.257,21.257,21.242,21.242,611
2016-03-09,21.260,21.307,21.121,21.177,3688
2016-03-10,21.400,21.400,21.078,21.078,1001
2016-03-11,21.491,21.567,21.491,21.567,410
2016-03-14,21.671,21.713,21.637,21.637,3010
2016-03-15,21.644,21.780,21.644,21.780,2258
2016-03-16,21.784,21.787,21.616,21.616,1537
2016-03-17,22.335,22.375,22.328,22.339,1050
2016-03-18,22.338,22.402,22.155,22.183,136356
2016-03-21,22.289,22.289,22.032,22.070,3413
2016-03-22,22.007,22.141,22.003,22.032,1576
2016-03-23,22.039,22.089,21.951,21.951,2642
2016-03-24,21.859,21.986,21.835,21.986,2197
2016-03-28,21.859,22.183,21.859,22.127,2583
2016-03-29,22.359,22.606,22.211,22.606,17268
2016-03-30,22.789,22.789,22.553,22.557,4165
2016-03-31,22.557,22.670,22.557,22.670,11342
2016-04-01,22.573,22.717,22.573,22.717,658
2016-04-04,22.748,22.748,22.627,22.684,5325
2016-04-05,22.486,22.486,22.469,22.480,310
2016-04-06,22.507,22.543,22.451,22.543,588
2016-04-07,22.580,22.580,22.360,22.360,2124
2016-04-08,22.691,22.733,22.571,22.571,1897
2016-04-11,22.596,22.701,22.552,22.557,3141
2016-04-12,22.620,22.691,22.620,22.655,1322
2016-04-13,22.655,22.670,22.521,22.568,2847
2016-04-14,22.536,22.536,22.447,22.479,3616
2016-04-15,22.479,22.634,22.479,22.634,731
2016-04-18,22.648,22.719,22.451,22.719,959
2016-04-19,22.846,22.846,22.589,22.641,32759
2016-04-20,22.564,22.571,22.388,22.416,1880
2016-04-21,22.296,22.314,21.859,21.897,1293
2016-04-22,22.127,22.275,22.077,22.176,2431
2016-04-25,22.208,22.332,22.208,22.332,2284
2016-04-26,22.540,22.540,22.395,22.395,2547
2016-04-27,22.289,22.310,22.209,22.310,1161
2016-04-28,23.367,23.367,22.333,22.333,1111
2016-04-29,22.310,22.310,21.915,22.120,20059
2016-05-02,21.986,22.422,21.986,22.352,3766
2016-05-03,22.278,22.465,22.278,22.465,4691
2016-05-04,22.327,22.789,22.327,22.789,1663
2016-05-05,22.796,22.818,22.772,22.810,2650
2016-05-06,22.737,23.028,22.722,22.930,3761
2016-05-09,23.107,23.192,23.085,23.162,5211
2016-05-10,23.396,23.396,23.201,23.248,7663
2016-05-11,23.325,23.325,22.726,22.825,7140
2016-05-12,22.888,22.983,22.684,22.902,3557
2016-05-13,22.860,23.258,22.493,22.572,3660
2016-05-16,22.641,22.909,22.641,22.879,6986
2016-05-17,22.557,22.627,22.500,22.500,2381
