date,open,high,low,close,volume
2016-01-04,15.435,15.496,15.306,15.492,29693458
2016-01-05,15.485,15.643,15.264,15.603,21896090
2016-01-06,15.510,15.639,15.449,15.575,25438000
2016-01-07,15.406,15.550,15.377,15.471,24547414
2016-01-08,15.481,15.589,15.435,15.464,23361588
2016-01-11,15.474,15.616,15.467,15.546,32779174
2016-01-12,15.557,15.603,15.363,15.485,28720290
2016-01-13,15.542,15.609,15.431,15.478,34957778
2016-01-14,15.474,15.799,15.424,15.711,46165910
2016-01-15,15.553,15.668,15.385,15.571,37878112
2016-01-19,15.654,15.847,15.593,15.804,35769276
2016-01-20,15.740,15.765,15.227,15.449,39800280
2016-01-21,15.496,15.553,15.299,15.435,28175760
2016-01-22,15.528,15.722,15.453,15.711,30120928
2016-01-25,15.704,15.743,15.521,15.578,27042728
2016-01-26,15.614,15.840,15.614,15.686,22919276
2016-01-27,15.657,15.837,15.589,15.722,27464214
2016-01-28,15.700,16.076,15.614,15.973,31128074
2016-01-29,16.077,16.307,16.077,16.292,35880724
2016-02-01,16.217,16.522,16.206,16.446,59221896
2016-02-02,16.385,16.536,16.307,16.518,31940122
2016-02-03,16.576,16.798,16.572,16.723,65904834
2016-02-04,16.708,16.798,16.606,16.651,55205140
2016-02-05,16.554,16.769,16.407,16.705,54772644
2016-02-08,16.669,16.859,16.493,16.647,58024708
2016-02-09,16.590,16.769,16.550,16.705,45241730
2016-02-10,16.665,16.776,16.398,16.687,51841280
2016-02-11,16.583,16.719,16.385,16.393,50780082
2016-02-12,16.382,16.475,16.210,16.342,42037480
2016-02-16,16.425,16.482,16.274,16.446,29277294
2016-02-17,16.500,16.500,16.307,16.414,38160668
2016-02-18,16.382,16.741,16.367,16.683,37768518
2016-02-19,16.611,16.658,16.464,16.572,34040278
2016-02-22,16.662,16.766,16.568,16.766,24873496
2016-02-23,16.712,16.818,16.637,16.780,23577668
2016-02-24,16.780,16.891,16.706,16.859,33501726
2016-02-25,16.913,17.031,16.862,17.031,24323846
2016-02-26,16.934,16.974,16.558,16.561,65907266
2016-02-29,16.536,16.766,16.522,16.608,40275586
2016-03-01,16.694,16.733,16.421,16.525,47283486
2016-03-02,16.482,16.619,16.170,16.611,60448348
2016-03-03,16.637,16.712,16.414,16.712,42548576
2016-03-04,16.604,16.952,16.565,16.898,44256872
2016-03-07,16.870,17.027,16.816,16.992,36985574
2016-03-08,17.024,17.173,16.932,17.160,32749554
2016-03-09,17.124,17.293,17.110,17.239,28513236
2016-03-10,17.232,17.311,17.088,17.253,38942708
2016-03-11,17.336,17.379,17.236,17.271,31390898
2016-03-14,17.268,17.325,17.196,17.293,23449630
2016-03-15,17.275,17.381,17.253,17.325,27474002
2016-03-16,17.261,17.591,17.144,17.591,55736310
2016-03-17,17.522,17.727,17.458,17.687,35069800
2016-03-18,17.687,17.741,17.568,17.575,33981308
2016-03-21,17.521,17.644,17.387,17.557,31486456
2016-03-22,17.535,17.629,17.477,17.499,22914764
2016-03-23,17.499,17.698,17.419,17.629,30479272
2016-03-24,17.622,17.701,17.571,17.676,30146906
2016-03-28,17.705,17.799,17.575,17.611,22489108
2016-03-29,17.665,17.886,17.595,17.871,35107226
2016-03-30,17.871,17.911,17.763,17.828,29033814
