date,open,high,low,close,volume
2016-01-04,59.411,59.605,58.773,59.378,19666268
2016-01-05,59.546,59.924,59.403,59.663,14540153
2016-01-06,58.815,59.588,58.765,59.176,14651688
2016-01-07,58.035,58.773,57.816,57.976,17850377
2016-01-08,58.320,58.471,57.002,57.103,17022809
2016-01-11,57.355,57.376,55.625,56.423,28563797
2016-01-12,56.876,57.472,56.213,57.145,13726950
2016-01-13,57.254,57.523,55.390,55.449,16202462
2016-01-14,55.592,57.304,55.247,56.935,23342269
2016-01-15,55.491,56.398,55.340,56.137,17882291
2016-01-19,56.750,56.960,55.516,56.129,13495221
2016-01-20,55.138,56.784,54.450,56.238,24665612
2016-01-21,56.381,56.666,55.541,56.070,17102840
2016-01-22,56.859,57.111,56.586,56.960,11343828
2016-01-25,56.792,57.170,56.356,56.431,10131859
2016-01-26,56.465,56.968,56.028,56.859,12449656
2016-01-27,56.759,57.355,55.818,56.213,15924738
2016-01-28,56.482,56.515,54.609,54.903,26127268
2016-01-29,54.786,55.827,54.626,55.802,17578208
2016-02-01,55.424,56.171,55.130,55.886,16705670
2016-02-02,55.491,55.638,54.912,55.080,12968699
2016-02-03,55.239,55.499,54.207,55.441,19453147
2016-02-04,55.273,55.760,54.643,55.138,18958125
2016-02-05,54.836,54.987,53.783,54.064,16743961
2016-02-08,53.459,53.682,52.687,53.325,24652766
2016-02-09,52.679,54.257,52.620,53.720,20741677
2016-02-10,54.072,55.038,54.026,54.198,14728499
2016-02-11,53.224,53.753,52.922,53.325,22801091
2016-02-12,53.619,54.064,53.166,54.039,10315981
2016-02-16,54.618,55.080,54.433,55.054,17302955
2016-02-17,55.483,55.818,55.063,55.751,12140012
2016-02-18,55.818,56.045,55.273,55.407,9722072
2016-02-19,55.138,55.508,55.000,55.348,8875405
2016-02-22,55.802,56.146,55.709,56.137,7515726
2016-02-23,55.986,56.280,55.659,55.718,8211934
2016-02-24,55.399,55.978,54.807,55.902,11118606
2016-02-25,56.154,56.633,55.877,56.599,9496414
2016-02-26,56.859,57.086,56.448,56.498,10365818
2016-02-29,56.330,56.473,55.575,55.599,11091742
2016-03-01,55.911,56.809,55.541,56.792,14549057
2016-03-02,56.658,56.901,56.540,56.885,10923739
2016-03-03,56.742,56.792,56.209,56.725,10815045
2016-03-04,56.725,56.952,56.326,56.591,9855654
2016-03-07,56.221,57.237,56.213,57.045,11082434
2016-03-08,56.708,56.893,56.272,56.348,8204189
2016-03-09,56.498,56.691,56.062,56.448,13032476
2016-03-10,56.725,57.111,56.045,56.482,11288361
2016-03-11,56.843,57.590,56.801,57.581,10618305
2016-03-14,57.371,57.565,57.191,57.338,6140946
2016-03-15,56.960,57.078,56.280,56.448,15226481
2016-03-16,56.339,56.637,55.869,56.314,16881339
2016-03-17,56.263,56.272,55.122,55.659,20920457
2016-03-18,55.757,56.515,55.656,56.313,19524758
2016-03-21,56.363,56.759,56.271,56.641,12183575
2016-03-22,56.456,57.383,56.456,57.206,13200185
2016-03-23,57.164,57.265,56.747,56.801,9105057
2016-03-24,56.549,56.987,56.338,56.776,8492750
2016-03-28,56.928,56.987,56.532,56.616,7156295
2016-03-29,56.515,57.324,56.321,57.273,10455626
2016-03-30,57.560,57.711,57.180,57.282,7607715
2016-03-31,57.197,57.534,57.079,57.105,8602692
2016-04-01,56.869,57.964,56.759,57.753,9120164
2016-04-04,57.888,58.655,57.880,58.444,17381180
2016-04-05,57.762,58.031,57.551,57.686,16555121
2016-04-06,57.703,59.261,57.703,59.237,24546616
2016-04-07,58.815,59.211,58.284,58.587,19216681
2016-04-08,58.950,58.975,58.078,58.427,12883771
2016-04-11,58.402,58.571,57.854,57.981,8695545
2016-04-12,57.972,58.575,57.964,58.453,13510509
2016-04-13,58.722,59.034,58.406,59.000,9706171
2016-04-14,58.983,59.228,58.815,59.034,6655195
2016-04-15,59.177,59.177,58.596,58.992,7945340
2016-04-18,58.823,59.604,58.731,59.539,11505376
2016-04-19,59.641,60.070,59.422,59.750,6655013
2016-04-20,59.767,60.357,59.716,60.070,10763418
2016-04-21,60.104,60.559,60.028,60.424,12463114
2016-04-22,60.458,60.757,60.188,60.550,12052773
2016-04-25,60.323,60.508,60.121,60.315,8937489
2016-04-26,60.433,60.433,59.910,60.087,7433502
2016-04-27,60.129,60.272,59.767,60.020,9121173
2016-04-28,59.674,60.315,59.405,59.733,19512040
2016-04-29,59.194,59.308,58.444,58.799,13577850
2016-05-02,58.908,59.161,58.663,59.135,9074808
2016-05-03,58.924,59.312,58.722,58.954,9436765
2016-05-04,58.579,58.680,58.225,58.386,11802044
2016-05-05,58.394,58.714,58.263,58.630,10145219
2016-05-06,58.419,58.587,57.804,58.284,14164252
2016-05-09,58.284,59.131,58.259,58.950,13606997
2016-05-10,59.186,59.455,59.026,59.447,11073007
2016-05-11,59.354,59.506,58.722,58.731,8452541
2016-05-12,58.857,59.034,58.048,58.385,11322942
2016-05-13,58.318,58.697,58.200,58.250,11947338
2016-05-16,58.259,59.169,58.234,59.042,8338124
2016-05-17,58.933,59.085,58.217,58.427,14919984
2016-05-18,58.335,58.967,58.276,58.672,11524253
2016-05-19,58.335,58.600,57.804,58.175,8765724
2016-05-20,58.394,58.916,58.368,58.714,7925908
2016-05-23,58.630,58.739,58.427,58.478,5061439
2016-05-24,58.773,59.413,58.697,59.320,11936372
2016-05-25,59.481,59.809,59.472,59.691,8953615
2016-05-26,59.716,59.818,59.506,59.700,5257683
2016-05-27,59.657,60.104,59.657,59.969,9641321
2016-05-31,60.155,60.256,59.851,60.112,7669813
2016-06-01,59.927,60.462,59.876,60.331,9301692
2016-06-02,60.281,61.107,60.205,61.107,12473090
2016-06-03,60.921,61.120,60.416,60.904,13895958
2016-06-06,60.913,61.342,60.761,61.234,9117597
2016-06-07,60.980,61.039,60.702,60.853,6439115
2016-06-08,60.803,61.174,60.668,61.064,4621255
2016-06-09,60.930,61.363,60.786,60.963,9608545
2016-06-10,60.609,60.643,60.197,60.475,10270936
