date,open,high,low,close,volume
2016-01-04,34.336,34.403,33.978,34.354,26800830
2016-01-05,34.385,34.499,34.063,34.309,14849898
2016-01-06,33.808,34.153,33.701,33.974,20230818
2016-01-07,33.299,33.857,33.198,33.276,25290382
2016-01-08,33.544,33.692,32.842,32.918,21595326
2016-01-11,33.115,33.312,32.695,33.178,26465426
2016-01-12,33.410,33.743,33.155,33.544,17474140
2016-01-13,33.683,33.683,32.346,32.413,29861072
2016-01-14,32.480,32.934,31.863,32.646,31838726
2016-01-15,31.796,32.189,31.604,31.975,29103028
2016-01-19,32.328,32.473,31.769,32.096,23245286
2016-01-20,31.635,32.091,30.830,31.814,42886480
2016-01-21,31.912,32.605,31.751,32.221,31888434
2016-01-22,32.744,32.909,32.581,32.784,14370222
2016-01-25,32.780,32.867,32.373,32.409,14296804
2016-01-26,32.529,32.950,32.368,32.883,15900124
2016-01-27,32.824,33.039,32.218,32.368,21285338
2016-01-28,32.775,32.874,32.203,32.784,20804344
2016-01-29,32.619,33.173,32.498,33.142,23052556
2016-02-01,32.950,33.477,32.791,33.343,16598858
2016-02-02,33.115,33.218,32.579,32.695,18097822
2016-02-03,33.003,33.021,31.984,32.610,26703518
2016-02-04,32.507,32.587,32.140,32.422,19875684
2016-02-05,32.279,32.306,31.286,31.376,25646702
2016-02-08,31.031,31.031,30.235,30.767,26351952
2016-02-09,30.374,31.076,30.318,30.718,28947464
2016-02-10,30.745,31.194,30.651,30.665,26574318
2016-02-11,30.226,30.839,30.226,30.647,27130556
2016-02-12,30.982,31.224,30.691,31.210,21854450
2016-02-16,31.671,31.975,31.483,31.966,20940804
2016-02-17,32.301,32.740,32.261,32.655,19549452
2016-02-18,32.672,32.681,32.328,32.440,13948312
2016-02-19,32.234,32.538,32.042,32.529,15183284
2016-02-22,32.820,33.207,32.793,33.160,11289904
2016-02-23,33.066,33.299,32.885,32.977,12913330
2016-02-24,32.704,33.222,32.337,33.169,21643166
2016-02-25,33.205,33.509,33.017,33.500,11096326
2016-02-26,33.688,33.714,33.397,33.464,13932622
2016-02-29,33.473,33.732,33.290,33.290,17485580
2016-03-01,33.580,34.200,33.468,34.171,18691554
2016-03-02,34.112,34.175,33.898,34.139,15275540
2016-03-03,34.081,34.345,33.992,34.340,19039000
2016-03-04,34.358,34.457,34.157,34.309,15493448
2016-03-07,34.130,34.336,33.960,34.162,14870978
2016-03-08,33.960,34.211,33.862,33.893,12680066
2016-03-09,34.023,34.050,33.737,33.960,13489300
2016-03-10,34.121,34.264,33.601,34.045,16129726
2016-03-11,34.332,34.569,34.249,34.569,11387122
2016-03-14,34.470,34.797,34.470,34.698,11000688
2016-03-15,34.479,34.703,34.479,34.689,8999198
2016-03-16,34.649,35.047,34.551,34.971,14508694
2016-03-17,34.895,35.148,34.788,35.020,12321694
2016-03-18,35.080,35.233,35.000,35.062,19413064
2016-03-21,35.053,35.121,34.860,35.080,8098748
2016-03-22,34.829,35.121,34.815,35.022,8984644
2016-03-23,34.856,34.946,34.739,34.775,17043922
2016-03-24,34.492,34.824,34.393,34.820,13916144
2016-03-28,34.869,35.130,34.842,34.977,10265244
2016-03-29,34.928,35.363,34.928,35.332,10979170
2016-03-30,35.475,35.637,35.408,35.556,10548480
2016-03-31,35.502,35.646,35.458,35.516,10140880
2016-04-01,35.291,35.740,35.264,35.664,16283674
2016-04-04,35.704,35.740,35.342,35.386,18943662
2016-04-05,35.206,35.269,35.004,35.085,17096082
2016-04-06,35.130,35.449,35.040,35.417,13554168
2016-04-07,35.273,35.386,34.865,35.018,10346718
2016-04-08,35.161,35.197,34.833,34.964,10318864
2016-04-11,35.071,35.229,34.815,34.833,11741998
2016-04-12,34.842,35.152,34.685,35.098,11502540
2016-04-13,35.305,35.606,35.247,35.592,10081000
2016-04-14,35.615,35.700,35.471,35.592,6924516
2016-04-15,35.597,35.713,35.493,35.691,8599386
2016-04-18,35.691,36.028,35.592,36.028,8926044
2016-04-19,36.073,36.127,35.696,35.830,8545572
2016-04-20,35.920,35.996,35.704,35.875,9571454
2016-04-21,35.969,36.037,35.736,35.749,8285488
2016-04-22,35.767,35.880,35.458,35.678,9460022
2016-04-25,35.610,35.722,35.464,35.718,7794434
2016-04-26,35.781,35.918,35.612,35.803,7797066
2016-04-27,35.785,35.859,35.592,35.767,11423258
2016-04-28,35.592,35.907,35.305,35.381,14601562
2016-04-29,35.673,35.731,35.289,35.561,16799096
2016-05-02,35.660,36.086,35.615,36.059,13296040
2016-05-03,35.790,35.938,35.653,35.727,11558698
2016-05-04,35.435,35.718,35.404,35.565,12876472
2016-05-05,35.552,35.592,35.309,35.336,12589506
2016-05-06,35.264,35.597,35.148,35.597,10783400
2016-05-09,35.583,35.799,35.571,35.696,10433026
2016-05-10,35.799,36.160,35.794,36.153,9664566
